step	level	max error	mean error	time
0	0	0.00483925	0.000790717	0.008999
0	1	0.00843955	0.000991813	0.019012
0	2	0.00352925	0.000435473	0.028018
0	3	0.00175063	0.000297008	0.037101
0	4	0.00183025	0.000206583	0.046099
0	5	0.00101169	0.000123969	0.056241
0	6	0.000931355	0.000122997	0.069637
0	7	0.00175645	0.000250745	0.079656
0	8	0.000599098	0.000105676	0.090674
0	9	0.000460564	9.88774e-005	0.100671
0	10	0.000474183	8.03215e-005	0.110669
0	11	0.000341462	8.37869e-005	0.120681
0	12	0.000387818	6.65974e-005	0.13067
0	13	0.000353267	7.07697e-005	0.13967
0	14	0.000349626	5.71284e-005	0.14867
0	15	0.000296408	6.69432e-005	0.158672
0	16	0.000381663	7.55882e-005	0.168669
0	17	0.000636816	0.000104255	0.17769
0	18	0.000254422	5.70893e-005	0.187671
0	19	0.000219125	5.35442e-005	0.198703
0	20	0.000251863	5.24204e-005	0.210703
0	21	0.000205049	4.12034e-005	0.222672
0	22	0.000410257	6.89859e-005	0.233687
0	23	0.000196945	3.38383e-005	0.243734
0	24	0.000259306	5.41155e-005	0.254712
0	25	0.000173091	3.84297e-005	0.267554
0	26	0.000237006	4.44927e-005	0.279047
0	27	0.000162649	3.73335e-005	0.290585
0	28	0.000166713	4.49113e-005	0.300705
0	29	0.000247708	4.98585e-005	0.310217
0	30	0.000206081	3.57383e-005	0.321212
0	31	0.000161029	3.85192e-005	0.332213
0	32	0.000180726	3.61662e-005	0.344213
0	33	0.000253861	3.59242e-005	0.356456
0	34	0.00013453	3.1875e-005	0.368535
0	35	0.000203876	4.3935e-005	0.379269
0	36	0.00013538	3.27201e-005	0.390075
0	37	9.85214e-005	2.09869e-005	0.402067
1	0	0.0113925	0.00117136	0.564332
1	1	0.00516781	0.000924365	0.57546
1	2	0.00200911	0.000464949	0.585984
1	3	0.00301522	0.000362412	0.59595
1	4	0.00143599	0.000214236	0.608016
1	5	0.00139912	0.000244728	0.62134
1	6	0.00220504	0.000328995	0.632326
1	7	0.00113483	0.000203581	0.643459
1	8	0.000593573	9.54208e-005	0.653512
1	9	0.000755641	0.000126391	0.664604
1	10	0.000586959	0.000127621	0.676984
1	11	0.000904007	0.00014488	0.689965
1	12	0.000829619	0.000157209	0.701473
1	13	0.000560527	8.71471e-005	0.712556
1	14	0.0004937	0.000111163	0.72262
1	15	0.000490596	9.6554e-005	0.733694
1	16	0.00033585	8.76367e-005	0.744912
1	17	0.000327568	7.14682e-005	0.755909
1	18	0.000299129	5.11903e-005	0.765961
1	19	0.000254256	5.39508e-005	0.778941
1	20	0.000321173	6.44963e-005	0.788694
1	21	0.000366483	8.94133e-005	0.799572
1	22	0.000637795	9.3685e-005	0.810371
1	23	0.000179927	4.4414e-005	0.821391
1	24	0.000275605	6.03039e-005	0.831598
1	25	0.000269497	4.5232e-005	0.839843
1	26	0.000632206	0.000101543	0.849841
1	27	0.00028997	6.31412e-005	0.86207
1	28	0.000314327	5.12987e-005	0.875107
1	29	0.000161774	3.5781e-005	0.885112
1	30	0.000161219	3.59792e-005	0.897114
1	31	0.00010648	2.94783e-005	0.907234
1	32	0.000211301	4.23447e-005	0.919338
1	33	0.000182838	4.5273e-005	0.930493
1	34	0.000196311	3.18903e-005	0.944443
1	35	0.000141103	3.18186e-005	0.95454
1	36	0.000205275	4.79454e-005	0.965054
1	37	0.000420105	6.70937e-005	0.974137
1	38	0.000116228	2.99385e-005	0.984059
1	39	0.000237764	3.02098e-005	0.996347
1	40	0.000130241	2.91602e-005	1.00846
1	41	0.000118904	2.85293e-005	1.01845
1	42	0.000204381	3.28e-005	1.0307
1	43	0.000202598	4.0412e-005	1.04077
1	44	0.000100701	2.10555e-005	1.0531
1	45	0.000186364	4.16758e-005	1.0651
1	46	0.000253643	4.31438e-005	1.0761
1	47	0.000122873	2.46003e-005	1.0881
1	48	0.000102461	2.23115e-005	1.10017
1	49	0.000111752	2.40129e-005	1.10919
1	50	0.000153306	2.92184e-005	1.12031
1	51	0.00013304	2.75176e-005	1.13235
1	52	9.46872e-005	1.9614e-005	1.14435
2	0	0.00570883	0.000862603	1.3014
2	1	0.00481787	0.000725417	1.31232
2	2	0.00156138	0.000366835	1.32347
2	3	0.00204326	0.000363914	1.33346
2	4	0.00122625	0.000220316	1.34254
2	5	0.00125771	0.000259822	1.35358
2	6	0.00137147	0.000219819	1.36461
2	7	0.000689719	0.000159553	1.37562
2	8	0.000779614	0.000136868	1.3854
2	9	0.00068091	0.000118293	1.39575
2	10	0.000739239	0.000157702	1.40492
2	11	0.000440604	0.000103477	1.41488
2	12	0.00041774	9.30511e-005	1.42792
2	13	0.000385281	8.59601e-005	1.44011
2	14	0.000461916	9.87108e-005	1.45013
2	15	0.00052033	7.9008e-005	1.46013
2	16	0.000217978	5.60371e-005	1.46915
2	17	0.000238726	5.95045e-005	1.47915
2	18	0.00030689	5.48161e-005	1.49214
2	19	0.000307424	5.49749e-005	1.50276
2	20	0.00026925	5.02836e-005	1.51486
2	21	0.000370491	6.6233e-005	1.52486
2	22	0.000252122	4.58337e-005	1.5369
2	23	0.000488598	7.22732e-005	1.54921
2	24	0.000191973	4.02194e-005	1.56111
2	25	0.000267689	4.31686e-005	1.57183
2	26	0.000443687	6.96448e-005	1.58296
2	27	0.000196165	4.75979e-005	1.59596
2	28	0.000157857	3.85572e-005	1.60896
2	29	0.000153606	3.67159e-005	1.61922
2	30	0.000174316	2.83281e-005	1.63032
2	31	0.000240197	4.02319e-005	1.64264
2	32	0.000192089	2.8419e-005	1.65161
2	33	0.000176275	3.80966e-005	1.66088
2	34	0.000181712	3.98067e-005	1.67215
2	35	0.000245155	3.86091e-005	1.68216
2	36	0.000221831	3.25313e-005	1.69313
2	37	0.000135617	2.55369e-005	1.70423
2	38	0.000197973	3.81243e-005	1.71327
2	39	0.000131682	2.95646e-005	1.72427
2	40	0.000146086	3.41559e-005	1.73439
2	41	0.000244931	3.20211e-005	1.74541
2	42	0.000116493	2.56015e-005	1.75541
2	43	0.000107448	2.47499e-005	1.7656
2	44	0.000137914	2.59659e-005	1.77675
2	45	0.000174819	3.31798e-005	1.78674
2	46	0.000116522	2.93067e-005	1.79753
2	47	0.000187927	3.39795e-005	1.80833
2	48	0.000120718	2.02086e-005	1.81881
2	49	0.000140238	3.42734e-005	1.82909
2	50	7.20327e-005	1.96396e-005	1.83809
3	0	0.00932333	0.00124401	1.99198
3	1	0.00441456	0.000539467	2.003
3	2	0.00189996	0.000331134	2.015
3	3	0.00209642	0.000299362	2.0242
3	4	0.000963626	0.00021763	2.03339
3	5	0.00089745	0.000141363	2.04439
3	6	0.000651609	0.000136862	2.05442
3	7	0.00128652	0.000201302	2.06472
3	8	0.000752066	0.000145273	2.07673
3	9	0.000764717	0.000148479	2.08798
3	10	0.00068057	0.000114697	2.09898
3	11	0.000517716	0.000108886	2.11007
3	12	0.000851335	0.000149142	2.12215
3	13	0.000428239	8.60443e-005	2.13321
3	14	0.000509916	0.000112964	2.14633
3	15	0.000300109	6.68494e-005	2.15641
3	16	0.00035345	6.43383e-005	2.16723
3	17	0.00033466	8.45911e-005	2.17828
3	18	0.000285438	6.08513e-005	2.18971
3	19	0.000251437	6.41061e-005	2.19978
3	20	0.000411266	6.68432e-005	2.21203
3	21	0.000240919	5.57003e-005	2.22437
3	22	0.000265631	5.46537e-005	2.23755
3	23	0.000255813	5.62325e-005	2.25022
3	24	0.000196755	3.74707e-005	2.2612
3	25	0.000167429	4.09594e-005	2.27243
3	26	0.000173804	3.70317e-005	2.28161
3	27	0.000172955	4.03293e-005	2.29162
3	28	0.000191604	3.07049e-005	2.30294
3	29	0.000257143	4.16557e-005	2.31294
3	30	0.000121394	3.04943e-005	2.32408
3	31	0.000124573	3.09012e-005	2.33509
3	32	0.000144856	3.36504e-005	2.34424
3	33	0.000184606	3.60844e-005	2.35378
3	34	0.000161101	3.15059e-005	2.36522
3	35	0.000117479	2.86069e-005	2.3772
3	36	0.00012982	2.60387e-005	2.38731
3	37	0.000126051	2.5697e-005	2.39925
3	38	0.000189361	2.37612e-005	2.40948
3	39	0.000116899	2.84393e-005	2.42236
3	40	0.000156946	3.60073e-005	2.43246
3	41	7.45724e-005	1.79929e-005	2.44444
4	0	0.00423173	0.000730484	2.60552
4	1	0.00448323	0.000696087	2.61695
4	2	0.0023172	0.000317856	2.62796
4	3	0.00197369	0.000302225	2.64164
4	4	0.00125595	0.000287506	2.65264
4	5	0.000772702	0.000177173	2.66499
4	6	0.000790282	0.000198286	2.67806
4	7	0.000832965	0.000162856	2.6891
4	8	0.000575944	0.000123225	2.69934
4	9	0.000648271	0.00013033	2.70871
4	10	0.000825369	0.000110806	2.71875
4	11	0.000367538	8.11309e-005	2.73171
4	12	0.000393549	8.08242e-005	2.74391
4	13	0.000526557	8.61769e-005	2.75291
4	14	0.000238607	5.88747e-005	2.76489
4	15	0.000316371	5.65929e-005	2.77605
4	16	0.000246266	5.63767e-005	2.78704
4	17	0.000247758	4.47251e-005	2.79802
4	18	0.000510505	9.94287e-005	2.80906
4	19	0.000734635	8.51481e-005	2.81906
4	20	0.000445715	5.31444e-005	2.83017
4	21	0.000358088	6.21625e-005	2.83917
4	22	0.000327974	6.84402e-005	2.84817
4	23	0.000496392	0.000108433	2.85936
4	24	0.000520099	7.77214e-005	2.87038
4	25	0.000189909	4.15852e-005	2.88138
4	26	0.000436538	7.93745e-005	2.89065
4	27	0.000297901	6.62064e-005	2.89973
4	28	0.000174699	3.70939e-005	2.91073
4	29	0.000213681	4.36863e-005	2.92195
4	30	0.00023317	4.20632e-005	2.93291
4	31	0.00021426	5.58079e-005	2.94377
4	32	0.000407749	5.61511e-005	2.95285
4	33	0.000238705	4.09177e-005	2.9629
4	34	0.00017156	3.58104e-005	2.9749
4	35	0.000143976	2.71007e-005	2.98716
4	36	0.000248324	4.92352e-005	2.99742
4	37	0.000163674	3.42171e-005	3.00847
4	38	0.000197496	3.3942e-005	3.01752
4	39	0.000182966	3.73047e-005	3.02816
4	40	0.000130869	2.86806e-005	3.03937
4	41	0.000185019	3.37088e-005	3.05149
4	42	0.000147418	3.2407e-005	3.06164
4	43	0.000165629	3.19292e-005	3.07266
4	44	9.55188e-005	2.06054e-005	3.08164
