step	level	max error	mean error	time
0	0	0.0219236	0.00775932	0.001003	2
0	0	0.00972959	0.00258005	0.004002	4
0	0	0.00938168	0.00257389	0.006001	6
0	0	0.00723313	0.00150934	0.009002	8
0	1	0.00557769	0.00177885	0.011004	2
0	1	0.00834927	0.00149143	0.012002	4
0	1	0.00358044	0.000898496	0.014013	6
0	2	0.00410881	0.00135299	0.015006	2
0	2	0.0045363	0.00121479	0.016001	4
0	2	0.00368378	0.000829181	0.018001	6
0	2	0.00271979	0.000561012	0.020001	8
0	2	0.00276246	0.000462183	0.022001	10
0	2	0.00262394	0.000356046	0.025001	12
0	2	0.00166179	0.000241282	0.028001	14
0	3	0.00208046	0.000517298	0.029002	2
0	3	0.0016102	0.000518315	0.030002	4
0	3	0.000891939	0.000262395	0.032	6
1	0	0.022229	0.00784862	0.109	2
1	0	0.00979155	0.00244576	0.110001	4
1	0	0.00940211	0.0025967	0.112014	6
1	0	0.00743292	0.00142985	0.114003	8
1	1	0.00537753	0.00181091	0.116002	2
1	1	0.0073089	0.0013731	0.117	4
1	1	0.00329928	0.000910344	0.119017	6
1	2	0.0030974	0.00105956	0.120001	2
1	2	0.00503381	0.0014525	0.121001	4
1	2	0.00507548	0.00140881	0.122015	6
1	2	0.0046012	0.000686661	0.124	8
1	2	0.00313607	0.000507209	0.127002	10
1	2	0.00149814	0.000249158	0.130001	12
1	3	0.00203062	0.000655972	0.131025	2
1	3	0.00166633	0.000405058	0.133001	4
1	3	0.00198703	0.000420592	0.135003	6
1	3	0.00222392	0.000364448	0.136001	8
1	3	0.0022501	0.000202062	0.13901	10
1	3	0.0018468	0.000245153	0.141	12
1	3	0.000584342	0.000140873	0.145003	14
2	0	0.0225019	0.00793536	0.218007	2
2	0	0.00990696	0.002337	0.219003	4
2	0	0.00913953	0.00240845	0.22102	6
2	0	0.00643896	0.00130665	0.223004	8
2	1	0.00490626	0.00174279	0.224017	2
2	1	0.00761522	0.00145867	0.225006	4
2	1	0.00397348	0.000960373	0.228005	6
2	1	0.00473082	0.000816476	0.230001	8
2	1	0.00268221	0.000419344	0.233004	10
2	2	0.00294182	0.0007682	0.234005	2
2	2	0.00267651	0.000546618	0.236001	4
2	2	0.00264308	0.000693925	0.238003	6
2	2	0.00155078	0.000293002	0.240002	8
2	2	0.00178769	0.000189399	0.243002	10
2	2	0.0014366	0.000213792	0.245003	12
2	2	0.00397461	0.000462424	0.249004	14
2	2	0.00156516	0.000113198	0.252003	16
2	2	0.000347825	6.23683e-005	0.256004	18
3	0	0.0227417	0.0080161	0.327021	2
3	0	0.0101424	0.00222682	0.329005	4
3	0	0.00939477	0.00230934	0.331004	6
3	0	0.00637342	0.00120282	0.333002	8
3	1	0.00481201	0.00183029	0.335022	2
3	1	0.00716637	0.00167569	0.336001	4
3	1	0.00625352	0.00106824	0.337	6
3	1	0.00420977	0.000696243	0.339001	8
3	1	0.00362597	0.000489171	0.342002	10
3	1	0.00167193	0.000268997	0.345039	12
3	2	0.00210371	0.000736825	0.346002	2
3	2	0.00243065	0.0005475	0.347	4
3	2	0.00257367	0.000503866	0.349004	6
3	2	0.00160122	0.000273002	0.351005	8
3	2	0.00168833	0.000194286	0.353003	10
3	2	0.00215551	0.000212396	0.356035	12
3	2	0.000717733	0.00013092	0.359004	14
4	0	0.0229576	0.00808896	0.433005	2
4	0	0.0110829	0.0023267	0.435027	4
4	0	0.0224733	0.00467515	0.437005	6
4	0	0.0051942	0.00103831	0.439005	8
4	1	0.00518159	0.00157795	0.440006	2
4	1	0.00443526	0.00117813	0.441001	4
4	1	0.00490717	0.00150803	0.443014	6
4	1	0.00449679	0.000978384	0.445004	8
4	1	0.00251528	0.000412072	0.44801	10
4	2	0.00237938	0.000696961	0.449004	2
4	2	0.00223403	0.000417846	0.450002	4
4	2	0.00273641	0.000607887	0.453001	6
4	2	0.0014593	0.000300149	0.455038	8
4	2	0.00107835	0.000213254	0.457002	10
4	3	0.00188213	0.000532474	0.458001	2
4	3	0.00565292	0.00210495	0.460029	4
4	3	0.00315884	0.00077447	0.462	6
4	3	0.00103192	0.000324896	0.464	8
4	3	0.00111358	0.000273965	0.466037	10
4	3	0.000954079	0.00017644	0.469032	12
5	0	0.0231438	0.00815123	0.544999	2
5	0	0.01066	0.00210641	0.547002	4
5	0	0.0225782	0.00483985	0.550003	6
5	0	0.00598155	0.0010606	0.552001	8
5	1	0.00498899	0.00174867	0.554001	2
5	1	0.00484972	0.00131697	0.555001	4
5	1	0.00414722	0.0010107	0.556003	6
5	1	0.00373426	0.000694417	0.558001	8
5	1	0.00284852	0.000469655	0.561	10
5	2	0.0025587	0.00079408	0.563002	2
5	2	0.00238942	0.000421016	0.564	4
5	2	0.00283068	0.000669464	0.566002	6
5	2	0.00179448	0.00029267	0.568005	8
5	2	0.00147289	0.000267856	0.569999	10
5	2	0.00203559	0.000284842	0.572	12
5	2	0.00187182	0.000151293	0.574998	14
5	2	0.00047393	7.80395e-005	0.578999	16
6	0	0.0232944	0.00820213	0.649999	2
6	0	0.0103138	0.00217946	0.652001	4
6	0	0.0228961	0.00501143	0.654001	6
6	0	0.00676905	0.00115381	0.657003	8
6	1	0.0080504	0.00183533	0.658001	2
6	1	0.00615841	0.00202479	0.660004	4
6	1	0.00520823	0.00122886	0.662022	6
6	1	0.00415397	0.000676185	0.664002	8
6	1	0.00240245	0.000422586	0.666002	10
6	2	0.00291917	0.00077942	0.667001	2
6	2	0.00224494	0.000501345	0.669005	4
6	2	0.00270785	0.000717535	0.670001	6
6	2	0.00136404	0.00025312	0.672	8
6	2	0.00142932	0.000297258	0.674001	10
6	2	0.00155763	0.000184391	0.678001	12
6	2	0.00190485	0.00017848	0.681998	14
6	2	0.000665775	0.000114641	0.685998	16
7	0	0.0234101	0.00823935	0.756	2
7	0	0.00983892	0.0023677	0.758015	4
7	0	0.0126946	0.00302346	0.760003	6
7	0	0.00411676	0.000916472	0.762003	8
7	1	0.00427345	0.00118574	0.763013	2
7	1	0.00382007	0.000997046	0.765001	4
7	1	0.00472652	0.00115583	0.766003	6
7	1	0.00409344	0.000552824	0.768037	8
7	1	0.00373212	0.000336273	0.770007	10
7	1	0.00310539	0.000269194	0.773035	12
7	1	0.00298903	0.000224001	0.777002	14
7	1	0.000872644	0.000136967	0.780035	16
8	0	0.0234911	0.0082596	0.845019	2
8	0	0.00938161	0.00267733	0.847006	4
8	0	0.0125262	0.00315264	0.849007	6
8	0	0.00422668	0.000936356	0.851001	8
8	1	0.00480048	0.00131215	0.852014	2
8	1	0.00530585	0.00112927	0.853001	4
8	1	0.00652284	0.00127362	0.854001	6
8	1	0.00472768	0.000725836	0.856	8
8	1	0.00329704	0.000536912	0.859001	10
8	1	0.00235918	0.000375163	0.863008	12
8	1	0.00229413	0.000319478	0.867	14
8	1	0.000862229	0.000134839	0.87	16
9	0	0.023538	0.0082637	0.938003	2
9	0	0.0089636	0.0027541	0.939006	4
9	0	0.0126241	0.00330892	0.941004	6
9	0	0.00399044	0.00099869	0.944001	8
9	1	0.00500543	0.0013424	0.945005	2
9	1	0.00576822	0.00112253	0.947018	4
9	1	0.00805036	0.00136941	0.948007	6
9	1	0.00589455	0.000906558	0.950002	8
9	1	0.00404029	0.000580359	0.952005	10
9	1	0.00299478	0.000299171	0.955001	12
9	1	0.00174714	0.000214956	0.958	14
9	2	0.00701788	0.00256378	0.959	2
9	2	0.00552925	0.00153769	0.961001	4
9	2	0.00295189	0.00058539	0.963002	6
9	2	0.00358389	0.000709929	0.965002	8
9	2	0.00205019	0.000348812	0.968001	10
9	2	0.00136208	0.000288935	0.971001	12
9	2	0.0013721	0.000240657	0.973998	14
9	2	0.000798175	0.000160345	0.977001	16
10	0	0.0235505	0.00825016	1.05	2
10	0	0.00929873	0.0030392	1.05201	4
10	0	0.0140839	0.0025221	1.053	6
10	0	0.00865911	0.00156668	1.056	8
10	0	0.00457807	0.000909174	1.05902	10
10	1	0.00535417	0.00161423	1.06	2
10	1	0.0058152	0.0010671	1.062	4
10	1	0.00482104	0.000889472	1.063	6
10	1	0.0034082	0.000435273	1.065	8
10	1	0.00294427	0.000466842	1.06803	10
10	1	0.00303378	0.000283595	1.07003	12
10	1	0.00291412	0.000223787	1.073	14
10	1	0.00149092	0.000219976	1.07704	16
10	2	0.00215213	0.000564662	1.078	2
10	2	0.00204009	0.000619777	1.08001	4
10	2	0.00144445	0.000240189	1.081	6
10	2	0.00162949	0.000328539	1.08304	8
10	2	0.00101328	0.000214659	1.085	10
10	2	0.00160647	0.000254039	1.08802	12
10	2	0.000570501	9.25967e-005	1.091	14
11	0	0.0235283	0.00821855	1.164	2
11	0	0.0104385	0.00307084	1.165	4
11	0	0.0151067	0.00292672	1.167	6
11	0	0.00912588	0.00162489	1.169	8
11	0	0.00489266	0.000813216	1.17201	10
11	1	0.00569692	0.00142292	1.173	2
11	1	0.00516335	0.00151182	1.17404	4
11	1	0.00315644	0.000721662	1.17601	6
11	1	0.00280814	0.000578668	1.17804	8
11	1	0.00331186	0.000628687	1.18	10
11	1	0.00191693	0.000419349	1.18304	12
11	2	0.0033466	0.000794777	1.184	2
11	2	0.00390729	0.000913193	1.186	4
11	2	0.00351347	0.000886816	1.18701	6
11	2	0.0027996	0.000573778	1.18901	8
11	2	0.00194382	0.000378552	1.19201	10
11	2	0.00149063	0.000221676	1.19504	12
11	2	0.00100732	0.000182679	1.19803	14
11	2	0.000893077	0.000129612	1.20104	16
12	0	0.0234706	0.00817156	1.276	2
12	0	0.0118695	0.00329556	1.278	4
12	0	0.0159255	0.00318922	1.28004	6
12	0	0.0100729	0.00184071	1.282	8
12	0	0.00549617	0.000906095	1.285	10
12	1	0.0059997	0.00151006	1.286	2
12	1	0.00542133	0.00161931	1.28701	4
12	1	0.00347483	0.000850297	1.289	6
12	1	0.00271384	0.000569006	1.291	8
12	2	0.00330434	0.000968654	1.292	2
12	2	0.00363325	0.0007433	1.29402	4
12	2	0.00298405	0.000593331	1.296	6
12	2	0.00444629	0.000802577	1.298	8
12	2	0.00272628	0.00053942	1.3	10
12	2	0.00243399	0.000308157	1.302	12
12	2	0.00167189	0.000277492	1.30503	14
12	2	0.00181472	0.000215804	1.309	16
12	2	0.000970196	0.000128703	1.31203	18
13	0	0.0233762	0.00810993	1.38301	2
13	0	0.0128717	0.00333337	1.385	4
13	0	0.0170992	0.00367004	1.387	6
13	0	0.0105455	0.00199822	1.389	8
13	0	0.00635083	0.00103591	1.392	10
13	1	0.0050461	0.0017486	1.39402	2
13	1	0.00607362	0.0014899	1.39501	4
13	1	0.00516274	0.00111099	1.397	6
13	1	0.00660073	0.00111162	1.399	8
13	1	0.00343895	0.000504845	1.401	10
13	1	0.00313816	0.000532462	1.40404	12
13	2	0.00338047	0.00107069	1.405	2
13	2	0.00755084	0.00200996	1.406	4
13	2	0.00341863	0.00106234	1.408	6
13	2	0.00228651	0.000523352	1.41001	8
13	2	0.0028025	0.000497262	1.413	10
13	2	0.00166206	0.000350477	1.416	12
13	2	0.00089875	0.000215648	1.41901	14
14	0	0.0232553	0.00803467	1.491	2
14	0	0.0106522	0.0032892	1.49402	4
14	0	0.0179116	0.00378476	1.497	6
14	0	0.011432	0.00212166	1.499	8
14	0	0.00626499	0.00107035	1.502	10
14	1	0.00516564	0.00180726	1.50303	2
14	1	0.0058242	0.00145381	1.50402	4
14	1	0.00527763	0.00114409	1.506	6
14	1	0.00694114	0.00112205	1.509	8
14	1	0.0037954	0.000537755	1.51304	10
14	1	0.00324813	0.000542442	1.51604	12
14	1	0.00226289	0.000287643	1.51803	14
14	2	0.00244809	0.00072683	1.519	2
14	2	0.00246754	0.000827873	1.521	4
14	2	0.00249314	0.000411417	1.523	6
14	2	0.00352236	0.000642405	1.525	8
14	2	0.0023469	0.000369312	1.527	10
14	2	0.00144032	0.000291914	1.53	12
14	2	0.0010852	0.000177724	1.53303	14
14	3	0.00126077	0.000420263	1.534	2
14	3	0.00141925	0.000429257	1.53501	4
14	3	0.00140407	0.000364014	1.53701	6
14	3	0.00193908	0.000445279	1.539	8
14	3	0.0013868	0.000222834	1.541	10
14	3	0.00144208	0.000247155	1.544	12
14	3	0.000630993	0.000139011	1.547	14
15	0	0.0231093	0.00794888	1.62504	2
15	0	0.0118109	0.00346511	1.626	4
15	0	0.0163007	0.00324768	1.628	6
15	0	0.00901327	0.00165772	1.63	8
15	0	0.00447436	0.000922429	1.633	10
15	1	0.0077119	0.00198084	1.634	2
15	1	0.00509626	0.00123182	1.635	4
15	1	0.00484106	0.000750487	1.637	6
15	1	0.00326326	0.000618597	1.639	8
15	1	0.00267134	0.000484111	1.64104	10
15	1	0.0026108	0.000470759	1.64401	12
15	1	0.00152212	0.000241255	1.64804	14
15	2	0.00184932	0.000599249	1.649	2
15	2	0.00206549	0.000502538	1.65104	4
15	2	0.00171241	0.000451745	1.652	6
15	2	0.00150078	0.000268414	1.655	8
15	2	0.00195379	0.000303076	1.657	10
15	2	0.00219811	0.000336924	1.66	12
15	2	0.00141906	0.000197091	1.663	14
15	2	0.00119637	0.000101555	1.667	16
15	2	0.000546353	7.12887e-005	1.671	18
16	0	0.0229275	0.00785406	1.745	2
16	0	0.0127863	0.0036633	1.747	4
16	0	0.0171719	0.00346714	1.748	6
16	0	0.00970158	0.00175888	1.751	8
16	0	0.00568723	0.000965608	1.753	10
16	1	0.00728271	0.00212052	1.754	2
16	1	0.0101787	0.00248546	1.75601	4
16	1	0.00527449	0.00102643	1.757	6
16	1	0.0051704	0.000958802	1.76	8
16	1	0.00399819	0.000662492	1.76304	10
16	1	0.00518533	0.000549755	1.76503	12
16	1	0.00212612	0.000260258	1.76804	14
16	2	0.00213888	0.000549818	1.769	2
16	2	0.0028873	0.000538437	1.771	4
16	2	0.00125934	0.000258832	1.772	6
16	2	0.00186674	0.000410498	1.775	8
16	2	0.00270622	0.000322142	1.777	10
16	2	0.00365223	0.000445798	1.78004	12
16	2	0.00104187	0.000161656	1.78204	14
16	3	0.00157152	0.000437281	1.784	2
16	3	0.00163521	0.000361041	1.78501	4
16	3	0.00139	0.000303489	1.787	6
16	3	0.000714695	0.000146204	1.78903	8
17	0	0.0227092	0.00775378	1.86503	2
17	0	0.0136812	0.00380134	1.86701	4
17	0	0.0181836	0.00375525	1.86901	6
17	0	0.0109928	0.00194234	1.872	8
17	0	0.00559479	0.000954013	1.874	10
17	1	0.00716121	0.0021096	1.87603	2
17	1	0.00788385	0.00252153	1.87701	3
17	1	0.00547754	0.00119776	1.879	5
17	1	0.00402106	0.000925995	1.88101	7
17	1	0.0034578	0.000548171	1.884	9
17	1	0.00367293	0.000436568	1.886	11
17	1	0.00543848	0.000632224	1.889	13
17	1	0.00139743	0.000243285	1.89302	15
17	2	0.00426498	0.00100753	1.894	2
17	2	0.00242458	0.000753618	1.896	4
17	2	0.00124864	0.000292499	1.898	6
17	2	0.00129652	0.000227312	1.90004	8
17	2	0.000936569	0.000168701	1.902	10
18	0	0.0224901	0.00764916	1.97504	2
18	0	0.0122958	0.00399023	1.977	4
18	0	0.0195016	0.00386926	1.979	6
18	0	0.011767	0.00196078	1.982	8
18	0	0.00470863	0.000890449	1.985	10
18	1	0.00613748	0.0017422	1.987	2
18	1	0.0074749	0.00180879	1.988	4
18	1	0.00505073	0.00115167	1.99	6
18	1	0.00357056	0.000688033	1.99204	8
18	1	0.00381834	0.000692876	1.99503	10
18	1	0.00416345	0.000567501	1.997	12
18	1	0.00125801	0.000260185	2	14
18	2	0.00421094	0.00114218	2.00202	2
18	2	0.00358971	0.000715952	2.00301	4
18	2	0.00185949	0.000331649	2.00501	6
18	2	0.00212797	0.000345907	2.00704	8
18	2	0.00175337	0.000250005	2.01004	10
18	2	0.00297245	0.000253315	2.01304	12
18	2	0.00277249	0.000326617	2.017	14
18	2	0.00106774	0.000165754	2.02	16
18	2	0.000618785	0.000104507	2.02304	18
19	0	0.0222175	0.00754301	2.10004	2
19	0	0.0121746	0.00400961	2.10201	4
19	0	0.0195888	0.00385374	2.104	6
19	0	0.0118958	0.00201065	2.10605	8
19	0	0.00521581	0.00092188	2.109	10
19	1	0.00674892	0.00184856	2.11	2
19	1	0.00832027	0.00188461	2.111	4
19	1	0.00523587	0.00116808	2.11304	6
19	1	0.00336015	0.000727264	2.115	8
19	1	0.00375452	0.000634536	2.11704	10
19	1	0.00964832	0.00114978	2.12006	12
19	1	0.0020869	0.000351116	2.123	14
19	2	0.00397345	0.000911387	2.124	2
19	2	0.00366913	0.000955581	2.12501	4
19	2	0.00190381	0.000470984	2.127	6
19	2	0.00219273	0.000457694	2.129	8
19	2	0.00175118	0.000255447	2.131	10
19	2	0.00246574	0.000318378	2.13401	12
19	2	0.00214578	0.000245935	2.13703	14
19	2	0.000794328	0.000115399	2.14004	16
