step	level	max error	mean error	time
0	0	0.0392515	0.00632623	0.462997	16
0	1	0.0264668	0.00310998	0.879995	16
0	2	0.0161169	0.00234486	1.30205	16
0	3	0.0103355	0.00136785	2.47204	28
0	4	0.0080688	0.0010651	3.334	24
0	5	0.00605135	0.000781633	4.50099	28
0	6	0.00380974	0.000568669	7.20803	44
0	7	0.00300144	0.00042193	9.047	36
0	8	0.0023389	0.000310205	13.406	56
0	9	0.0016491	0.000230246	19.772	68
0	10	0.00118128	0.000176733	25.383	64
0	11	0.000937906	0.000123894	35.009	84
0	12	0.000738286	9.67293e-005	45.522	88
0	13	0.000572668	7.90503e-005	58.028	96
0	14	0.000427621	6.09961e-005	72.903	104
0	15	0.000320247	4.85752e-005	102.207	140
0	16	0.000249185	3.59437e-005	136.342	156
