step	level	max error	mean error	time
0	0	0.423572	0.104009	0.023026	2
0	0	0.0581724	0.00905707	0.054997	4
0	0	0.315196	0.0761632	0.110998	6
0	0	0.0792741	0.0121045	0.186999	8
0	0	0.0848921	0.0135423	0.258993	10
0	0	0.0724766	0.0111263	0.332993	12
0	0	0.0770044	0.0107506	0.421995	14
0	0	0.0762843	0.010565	0.517034	16
0	0	0.0667102	0.00862451	0.626037	18
0	0	0.101135	0.00869126	0.744035	20
0	0	0.0381032	0.00583506	0.874034	22
0	0	0.0789077	0.00897051	1.01103	24
0	0	0.0602934	0.00579806	1.17603	26
0	0	0.0399161	0.00533133	1.33599	28
0	0	0.0355251	0.00459393	1.50099	30
0	0	0.0301483	0.00418431	1.68799	32
0	0	0.0270582	0.00325493	1.876	34
0	0	0.0346538	0.00434446	2.07901	36
0	0	0.0346294	0.00398669	2.28999	38
0	0	0.0284384	0.00345039	2.50299	40
0	0	0.0356403	0.00292922	2.74404	42
0	0	0.0245618	0.00258676	2.98803	44
0	0	0.0212003	0.00236357	3.25603	46
0	0	0.0185525	0.00200838	3.52103	48
0	0	0.0129473	0.00168651	3.81199	50
0	0	0.0164082	0.00166149	4.106	52
0	0	0.0126991	0.0014751	4.40905	54
0	0	0.0158531	0.00139669	4.73601	56
0	0	0.0114389	0.00126654	5.08901	58
0	0	0.0101162	0.00113418	5.43003	60
0	0	0.00982492	0.00110211	5.83303	62
0	0	0.00869442	0.000927525	6.25304	64
0	0	0.00722173	0.000869372	6.63421	66
0	0	0.00672819	0.000817168	7.00717	68
0	0	0.00598659	0.000798162	7.40421	70
0	0	0.00581772	0.000767266	7.82021	72
0	0	0.00568525	0.000778824	8.24221	74
0	0	0.00544002	0.000739332	8.66921	76
0	0	0.00535503	0.000707476	9.10818	78
0	0	0.00503038	0.000692461	9.55822	80
0	0	0.00560975	0.000663056	10.0282	82
0	0	0.00485587	0.000621389	10.5082	84
0	0	0.00451813	0.000589113	10.9862	86
0	0	0.00414211	0.000540183	11.4812	88
0	0	0.00401912	0.000518788	11.9962	90
0	0	0.00458014	0.000537866	12.5292	92
0	0	0.00385623	0.000491912	13.0672	94
0	0	0.0039454	0.000461906	13.5982	96
0	0	0.00335248	0.000433045	14.1482	98
0	0	0.0033175	0.000411505	14.7242	100
0	0	0.00330889	0.00039338	15.2802	102
0	0	0.00303217	0.000388066	15.8612	104
0	0	0.00423064	0.000376892	16.4532	106
0	0	0.00279745	0.000365143	17.0632	108
0	0	0.00264928	0.000348288	17.6992	110
0	0	0.00263157	0.000335595	18.3512	112
0	0	0.00252891	0.000329898	18.9792	114
0	0	0.00236359	0.000312455	19.6282	116
0	0	0.00243827	0.000297427	20.2962	118
0	0	0.00234314	0.000282793	20.9742	120
0	0	0.00234954	0.000277238	21.6472	122
0	0	0.00223017	0.000271988	22.3642	124
0	0	0.00229599	0.000267874	23.0982	126
0	0	0.00217114	0.000263094	23.8342	128
0	0	0.00201379	0.000255273	24.5902	130
0	0	0.00208016	0.000242922	25.3602	132
0	0	0.00190177	0.000229012	26.1252	134
0	0	0.00215677	0.000222181	26.9132	136
0	0	0.0018845	0.000209402	27.6802	138
0	0	0.00177848	0.000200711	28.4912	140
0	0	0.00175318	0.000194833	29.3092	142
0	0	0.00192633	0.000189713	30.1882	144
0	0	0.00155506	0.000178793	31.0382	146
0	0	0.0014524	0.000173819	31.9272	148
0	0	0.00148717	0.000168928	32.8202	150
0	0	0.00134911	0.000160176	33.8322	152
0	0	0.00134902	0.000155211	34.7532	154
0	0	0.00132324	0.000153435	35.7212	156
0	0	0.00127119	0.000143643	36.6332	158
0	0	0.00121222	0.000141658	37.5892	160
0	0	0.00117686	0.000136276	38.5322	162
0	0	0.00117749	0.000130014	39.5262	164
0	0	0.00110892	0.000122974	40.5212	166
0	0	0.00106651	0.000120314	41.5602	168
0	0	0.00105243	0.000117875	42.5952	170
0	0	0.00103406	0.000115653	43.6332	172
0	0	0.00102012	0.000115803	44.6552	174
0	0	0.00101362	0.000111228	45.7142	176
0	0	0.000972918	0.000106964	46.7682	178
0	0	0.00119688	0.000104585	47.8832	180
0	0	0.000900665	0.000101982	49.0042	182
0	0	0.000862444	9.90437e-005	50.1052	184
0	0	0.000894862	9.65908e-005	51.2222	186
0	0	0.00084134	9.37435e-005	52.3782	188
0	0	0.000767147	9.28581e-005	53.5652	190
0	0	0.000777051	8.95783e-005	54.7562	192
0	0	0.000692709	8.60407e-005	55.9822	194
0	0	0.000687371	8.59712e-005	57.2042	196
0	0	0.000657958	8.54052e-005	58.4112	198
0	0	0.000681708	8.37401e-005	59.6592	200
0	0	0.000627453	8.25107e-005	60.9202	202
0	0	0.000614599	8.02813e-005	62.1932	204
0	0	0.000592146	7.87289e-005	63.5182	206
0	0	0.000661266	7.70858e-005	64.8502	208
0	0	0.0006172	7.56426e-005	66.2212	210
0	0	0.000576778	7.37521e-005	67.5922	212
0	0	0.000576602	7.19509e-005	68.9402	214
0	0	0.000573824	7.05969e-005	70.3382	216
0	0	0.000566722	6.9769e-005	71.7512	218
0	0	0.000567074	6.90478e-005	73.1862	220
0	0	0.000546471	6.81289e-005	74.6352	222
0	0	0.000551468	6.73047e-005	76.0632	224
0	0	0.000529076	6.68182e-005	77.5382	226
0	0	0.000557409	6.5062e-005	78.9942	228
0	0	0.000721054	6.5529e-005	80.4592	230
0	0	0.00054186	6.25308e-005	81.9992	232
0	0	0.000502785	6.13124e-005	83.5212	234
0	0	0.000469974	6.10264e-005	85.1052	236
0	0	0.000555138	6.02493e-005	86.7032	238
0	0	0.000464269	5.94312e-005	88.3102	240
0	0	0.000459692	5.80961e-005	89.9512	242
0	0	0.000455886	5.66141e-005	91.5782	244
0	0	0.00044761	5.5505e-005	93.2502	246
0	0	0.000432019	5.42275e-005	94.9372	248
0	0	0.000425199	5.38521e-005	96.6382	250
0	0	0.000429224	5.32632e-005	98.3562	252
0	0	0.000424165	5.24321e-005	100.094	254
0	0	0.000412425	5.23681e-005	101.818	256
0	0	0.00041005	5.11219e-005	103.562	258
0	0	0.000403575	5.02268e-005	105.315	260
0	0	0.000402229	4.85184e-005	107.052	262
0	0	0.000391775	4.72325e-005	108.874	264
0	0	0.000456261	4.70313e-005	110.723	266
0	0	0.000384985	4.74038e-005	112.549	268
0	0	0.000428116	4.60947e-005	114.432	270
0	0	0.000363902	4.35332e-005	116.267	272
0	0	0.000435771	4.29732e-005	118.158	274
0	0	0.000358489	4.24146e-005	120.067	276
0	0	0.00035167	4.12984e-005	121.997	278
0	0	0.000368239	4.08572e-005	123.942	280
0	0	0.000338476	4.05829e-005	125.929	282
0	0	0.000409177	4.02378e-005	127.938	284
0	0	0.000329077	3.96218e-005	129.948	286
0	0	0.000337421	3.93153e-005	132.022	288
0	0	0.000325626	3.87788e-005	134.135	290
0	0	0.000317607	3.82941e-005	136.166	292
0	0	0.000353872	3.82613e-005	138.219	294
0	0	0.000303285	3.68626e-005	140.345	296
0	0	0.000357186	3.68466e-005	142.495	298
0	0	0.000356605	3.61765e-005	144.628	300
0	0	0.000314081	3.59931e-005	146.804	302
0	0	0.000323764	3.55508e-005	149.054	304
0	0	0.000291578	3.37606e-005	151.349	306
0	0	0.000323355	3.31589e-005	153.551	308
0	0	0.000286522	3.27232e-005	155.827	310
0	0	0.00029131	3.15823e-005	158.097	312
0	0	0.000278887	3.13458e-005	160.364	314
0	0	0.000274095	3.10531e-005	162.792	316
0	0	0.00029999	3.03526e-005	165.271	318
0	0	0.000271427	2.98136e-005	167.892	320
0	0	0.000267506	2.92852e-005	170.314	322
0	0	0.000262026	2.92349e-005	172.73	324
0	0	0.000274664	2.89555e-005	175.169	326
0	0	0.000258252	2.81338e-005	177.667	328
0	0	0.000256898	2.79974e-005	180.105	330
0	0	0.00025622	2.78366e-005	182.607	332
0	0	0.000246557	2.76872e-005	185.095	334
0	0	0.000241209	2.70725e-005	187.71	336
0	0	0.00025101	2.67485e-005	190.26	338
0	0	0.000235752	2.62922e-005	192.882	340
0	0	0.00021855	2.59867e-005	195.477	342
0	0	0.000217123	2.57589e-005	198.123	344
0	0	0.000216829	2.581e-005	200.82	346
0	0	0.000254812	2.57039e-005	203.467	348
0	0	0.000208018	2.55668e-005	206.192	350
0	0	0.000211556	2.5025e-005	208.973	352
0	0	0.000229385	2.4832e-005	211.721	354
0	0	0.00020615	2.45307e-005	214.473	356
0	0	0.000204355	2.40473e-005	217.333	358
0	0	0.000203128	2.35485e-005	220.198	360
0	0	0.000199845	2.31856e-005	223.139	362
0	0	0.000197231	2.31041e-005	226.081	364
0	0	0.000192092	2.29828e-005	229.179	366
0	0	0.000191062	2.26208e-005	232.214	368
0	0	0.000179603	2.24473e-005	235.453	370
0	0	0.000178985	2.19867e-005	238.556	372
0	0	0.000175666	2.18402e-005	241.733	374
0	0	0.000169218	2.16493e-005	244.913	376
0	0	0.000164745	2.14003e-005	248.131	378
0	0	0.000163465	2.11633e-005	251.461	380
0	0	0.000159878	2.09946e-005	254.606	382
0	0	0.000170334	2.07202e-005	257.804	384
0	0	0.000157368	2.0376e-005	261.066	386
0	0	0.000156906	1.98335e-005	264.308	388
0	0	0.000156065	1.95337e-005	267.593	390
0	0	0.000160819	1.93684e-005	270.887	392
0	0	0.000158902	1.91059e-005	274.281	394
0	0	0.000155521	1.88223e-005	277.645	396
0	0	0.00015517	1.8844e-005	281.031	398
0	0	0.000154503	1.86431e-005	284.436	400
0	0	0.000151682	1.83993e-005	287.912	402
0	0	0.000165406	1.84293e-005	291.318	404
0	0	0.000192993	1.82407e-005	294.778	406
0	0	0.000146387	1.81002e-005	298.226	408
0	0	0.000159782	1.80965e-005	301.741	410
0	0	0.000145956	1.80364e-005	305.908	412
0	0	0.000141906	1.78192e-005	310.164	414
0	0	0.000141274	1.76337e-005	314.401	416
0	0	0.000147044	1.73795e-005	318.882	418
0	0	0.000146639	1.71584e-005	323.238	420
0	0	0.000143649	1.7095e-005	327.719	422
0	0	0.000140688	1.70283e-005	331.935	424
0	0	0.000137422	1.67189e-005	336.136	426
0	0	0.000129356	1.6578e-005	340.404	428
0	0	0.00012844	1.64011e-005	344.517	430
0	0	0.000131976	1.62945e-005	348.696	432
0	0	0.000134167	1.61381e-005	352.655	434
0	0	0.000151526	1.60407e-005	356.53	436
0	0	0.000123516	1.57023e-005	360.566	438
0	0	0.000120601	1.54677e-005	364.966	440
0	0	0.000125003	1.55314e-005	369.355	442
0	0	0.000119225	1.52142e-005	373.756	444
0	0	0.000117487	1.50012e-005	378.159	446
0	0	0.0001156	1.48601e-005	382.634	448
0	0	0.000115328	1.46693e-005	387.37	450
0	0	0.000114677	1.46446e-005	392.15	452
0	0	0.000114467	1.45127e-005	396.857	454
0	0	0.000114568	1.42754e-005	401.262	456
0	0	0.000112057	1.40497e-005	405.603	458
0	0	0.00011089	1.38444e-005	409.939	460
0	0	0.000110442	1.37284e-005	414.295	462
0	0	0.000110432	1.35386e-005	418.672	464
0	0	0.000108526	1.3403e-005	423.114	466
0	0	0.00010809	1.33084e-005	427.529	468
0	0	0.000106728	1.32537e-005	432.043	470
0	0	0.000105273	1.30558e-005	436.626	472
0	0	0.000104334	1.29084e-005	441.291	474
0	0	0.000101985	1.28312e-005	445.932	476
0	0	0.000104418	1.28001e-005	450.673	478
0	0	0.000101205	1.25583e-005	455.842	480
0	0	0.000100858	1.24986e-005	460.837	482
0	0	0.000113206	1.239e-005	465.877	484
0	0	0.000100805	1.21369e-005	470.686	486
0	0	0.000106041	1.2006e-005	475.449	488
0	0	9.58282e-005	1.18488e-005	481.188	490
