step	level	max error	mean error	time
0	0	0.00489619	0.00111667	0.007998	2
0	0	0.00474247	0.00118704	0.017995	4
0	0	0.00732248	0.00120806	0.028002	6
0	0	0.0036783	0.00057017	0.039999	8
0	0	0.00863117	0.00111588	0.053997	10
0	0	0.00371602	0.000459455	0.066999	12
0	0	0.00219984	0.000413783	0.079996	14
0	0	0.0015768	0.000316872	0.094996	16
0	0	0.0016936	0.000204339	0.111997	18
0	0	0.00179632	0.000165047	0.133996	20
0	0	0.000853581	0.000151758	0.155002	22
0	0	0.000650343	0.000124842	0.177014	24
0	0	0.000663678	0.000109562	0.198995	26
0	0	0.000678331	9.81758e-005	0.222006	28
0	0	0.000524474	7.79987e-005	0.248031	30
0	0	0.000371067	5.85981e-005	0.277031	32
0	0	0.000372876	5.29904e-005	0.304999	34
0	0	0.000289031	4.2963e-005	0.335031	36
0	0	0.00025583	3.75698e-005	0.366	38
0	0	0.000219604	3.25595e-005	0.399033	40
0	0	0.000195961	2.97524e-005	0.432995	42
0	0	0.000145705	2.23114e-005	0.469031	44
0	0	0.000152441	2.25047e-005	0.506031	46
0	0	0.000132252	1.84265e-005	0.54503	48
0	0	0.000128015	1.65777e-005	0.586031	50
0	0	8.86464e-005	1.35124e-005	0.628033	52
0	0	0.000136739	1.25347e-005	0.672031	54
0	0	8.8234e-005	1.1346e-005	0.717997	56
0	0	6.29698e-005	1.01512e-005	0.768032	58
0	0	6.25052e-005	9.12176e-006	0.816036	60
0	0	5.27253e-005	7.4575e-006	0.867997	62
0	0	4.69113e-005	6.39514e-006	0.923034	64
0	0	4.26901e-005	6.11085e-006	0.978032	66
0	0	4.23743e-005	5.59989e-006	1.03603	68
0	0	4.22958e-005	5.13123e-006	1.09701	70
0	0	3.65604e-005	4.67156e-006	1.15903	72
0	0	3.43528e-005	3.96483e-006	1.22203	74
0	0	3.12372e-005	3.67276e-006	1.289	76
0	0	2.62308e-005	3.01065e-006	1.35703	78
0	0	2.58204e-005	2.95633e-006	1.42903	80
0	0	2.78347e-005	2.94278e-006	1.50103	82
0	0	1.90153e-005	2.78675e-006	1.57899	84
0	0	2.00734e-005	2.70097e-006	1.658	86
0	0	1.74861e-005	2.52599e-006	1.739	88
0	0	1.68808e-005	2.26295e-006	1.822	90
0	0	1.51643e-005	2.02688e-006	1.90603	92
0	0	1.46936e-005	1.91066e-006	1.99405	94
0	0	1.6884e-005	1.8682e-006	2.084	96
0	0	1.41048e-005	1.61685e-006	2.18	98
0	0	1.27874e-005	1.50315e-006	2.274	100
0	0	1.2319e-005	1.41336e-006	2.371	102
0	0	1.11192e-005	1.2507e-006	2.47	104
0	0	1.05132e-005	1.14613e-006	2.57107	106
0	0	9.65429e-006	1.06981e-006	2.66904	108
0	0	8.91114e-006	1.00602e-006	2.77304	110
0	0	8.1692e-006	9.53975e-007	2.87799	112
0	0	7.97573e-006	9.25978e-007	2.987	114
0	0	7.54348e-006	8.38714e-007	3.09903	116
0	0	7.45283e-006	7.93161e-007	3.21403	118
0	0	6.51717e-006	7.29832e-007	3.33104	120
0	0	5.94958e-006	6.65902e-007	3.45404	122
0	0	4.7565e-006	6.35397e-007	3.58004	124
0	0	4.58815e-006	6.10701e-007	3.70599	126
0	0	7.66649e-006	6.00619e-007	3.83304	128
0	0	4.5565e-006	5.63751e-007	3.96104	130
0	0	4.38639e-006	5.39255e-007	4.09504	132
0	0	3.97751e-006	5.2076e-007	4.23404	134
0	0	4.46075e-006	5.09448e-007	4.37203	136
0	0	3.84191e-006	4.42694e-007	4.51403	138
0	0	3.77728e-006	4.05088e-007	4.65904	140
0	0	3.48033e-006	3.68699e-007	4.80904	142
0	0	3.42737e-006	3.41988e-007	4.96004	144
0	0	3.38355e-006	3.31524e-007	5.116	146
0	0	3.35657e-006	3.10844e-007	5.27505	148
0	0	3.24863e-006	2.88233e-007	5.43903	150
0	0	3.10762e-006	2.71744e-007	5.60604	152
0	0	2.4151e-006	2.56076e-007	5.77504	154
0	0	2.31762e-006	2.39036e-007	5.94804	156
0	0	2.20189e-006	2.22262e-007	6.12704	158
0	0	2.03974e-006	2.06141e-007	6.30703	160
0	0	2.18561e-006	2.04161e-007	6.49504	162
0	0	1.90466e-006	1.91729e-007	6.69203	164
0	0	1.76699e-006	1.76818e-007	6.88504	166
0	0	1.6803e-006	1.63779e-007	7.08104	168
0	0	1.60718e-006	1.54388e-007	7.28504	170
0	0	1.29122e-006	1.46316e-007	7.49305	172
0	0	1.45662e-006	1.38965e-007	7.70303	174
0	0	1.13517e-006	1.26551e-007	7.91603	176
0	0	1.11742e-006	1.22557e-007	8.13303	178
0	0	1.10405e-006	1.1788e-007	8.35204	180
0	0	1.0641e-006	1.08886e-007	8.58004	182
0	0	9.39361e-007	1.05159e-007	8.81303	184
