step	level	max error	mean error	time
0	0	0.000803174	0.000148987	0.247
0	1	0.000619333	8.68185e-005	0.458998
0	2	0.000517676	8.19945e-005	0.660968
0	3	0.000338842	5.28734e-005	0.860965
0	4	0.000213738	4.36695e-005	1.06002
0	5	0.000166731	3.09545e-005	1.261
0	6	6.43565e-005	1.16537e-005	2.04397
0	7	5.22191e-005	7.6582e-006	2.80897
0	8	2.9913e-005	5.77378e-006	3.55797
0	9	2.63844e-005	4.57334e-006	4.31112
0	10	2.13287e-005	4.24341e-006	5.058
0	11	1.85048e-005	3.61997e-006	5.809
0	12	7.495e-006	1.14969e-006	9.332
