step	level	max error	mean error	time
0	0	1.99507	0.0596206	10.687	8
0	1	0.959885	0.1177	11.33	8
0	2	0.545276	0.047614	11.987	8
0	3	0.616923	0.0584351	12.619	8
0	4	1.14661	0.0632437	13.249	8
0	5	0.406196	0.0312866	13.904	8
0	6	0.419635	0.0866413	14.552	8
0	7	0.455796	0.0925426	15.17	8
0	8	0.480471	0.130692	15.789	8
0	9	0.363468	0.0236529	16.443	8
0	10	0.380668	0.0589047	17.094	8
0	11	0.491073	0.0918488	17.715	8
0	12	0.217875	0.0224069	18.376	8
0	13	0.485844	0.0305059	19.022	8
0	14	0.309414	0.040349	19.651	8
0	15	0.249729	0.055154	20.279	8
0	16	0.224488	0.0399742	20.931	8
0	17	0.744682	0.0387298	21.581	8
0	18	0.556932	0.0582967	22.224	8
0	19	0.824047	0.0312847	22.888	8
0	20	0.550764	0.0971434	23.538	8
0	21	0.339514	0.0546022	24.183	8
0	22	0.552421	0.0206138	24.8441	8
0	23	0.418611	0.0491807	25.506	8
0	24	0.543474	0.0262699	26.155	8
0	25	0.500251	0.0214365	26.798	8
0	26	0.253261	0.0595097	27.4641	8
0	27	0.266472	0.0500545	28.12	8
0	28	0.164321	0.0171054	28.783	8
0	29	0.43715	0.0222318	29.438	8
0	30	0.450384	0.035178	30.1	8
0	31	0.115067	0.014813	30.741	8
0	32	0.250244	0.028632	31.387	8
0	33	0.774101	0.034543	32.033	8
0	34	0.284072	0.0218056	32.68	8
0	35	0.754585	0.0679951	33.325	8
0	36	0.348594	0.0252052	33.956	8
0	37	0.194082	0.0394175	34.587	8
0	38	0.463748	0.021184	35.227	8
0	39	0.292675	0.0304087	35.864	8
0	40	0.177888	0.0516912	36.512	8
0	41	0.451755	0.0186642	37.148	8
0	42	0.266864	0.0142514	37.7831	8
0	43	0.152851	0.0306246	38.409	8
0	44	0.730944	0.0285201	39.066	8
0	45	0.249449	0.045558	39.702	8
0	46	0.41679	0.0248236	40.344	8
0	47	0.173964	0.0232119	40.99	8
0	48	0.1826	0.0359565	41.634	8
0	49	0.120876	0.0217719	42.247	8
0	50	0.718899	0.0203456	42.891	8
0	51	0.387842	0.111177	43.508	8
0	52	0.306579	0.0289745	44.157	8
0	53	0.290149	0.0791735	44.77	8
0	54	0.27074	0.0268559	45.427	8
