step	level	max error	mean error	time
0	0	0.170386	0.0183908	2.61803	2
0	0	0.134964	0.0275497	5.26204	4
0	0	0.0761987	0.0118591	7.94304	6
0	0	0.0478103	0.00552474	10.68	8
0	0	0.0346155	0.00600635	13.481	10
0	0	0.0410015	0.00415227	16.326	12
0	0	0.0262478	0.00233179	19.231	14
0	0	0.0164751	0.00196728	22.148	16
0	0	0.0157251	0.00196666	25.152	18
0	0	0.0135337	0.00187992	28.197	20
0	0	0.00999213	0.00155261	31.273	22
0	0	0.00939919	0.00147279	34.445	24
0	0	0.00904123	0.00128626	37.66	26
0	0	0.00871972	0.00103761	40.926	28
0	0	0.00803773	0.000923226	44.207	30
0	0	0.00587632	0.00088831	47.552	32
0	0	0.00641311	0.000737548	50.985	34
0	0	0.00578236	0.000622051	54.449	36
0	0	0.00766795	0.000464328	57.998	38
0	0	0.00490159	0.000463958	61.533	40
0	0	0.00486751	0.00046269	65.165	42
0	0	0.00400762	0.000462061	68.803	44
0	0	0.00367264	0.000406102	72.554	46
0	0	0.00450225	0.000396338	76.332	48
0	0	0.0034353	0.000369066	80.186	50
0	0	0.00383969	0.000373369	84.053	52
0	0	0.00366158	0.000373204	88.011	54
0	0	0.00277099	0.000315424	92.033	56
0	0	0.00311654	0.00031537	96.099	58
0	0	0.00320569	0.000339534	100.231	60
0	0	0.002432	0.000277444	104.408	62
0	0	0.00269241	0.000260027	108.758	64
0	0	0.00306227	0.000250225	113.07	66
0	0	0.00286153	0.000240035	117.43	68
0	0	0.00215266	0.000238558	122.102	70
0	0	0.00215908	0.000238188	126.554	72
0	0	0.0019558	0.000225868	131.067	74
0	0	0.00190847	0.000179122	135.634	76
0	0	0.00238273	0.000178896	140.259	78
0	0	0.00185729	0.000178652	144.914	80
0	0	0.00178308	0.000178601	149.626	82
0	0	0.00184952	0.000174915	154.336	84
0	0	0.00165559	0.000163573	159.471	86
0	0	0.00204455	0.00016235	164.695	88
0	0	0.00158403	0.000160829	169.713	90
0	0	0.00220484	0.000160323	174.769	92
0	0	0.00150192	0.000160251	179.892	94
0	0	0.00135774	0.00016004	184.981	96
0	0	0.0013107	0.000135744	190.118	98
0	0	0.00128686	0.000135737	195.325	100
0	0	0.00110916	0.00013559	200.514	102
0	0	0.00119767	0.000127767	205.835	104
0	0	0.00106917	0.000126483	211.189	106
0	0	0.00102234	0.0001264	216.628	108
0	0	0.0012142	0.000126376	222.085	110
0	0	0.00119083	0.00012915	227.63	112
0	0	0.00115372	0.00012747	233.586	114
0	0	0.000935299	0.00012739	239.428	116
