step	level	max error	mean error	time
0	0	0.567368	0.0479534	2.736	2
0	0	0.118681	0.0274039	5.65604	4
0	0	0.0626242	0.00673623	8.52803	6
0	0	0.0264186	0.00560755	11.655	8
0	0	0.0418503	0.00372764	14.539	10
0	0	0.0259772	0.0033523	17.462	12
0	0	0.0202314	0.00331351	20.398	14
0	0	0.0579796	0.00339855	23.414	16
0	0	0.0136265	0.00273183	27.326	18
0	0	0.015161	0.00181642	31.748	20
0	0	0.0140874	0.00181373	35.376	22
0	0	0.0141125	0.0016284	38.852	24
0	0	0.0131466	0.00120889	42.3666	26
0	0	0.0109211	0.00107046	46.0456	28
0	0	0.0117193	0.00106556	49.7256	30
0	0	0.00995149	0.00106565	53.3716	32
0	0	0.00948694	0.000998401	57.5346	34
0	0	0.00705918	0.000997066	61.4032	36
0	0	0.00667919	0.000916882	65.1842	38
0	0	0.00629039	0.000916644	69.0712	40
0	0	0.00563552	0.000907825	72.7582	42
0	0	0.00523651	0.000660331	76.6662	44
0	0	0.00517635	0.000660213	80.7872	46
0	0	0.00515847	0.000660448	85.5287	48
0	0	0.00485244	0.000616657	89.9462	50
0	0	0.00452804	0.000616732	94.3383	52
0	0	0.00452293	0.000615373	98.8793	54
0	0	0.00427562	0.000614394	103.355	56
0	0	0.00435113	0.000575379	108.101	58
0	0	0.00372354	0.000590796	112.921	60
0	0	0.00372417	0.000589178	117.525	62
0	0	0.00480383	0.000485557	122.072	64
0	0	0.00392682	0.000483424	126.701	66
0	0	0.00354547	0.000413942	131.283	68
0	0	0.00348695	0.000413397	135.845	70
0	0	0.0032804	0.000356799	140.765	72
0	0	0.0056814	0.000357514	145.607	74
0	0	0.00364331	0.000357592	150.579	76
0	0	0.00291581	0.00029246	155.509	78
0	0	0.00283762	0.000292305	160.581	80
0	0	0.00254772	0.000272393	166.141	82
0	0	0.0025096	0.000266915	171.698	84
0	0	0.00241928	0.000266835	177.082	86
0	0	0.00230267	0.000266785	182.162	88
0	0	0.00234009	0.000266682	187.251	90
0	0	0.00224349	0.000266393	192.301	92
0	0	0.00217141	0.000231387	197.902	94
0	0	0.00199217	0.000231344	203.351	96
0	0	0.00204906	0.00023133	208.868	98
0	0	0.00195103	0.000231237	214.397	100
0	0	0.00187742	0.000218617	220.904	102
0	0	0.00178348	0.000217928	228.201	104
0	0	0.00165868	0.000213017	234.721	106
0	0	0.00154102	0.000212975	240.522	108
0	0	0.00148587	0.000198923	246.281	110
0	0	0.00141288	0.000183074	251.797	112
0	0	0.00135984	0.000183006	257.327	114
0	0	0.00135178	0.000175828	263.245	116
0	0	0.00133623	0.000169876	269.02	118
0	0	0.00131665	0.000167322	274.809	120
0	0	0.00125665	0.000166297	280.667	122
0	0	0.0012122	0.000166237	286.541	124
0	0	0.00125098	0.000158317	292.582	126
0	0	0.00119264	0.000156045	298.607	128
0	0	0.00114771	0.000147224	304.926	130
0	0	0.00120533	0.000147175	311.466	132
0	0	0.00111071	0.000142334	317.559	134
0	0	0.00104834	0.000142249	323.687	136
0	0	0.00104955	0.000139773	329.836	138
0	0	0.000996883	0.00013963	336.063	140
