step	level	max error	mean error	time
0	0	0.42573	0.046229	2.31702	2
0	0	0.162644	0.0349362	4.63603	3
0	0	0.0961999	0.0141188	6.97302	4
0	0	0.0323762	0.00381153	9.34702	5
0	0	0.0296183	0.00539417	11.739	6
0	0	0.0217295	0.0023121	14.117	7
0	0	0.0250793	0.00316085	16.55	8
0	0	0.0163502	0.00193932	18.989	9
0	0	0.0130853	0.00140733	21.478	10
0	0	0.0101896	0.0012992	23.967	11
0	0	0.0122182	0.00134451	26.483	12
0	0	0.00815131	0.00104562	29.041	13
0	0	0.00927266	0.00112672	31.596	14
0	0	0.0067248	0.000923317	34.164	15
0	0	0.00668899	0.000883457	36.735	16
0	0	0.00570127	0.000834947	39.41	17
0	0	0.00492485	0.000639956	42.119	18
0	0	0.00408731	0.000527374	44.832	19
0	0	0.00402622	0.000458302	47.558	20
0	0	0.00402834	0.000444695	50.309	21
0	0	0.00325369	0.000414222	53.102	22
0	0	0.00405302	0.000477705	55.905	23
0	0	0.00311895	0.000379403	58.7	24
0	0	0.00323047	0.000364377	61.533	25
0	0	0.00296872	0.000327204	64.356	26
0	0	0.0022855	0.000283515	67.247	27
0	0	0.00191886	0.000246857	70.163	28
0	0	0.00171897	0.00021521	73.108	29
0	0	0.00169036	0.000204863	76.016	30
0	0	0.00146537	0.00020493	78.975	31
0	0	0.00146483	0.000208569	81.945	32
0	0	0.00133968	0.000172014	84.964	33
0	0	0.00118395	0.000161634	88.031	34
0	0	0.00119207	0.000160475	91.13	35
0	0	0.0010755	0.000161572	94.183	36
0	0	0.0010714	0.00016569	97.326	37
0	0	0.00103735	0.000158104	100.458	38
0	0	0.00091046	0.000143854	103.603	39
