step	level	max error	mean error	time
0	0	0.974925	0.0725733	2.60102	2
0	0	0.384168	0.0465865	5.22798	4
0	0	0.177981	0.0307294	8.01398	6
0	0	0.134	0.0292037	10.879	8
0	0	0.139868	0.01027	13.8803	10
0	0	0.0713515	0.00928798	17.2343	12
0	0	0.0477612	0.00868771	20.1963	14
0	0	0.0461293	0.00840083	23.2163	16
0	0	0.0336909	0.00617777	26.4233	18
0	0	0.0234777	0.0028014	29.5983	20
0	0	0.0200121	0.00279108	32.9853	22
0	0	0.0180188	0.00258911	36.2683	24
0	0	0.0167278	0.00200185	39.8013	26
0	0	0.0137678	0.00185766	43.217	28
0	0	0.0104389	0.00141633	46.809	30
0	0	0.0157834	0.00106476	50.4531	32
0	0	0.0106228	0.00106325	54.1472	34
0	0	0.00968026	0.0010608	57.9781	36
0	0	0.00962016	0.00107205	61.6041	38
0	0	0.00843437	0.0010702	65.2232	40
0	0	0.00800457	0.000894805	69.0352	42
0	0	0.00789217	0.000893106	72.9012	44
0	0	0.00692475	0.000657483	76.9431	46
0	0	0.00688297	0.000656515	80.8335	48
0	0	0.00824922	0.000613919	84.8415	50
0	0	0.00598406	0.00061205	89.2205	52
0	0	0.00565796	0.000613754	93.4899	54
0	0	0.00488639	0.000612776	98.0079	56
0	0	0.00677655	0.000548001	102.679	58
0	0	0.00556522	0.000547268	107.404	60
0	0	0.00439407	0.000506955	112.04	62
0	0	0.00412039	0.000506386	116.208	64
0	0	0.00607273	0.000560688	120.448	66
0	0	0.00424135	0.00051701	125.017	68
0	0	0.00411317	0.000422691	129.681	70
0	0	0.00400469	0.000391884	134.547	72
0	0	0.00450618	0.000391875	139.28	74
0	0	0.00403414	0.000391505	144.061	76
0	0	0.00496456	0.000391215	148.606	78
0	0	0.00370733	0.000390451	153.251	80
0	0	0.00340522	0.000341015	157.904	82
0	0	0.0029697	0.000340532	162.61	84
0	0	0.00276283	0.00028783	167.372	86
0	0	0.00301385	0.00028113	172.192	88
0	0	0.00267862	0.000281138	177.026	90
0	0	0.00281951	0.000281104	181.941	92
0	0	0.00250359	0.000280881	186.916	94
0	0	0.0022795	0.000280813	191.923	96
0	0	0.00245284	0.000282263	196.962	98
0	0	0.00236989	0.000281812	202.094	100
0	0	0.00259511	0.000270516	207.316	102
0	0	0.00203916	0.000270328	212.525	104
0	0	0.00194165	0.00027001	217.857	106
0	0	0.00193465	0.000269884	223.21	108
0	0	0.0017773	0.000270445	228.616	110
0	0	0.00180747	0.000243647	234.065	112
0	0	0.00177292	0.000243455	239.589	114
0	0	0.00170778	0.000228572	245.175	116
0	0	0.00164214	0.000228491	250.76	118
0	0	0.00154523	0.000217799	256.418	120
0	0	0.00150015	0.000205878	262.132	122
0	0	0.00146222	0.000212371	268.01	124
0	0	0.00171761	0.000174177	273.885	126
0	0	0.00136055	0.000169034	279.769	128
0	0	0.0020291	0.000160644	285.687	130
0	0	0.0012612	0.000160436	291.696	132
0	0	0.00126775	0.000154451	297.776	134
0	0	0.00116383	0.000154356	303.896	136
0	0	0.00125383	0.000149708	310.094	138
0	0	0.00202465	0.000136196	316.295	140
0	0	0.00114671	0.000136019	322.587	142
0	0	0.00148342	0.000135778	328.946	144
0	0	0.00110641	0.000130613	335.296	146
0	0	0.00108795	0.000130606	341.719	148
0	0	0.00108622	0.000130504	348.191	150
0	0	0.00106635	0.000117112	354.72	152
0	0	0.000965267	0.000117059	361.361	154
