step	level	max error	mean error	time
0	0	0.134964	0.0275497	5.172	4
0	1	0.068776	0.00809199	5.39104	4
0	2	0.0443288	0.00800492	5.62504	4
0	3	0.0268491	0.00468689	5.84204	4
0	4	0.0465806	0.00714131	6.064	4
0	5	0.0398284	0.00482966	6.29704	4
0	6	0.030695	0.00519585	6.522	4
0	7	0.0278727	0.00388242	6.743	4
0	8	0.0214244	0.00264516	6.96903	4
0	9	0.0320755	0.00516379	7.19304	4
0	10	0.0197574	0.0032665	7.419	4
0	11	0.0213025	0.00299126	7.633	4
0	12	0.0332973	0.00385905	7.85	4
0	13	0.0215626	0.00315292	8.068	4
0	14	0.0163795	0.00259348	8.28302	4
0	15	0.0217542	0.0033241	8.50001	4
0	16	0.0106006	0.00172091	8.722	4
0	17	0.0152832	0.00298668	8.94501	4
0	18	0.0184678	0.00235515	9.164	4
0	19	0.0204442	0.00398658	9.377	4
0	20	0.0193375	0.00400322	9.594	4
0	21	0.011065	0.0015329	9.813	4
0	22	0.0157299	0.00219163	10.032	4
0	23	0.0164021	0.00308068	10.256	4
0	24	0.0112704	0.00176503	10.487	4
0	25	0.0154892	0.00229854	10.711	4
0	26	0.0144358	0.00272262	10.933	4
0	27	0.00965234	0.00157018	11.16	4
0	28	0.00906483	0.001139	11.39	4
0	29	0.0088877	0.00125604	11.615	4
0	30	0.0131294	0.00153438	11.847	4
0	31	0.0104471	0.00176307	12.0761	4
0	32	0.0128396	0.00207789	12.306	4
0	33	0.00901726	0.00158329	12.524	4
0	34	0.0115176	0.00204074	12.739	4
0	35	0.00960714	0.00108437	12.956	4
0	36	0.0100243	0.00185811	13.169	4
0	37	0.0119216	0.00212882	13.385	4
0	38	0.0102078	0.00178037	13.604	4
0	39	0.00836171	0.00131807	13.831	4
0	40	0.00672862	0.000973819	14.06	4
0	41	0.00934178	0.0018633	14.282	4
0	42	0.00776686	0.00108344	14.512	4
0	43	0.0107175	0.00239441	14.743	4
0	44	0.00837618	0.00143639	14.962	4
0	45	0.0117989	0.00253843	15.192	4
0	46	0.012427	0.00168528	15.418	4
0	47	0.0082789	0.00114651	15.646	4
0	48	0.00954337	0.00164353	15.868	4
0	49	0.00869107	0.00118748	16.087	4
0	50	0.0125184	0.00182173	16.306	4
0	51	0.00638254	0.00102883	16.534	4
0	52	0.00441739	0.000905623	16.765	4
0	53	0.00705932	0.00138502	16.978	4
0	54	0.010481	0.00179765	17.195	4
0	55	0.00739435	0.00122794	17.424	4
0	56	0.00720724	0.00115537	17.651	4
0	57	0.00713402	0.00140192	17.876	4
0	58	0.00579222	0.000879095	18.1	4
0	59	0.00846375	0.00128966	18.309	4
0	60	0.00545274	0.000984312	18.54	4
0	61	0.00593034	0.00100444	18.77	4
0	62	0.00777248	0.00131619	19.003	4
0	63	0.00621756	0.000758254	19.222	4
0	64	0.00831843	0.00078215	19.446	4
0	65	0.00469372	0.000662377	19.667	4
0	66	0.00599542	0.00133487	19.897	4
0	67	0.00715083	0.0011734	20.123	4
0	68	0.00816267	0.00154383	20.338	4
0	69	0.00737648	0.00152398	20.561	4
0	70	0.0067619	0.00129195	20.783	4
0	71	0.00552377	0.000929892	21.01	4
0	72	0.00459879	0.00100883	21.231	4
0	73	0.00444243	0.00061889	21.453	4
0	74	0.00639532	0.00139727	21.674	4
0	75	0.00412292	0.000704998	21.9	4
0	76	0.0046687	0.000865299	22.115	4
0	77	0.0061792	0.00108649	22.336	4
0	78	0.00712173	0.000963878	22.562	4
0	79	0.00484067	0.000600756	22.782	4
0	80	0.0049909	0.00108586	22.999	4
0	81	0.00384264	0.000623628	23.231	4
0	82	0.00449726	0.00071378	23.447	4
0	83	0.00476612	0.000662513	23.67	4
0	84	0.00387487	0.000768554	23.894	4
0	85	0.0145807	0.0022529	24.129	4
0	86	0.00596226	0.000827025	24.361	4
0	87	0.00719832	0.00110354	24.586	4
0	88	0.00518617	0.000546551	24.817	4
0	89	0.00559197	0.000788415	25.048	4
0	90	0.00602954	0.000990665	25.271	4
0	91	0.00505536	0.000748422	25.495	4
0	92	0.00565148	0.000845208	25.725	4
0	93	0.00989448	0.00168619	25.945	4
0	94	0.00759824	0.00101218	26.167	4
0	95	0.00858746	0.00145867	26.383	4
0	96	0.00499741	0.00103308	26.599	4
0	97	0.00556383	0.000696054	26.818	4
0	98	0.00497891	0.000918867	27.034	4
0	99	0.00476783	0.000852672	27.266	4
0	100	0.00330069	0.000669564	27.494	4
0	101	0.00449379	0.0007565	27.718	4
0	102	0.00330996	0.00054721	27.946	4
0	103	0.0062594	0.00117798	28.171	4
0	104	0.00326327	0.000563975	28.393	4
0	105	0.00418858	0.000691561	28.605	4
0	106	0.00441613	0.000640693	28.833	4
0	107	0.00375846	0.000528494	29.051	4
0	108	0.00400877	0.00080864	29.279	4
0	109	0.00365621	0.000570162	29.503	4
0	110	0.0032784	0.000557026	29.721	4
0	111	0.00510045	0.000802949	29.944	4
0	112	0.0030816	0.000544939	30.16	4
0	113	0.00255801	0.000502884	30.381	4
0	114	0.00284405	0.000504202	30.596	4
0	115	0.00481668	0.00095858	30.8231	4
0	116	0.00541991	0.00108805	31.046	4
0	117	0.00479953	0.000960543	31.269	4
0	118	0.00371413	0.000646089	31.489	4
0	119	0.00365013	0.000641318	31.711	4
0	120	0.00519014	0.000959794	31.936	4
0	121	0.00294048	0.000406907	32.16	4
0	122	0.00359019	0.000701113	32.381	4
0	123	0.00317294	0.00033133	32.608	4
0	124	0.00650859	0.00107804	32.828	4
0	125	0.00423047	0.000716228	33.042	4
0	126	0.00488533	0.000658035	33.262	4
0	127	0.00315089	0.000585478	33.491	4
0	128	0.00479494	0.000840864	33.713	4
0	129	0.00362272	0.000707419	33.936	4
0	130	0.00344185	0.000700925	34.163	4
0	131	0.00308499	0.000397812	34.388	4
0	132	0.00295179	0.000419435	34.613	4
0	133	0.00355944	0.000457557	34.841	4
0	134	0.00522612	0.00085658	35.063	4
0	135	0.003314	0.000368821	35.285	4
0	136	0.00475726	0.000505689	35.512	4
0	137	0.00312588	0.000399896	35.736	4
0	138	0.0251331	0.0033859	35.957	4
0	139	0.00522554	0.000605083	36.192	4
0	140	0.00718179	0.000825564	36.414	4
0	141	0.0083774	0.00147607	36.645	4
0	142	0.00430667	0.000683851	36.872	4
0	143	0.00324044	0.000486577	37.097	4
0	144	0.00583425	0.000965128	37.315	4
0	145	0.00284957	0.000522828	37.537	4
0	146	0.0037426	0.00068131	37.758	4
0	147	0.00471125	0.00105159	37.981	4
0	148	0.00408924	0.000626123	38.205	4
0	149	0.00488911	0.00101807	38.437	4
0	150	0.00699757	0.00134101	38.651	4
0	151	0.00335674	0.000534527	38.868	4
0	152	0.0038428	0.000743791	39.091	4
0	153	0.00377732	0.000447755	39.311	4
0	154	0.00327046	0.000390615	39.538	4
0	155	0.00387017	0.000828148	39.753	4
0	156	0.00361199	0.00062255	39.976	4
0	157	0.00322961	0.000404756	40.198	4
0	158	0.00259899	0.000384583	40.412	4
0	159	0.00291108	0.000460662	40.635	4
0	160	0.00285326	0.000443188	40.857	4
0	161	0.00319226	0.000589166	41.077	4
0	162	0.0033757	0.000562893	41.303	4
0	163	0.00409678	0.000458647	41.534	4
0	164	0.00347827	0.000771296	41.7511	4
0	165	0.00395664	0.000502963	41.98	4
0	166	0.00290116	0.000541419	42.196	4
0	167	0.00255238	0.000512712	42.409	4
0	168	0.00304291	0.000505896	42.631	4
0	169	0.00407681	0.000889985	42.877	4
0	170	0.00209183	0.000279919	43.103	4
0	171	0.00306265	0.000441415	43.324	4
0	172	0.00284903	0.000619003	43.555	4
0	173	0.00495244	0.000563855	43.796	4
0	174	0.00246425	0.000424799	44.025	4
0	175	0.00385509	0.000591231	44.244	4
0	176	0.00329611	0.000583503	44.466	4
0	177	0.00334929	0.00055462	44.729	4
0	178	0.00485496	0.000670699	44.956	4
0	179	0.00343744	0.000452046	45.19	4
0	180	0.0028536	0.000569157	45.419	4
0	181	0.00293601	0.000628786	45.644	4
0	182	0.00408935	0.000553791	45.869	4
0	183	0.00270771	0.000484885	46.093	4
0	184	0.0034117	0.000497508	46.314	4
0	185	0.00412942	0.000638293	46.528	4
0	186	0.00290448	0.000403951	46.757	4
0	187	0.0035847	0.000564966	46.976	4
0	188	0.0026911	0.00042878	47.193	4
0	189	0.00263874	0.000484602	47.416	4
0	190	0.00387789	0.000586998	47.641	4
0	191	0.00215457	0.00044713	47.86	4
0	192	0.00342539	0.000536736	48.082	4
0	193	0.00301303	0.000594167	48.304	4
0	194	0.00267394	0.000479952	48.533	4
0	195	0.00342921	0.000566367	48.763	4
0	196	0.00245327	0.000422097	48.992	4
0	197	0.00292024	0.000617359	49.215	4
0	198	0.00263431	0.000463845	49.438	4
0	199	0.00424617	0.000621554	49.663	4
0	200	0.00438561	0.000454315	49.892	4
0	201	0.00337409	0.000510335	50.114	4
0	202	0.00338826	0.000646017	50.336	4
0	203	0.00245328	0.000337148	50.563	4
0	204	0.002572	0.000369042	50.788	4
0	205	0.00405795	0.000845821	51.01	4
0	206	0.00346299	0.000560225	51.237	4
0	207	0.00354594	0.000540998	51.462	4
0	208	0.00653897	0.000703212	51.681	4
0	209	0.0048277	0.000677783	51.9081	4
0	210	0.00510472	0.000860599	52.1331	4
0	211	0.00480792	0.000642563	52.362	4
0	212	0.00301385	0.00047477	52.58	4
0	213	0.00312777	0.000435959	52.803	4
0	214	0.00355568	0.000576351	53.026	4
0	215	0.00362419	0.000594991	53.246	4
0	216	0.00297676	0.000419564	53.471	4
0	217	0.0022984	0.000408366	53.69	4
0	218	0.00263885	0.00045962	53.904	4
0	219	0.00235893	0.000498342	54.122	4
0	220	0.00331479	0.000533106	54.342	4
0	221	0.0027381	0.00036829	54.563	4
0	222	0.00410652	0.000652292	54.777	4
0	223	0.00260887	0.000312066	55.004	4
0	224	0.00275829	0.000382969	55.225	4
0	225	0.00210498	0.000426256	55.448	4
0	226	0.00230174	0.000297177	55.663	4
0	227	0.00255105	0.000387779	55.887	4
0	228	0.0023326	0.000351522	56.097	4
0	229	0.00236011	0.000245608	56.318	4
0	230	0.00202617	0.000400203	56.547	4
0	231	0.00842483	0.00156265	56.757	4
0	232	0.00394057	0.000541845	56.981	4
0	233	0.00430528	0.000624876	57.193	4
0	234	0.00326739	0.000658825	57.428	4
0	235	0.00264965	0.000314679	57.652	4
0	236	0.00390893	0.000548105	57.874	4
0	237	0.00288389	0.000503637	58.103	4
0	238	0.0024156	0.000421031	58.3301	4
0	239	0.00243049	0.000347625	58.557	4
0	240	0.00245031	0.000357844	58.785	4
0	241	0.0037316	0.000495391	59.003	4
0	242	0.00173722	0.000287716	59.223	4
0	243	0.00228184	0.000368637	59.446	4
0	244	0.00245125	0.000406962	59.668	4
0	245	0.00196802	0.000418585	59.885	4
0	246	0.00206523	0.000343263	60.105	4
0	247	0.00319216	0.000575945	60.321	4
