step	level	max error	mean error	time
0	0	0.103702	0.00996378	81.817	48
0	1	0.0576216	0.00565389	98.4351	48
0	2	0.0362665	0.00546912	115.068	48
0	3	0.0471298	0.00862426	132.176	48
0	4	0.0337141	0.00352373	149.283	48
0	5	0.0240722	0.00444665	165.629	48
0	6	0.0304254	0.00350661	182.21	48
0	7	0.0187159	0.00312374	198.88	48
0	8	0.0397575	0.0034163	216.324	48
0	9	0.0208455	0.00308208	233.034	48
0	10	0.0200319	0.00257095	249.888	48
0	11	0.0196586	0.00331792	266.163	48
0	12	0.0293123	0.00251324	282.517	48
0	13	0.0166207	0.00207987	298.939	48
0	14	0.013904	0.00241435	315.431	48
0	15	0.0165221	0.00185401	332.799	48
0	16	0.0120666	0.00189143	349.737	48
0	17	0.0119888	0.00141666	367.328	48
