step	level	max error	mean error	time
0	0	0.0489035	0.00177246	0.051314
0	1	0.0142551	0.00147758	0.098392
0	2	0.00457555	0.00104967	0.141355
0	3	0.00706705	0.000992553	0.186548
0	4	0.00353772	0.000540767	0.230604
0	5	0.00248776	0.000478897	0.274726
0	6	0.00237834	0.000474354	0.317769
0	7	0.00215771	0.000410854	0.365415
0	8	0.0024491	0.000423522	0.409584
0	9	0.00172846	0.000310967	0.454774
0	10	0.00529179	0.000581611	0.496294
0	11	0.00227878	0.000282775	0.537355
0	12	0.00197775	0.000457085	0.58181
0	13	0.00159518	0.00015966	0.623701
0	14	0.00106449	0.000144167	0.667479
0	15	0.000713625	0.000153438	0.709597
0	16	0.000806633	0.000131567	0.754292
0	17	0.000879334	0.000127835	0.799289
0	18	0.000613913	0.000123756	0.84531
0	19	0.000577183	0.000124116	0.890117
0	20	0.00057887	0.00011951	0.930854
0	21	0.00146621	0.000280117	0.973832
0	22	0.000442361	0.000103687	1.01854
0	23	0.000756802	0.000102299	1.06128
0	24	0.000551419	0.000114465	1.10659
0	25	0.000532688	7.48091e-005	1.14841
0	26	0.000409435	7.80438e-005	1.19081
0	27	0.00046885	0.00011582	1.2362
0	28	0.00027738	5.7847e-005	1.28084
0	29	0.000275215	5.70262e-005	1.32485
0	30	0.00171498	0.000244663	1.3688
0	31	0.000293692	5.92037e-005	1.41093
0	32	0.000221863	5.5275e-005	1.45345
0	33	0.000261353	7.04576e-005	1.49435
0	34	0.000376918	7.52092e-005	1.53614
0	35	0.0003793	5.92135e-005	1.58118
0	36	0.000381193	5.85525e-005	1.62441
0	37	0.000378746	6.95166e-005	1.66573
0	38	0.000236047	4.8623e-005	1.70914
0	39	0.000361815	5.68173e-005	1.75225
0	40	0.000196027	4.69342e-005	1.79729
0	41	0.000181182	4.42666e-005	1.83916
0	42	0.000217948	5.13779e-005	1.88363
0	43	0.000433601	4.74157e-005	1.92995
0	44	0.000205717	4.58453e-005	1.97154
0	45	0.000429472	4.39005e-005	2.01626
0	46	0.000246067	5.93183e-005	2.05954
0	47	0.000212941	4.42722e-005	2.10569
0	48	0.000210456	4.39889e-005	2.1504
0	49	0.000292762	3.99309e-005	2.19224
0	50	0.000298374	3.11551e-005	2.23528
0	51	0.000251604	5.49571e-005	2.28235
0	52	0.000184908	3.41348e-005	2.32718
0	53	0.000418918	3.34517e-005	2.3687
0	54	0.000285427	4.82169e-005	2.41159
0	55	0.000137843	2.84835e-005	2.45625
0	56	0.000118708	2.90028e-005	2.4983
0	57	0.000200359	3.91808e-005	2.54656
0	58	0.000107088	2.40986e-005	2.58834
0	59	9.50026e-005	2.67388e-005	2.63133
