step	level	max error	mean error	time
0	0	2.07749	0.188337	0.006	4
0	1	0.225078	0.0415228	0.015001	8
0	2	0.0262546	0.00259046	0.055998	20
0	3	0.0101383	0.00148309	0.112999	24
0	4	0.00435817	0.000809687	0.191037	28
0	5	0.00195201	0.000321968	0.288035	32
0	6	0.000897237	0.000155287	0.506031	48
0	7	0.000410745	9.16747e-005	0.639003	36
0	8	0.000167208	2.94589e-005	0.857761	44
0	9	7.64593e-005	1.24421e-005	1.04576	44
0	10	3.58196e-005	6.22497e-006	1.2688	48
0	11	1.34905e-005	2.1327e-006	1.70179	64
0	12	5.91495e-006	9.61317e-007	2.19376	64
0	13	2.20307e-006	2.99822e-007	3.07478	88
0	14	1.00249e-006	1.41128e-007	3.9978	92
0	15	4.77911e-007	5.12272e-008	5.33379	104
0	16	2.27998e-007	3.35293e-008	7.10676	116
0	17	1.11287e-007	1.39743e-008	9.2688	128
0	18	5.11138e-008	7.27527e-009	12.1598	144
0	19	2.35759e-008	2.56436e-009	16.2378	164
0	20	7.565e-009	1.71638e-009	22.1128	184
