step	level	max error	mean error	time
0	0	0.00309398	0.000610091	0.064003	2
0	0	0.00653971	0.000878026	0.141	4
0	0	0.00250409	0.000492117	0.227006	6
0	0	0.00181494	0.00027611	0.314024	8
0	0	0.00180525	0.000309364	0.415005	10
0	0	0.00439308	0.000865921	0.526	12
0	0	0.00298493	0.000425992	0.628998	14
0	0	0.00219141	0.000391432	0.735002	16
0	0	0.00169714	0.000211522	0.867005	18
0	0	0.00164565	0.000217019	1.016	20
0	0	0.00067468	0.000151696	1.221	22
0	0	0.000819442	0.000142075	1.434	24
0	0	0.000734158	0.000125611	1.633	26
0	0	0.000505546	9.64936e-005	1.802	28
0	0	0.000520872	8.46936e-005	1.97901	30
0	0	0.000413294	7.35324e-005	2.163	32
0	0	0.000411904	5.30322e-005	2.342	34
0	0	0.000379449	5.02888e-005	2.527	36
0	0	0.000342621	4.67032e-005	2.702	38
0	0	0.000299117	4.37026e-005	2.898	40
0	0	0.000273789	3.8053e-005	3.094	42
0	0	0.000215693	3.04453e-005	3.30202	44
0	0	0.000218427	2.81516e-005	3.517	46
0	0	0.000182972	2.4764e-005	3.73203	48
0	0	0.000171175	2.23542e-005	3.939	50
0	0	0.000143057	2.0393e-005	4.144	52
0	0	0.000136257	1.75429e-005	4.36101	54
0	0	0.000128638	1.53861e-005	4.65	56
0	0	0.000142103	1.40368e-005	4.911	58
0	0	0.000124897	1.34118e-005	5.181	60
0	0	9.86294e-005	1.23527e-005	5.419	62
0	0	8.06607e-005	1.09752e-005	5.68	64
0	0	7.52531e-005	9.51941e-006	5.93804	66
0	0	5.88602e-005	7.81498e-006	6.195	68
0	0	5.27901e-005	6.88826e-006	6.46503	70
0	0	4.79043e-005	6.13526e-006	6.741	72
0	0	4.40494e-005	5.59931e-006	7.01303	74
0	0	4.40065e-005	5.26983e-006	7.29404	76
0	0	3.47377e-005	4.7184e-006	7.58604	78
0	0	3.03963e-005	4.36536e-006	7.892	80
0	0	2.71886e-005	3.99739e-006	8.24004	82
0	0	2.56287e-005	3.51048e-006	8.59403	84
0	0	2.23984e-005	3.38187e-006	8.954	86
0	0	2.19582e-005	3.24085e-006	9.378	88
0	0	2.06775e-005	3.01574e-006	9.803	90
0	0	2.05896e-005	2.79609e-006	10.238	92
0	0	1.86596e-005	2.68704e-006	10.709	94
0	0	1.74928e-005	2.50108e-006	11.122	96
0	0	1.773e-005	2.31123e-006	11.534	98
0	0	1.63699e-005	2.208e-006	11.938	100
0	0	1.50363e-005	2.06445e-006	12.353	102
0	0	1.49383e-005	1.98422e-006	12.741	104
0	0	1.4036e-005	1.71731e-006	13.152	106
0	0	1.37867e-005	1.61053e-006	13.619	108
0	0	1.21468e-005	1.47483e-006	14.078	110
0	0	1.49748e-005	1.47055e-006	14.546	112
0	0	1.05034e-005	1.37093e-006	15.004	114
0	0	1.12038e-005	1.30774e-006	15.459	116
0	0	1.07417e-005	1.21766e-006	15.968	118
0	0	1.04308e-005	1.14862e-006	16.425	120
0	0	1.12199e-005	1.10441e-006	16.862	122
0	0	9.96499e-006	1.04951e-006	17.38	124
0	0	9.04051e-006	9.67094e-007	17.914	126
0	0	7.28605e-006	8.66781e-007	18.414	128
0	0	7.26656e-006	8.46461e-007	18.936	130
0	0	1.25363e-005	8.63739e-007	19.501	132
0	0	9.48301e-006	8.33454e-007	20.045	134
0	0	7.11806e-006	7.30017e-007	20.585	136
0	0	6.92623e-006	7.07303e-007	21.121	138
0	0	6.56567e-006	6.43638e-007	21.662	140
0	0	5.91224e-006	6.41628e-007	22.234	142
0	0	5.30588e-006	5.94946e-007	22.834	144
0	0	4.60673e-006	5.58184e-007	23.417	146
0	0	4.5825e-006	5.35905e-007	23.992	148
0	0	4.1197e-006	5.06382e-007	24.54	150
0	0	3.98455e-006	4.62245e-007	25.062	152
0	0	5.04409e-006	4.49501e-007	25.6011	154
0	0	3.87464e-006	4.31135e-007	26.15	156
0	0	3.80641e-006	4.01987e-007	26.7121	158
0	0	3.34352e-006	3.84049e-007	27.292	160
0	0	3.75601e-006	3.67239e-007	27.971	162
0	0	3.32678e-006	3.61452e-007	28.672	164
0	0	3.25777e-006	3.49427e-007	29.367	166
0	0	3.09059e-006	3.38724e-007	30.047	168
0	0	3.04633e-006	3.18291e-007	30.714	170
0	0	2.77377e-006	3.0713e-007	31.395	172
0	0	2.6026e-006	2.93114e-007	32.078	174
0	0	2.56401e-006	2.71088e-007	32.766	176
0	0	2.4245e-006	2.45057e-007	33.475	178
0	0	2.54446e-006	2.40395e-007	34.301	180
0	0	2.32916e-006	2.28365e-007	35.029	182
0	0	2.12229e-006	2.22164e-007	35.789	184
0	0	1.88929e-006	2.11547e-007	36.55	186
0	0	1.789e-006	2.04334e-007	37.394	188
0	0	1.78029e-006	1.95913e-007	38.089	190
0	0	1.75589e-006	1.89416e-007	38.8705	192
0	0	1.94427e-006	1.75717e-007	39.6225	194
0	0	1.50299e-006	1.72047e-007	40.3796	196
0	0	1.46256e-006	1.66247e-007	41.1476	198
0	0	1.68996e-006	1.63246e-007	41.9156	200
0	0	1.44984e-006	1.54896e-007	42.6676	202
0	0	1.42002e-006	1.55567e-007	43.4405	204
0	0	1.38061e-006	1.50777e-007	44.1916	206
0	0	1.29075e-006	1.43473e-007	44.9716	208
0	0	1.34755e-006	1.38893e-007	45.7576	210
0	0	1.2709e-006	1.28344e-007	46.5586	212
