step	level	max error	mean error	time
0	0	0.00343945	0.000725533	0.054967	2
0	0	0.004443	0.00113554	0.116971	4
0	0	0.00540996	0.00104537	0.185979	6
0	0	0.00391885	0.00102072	0.276001	8
0	0	0.00204013	0.000463157	0.372975	10
0	0	0.00329837	0.000410786	0.470974	12
0	0	0.00274613	0.000445802	0.573974	14
0	0	0.00152066	0.000265103	0.684987	16
0	0	0.00165331	0.000176335	0.803971	18
0	0	0.0020138	0.000288947	0.931973	20
0	0	0.000893091	0.000147205	1.06697	22
0	0	0.00129185	0.00017107	1.21297	24
0	0	0.000925848	0.000129462	1.34302	26
0	0	0.000899343	0.000125263	1.47401	28
0	0	0.000501137	8.76478e-005	1.616	30
0	0	0.000536064	7.3698e-005	1.75601	32
0	0	0.000403249	5.29595e-005	1.89701	34
0	0	0.000312881	4.4846e-005	2.04801	36
0	0	0.000289338	4.3622e-005	2.21797	38
0	0	0.000242836	4.03248e-005	2.387	40
0	0	0.000314996	3.7688e-005	2.56497	42
0	0	0.000284068	3.68496e-005	2.749	44
0	0	0.000212826	3.20452e-005	2.935	46
0	0	0.000197832	2.77131e-005	3.13697	48
0	0	0.000149076	2.45945e-005	3.36698	50
0	0	0.000143926	2.16238e-005	3.60597	52
0	0	0.000128225	1.97924e-005	3.82797	54
0	0	0.000106347	1.85743e-005	4.08697	56
0	0	0.000102659	1.59487e-005	4.33197	58
0	0	9.86018e-005	1.35769e-005	4.57301	60
0	0	8.47445e-005	1.17115e-005	4.818	62
0	0	8.71694e-005	1.02413e-005	5.06201	64
0	0	7.77307e-005	9.18996e-006	5.32497	66
0	0	7.22175e-005	8.35648e-006	5.63271	68
0	0	7.8719e-005	7.79721e-006	5.90171	70
0	0	6.37182e-005	7.2991e-006	6.20976	72
0	0	6.24002e-005	6.91537e-006	6.52771	74
0	0	6.18556e-005	6.88574e-006	6.82475	76
0	0	6.03344e-005	6.35783e-006	7.11574	78
0	0	3.58508e-005	5.08937e-006	7.41476	80
0	0	3.41626e-005	4.62592e-006	7.74674	82
0	0	3.30441e-005	4.31711e-006	8.03875	84
0	0	4.20826e-005	4.02061e-006	8.34775	86
0	0	2.76393e-005	3.55426e-006	8.65875	88
0	0	2.7005e-005	3.28097e-006	8.98475	90
0	0	2.6421e-005	3.11282e-006	9.32475	92
0	0	2.36276e-005	2.6656e-006	9.65374	94
0	0	1.85907e-005	2.33717e-006	10.0027	96
0	0	1.85291e-005	2.16484e-006	10.3567	98
0	0	1.77931e-005	2.06423e-006	10.7677	100
0	0	1.6846e-005	1.97773e-006	11.2017	102
0	0	1.62786e-005	1.83236e-006	11.5957	104
0	0	1.5721e-005	1.69129e-006	11.9877	106
0	0	1.51282e-005	1.59755e-006	12.3977	108
0	0	1.64653e-005	1.54018e-006	12.8127	110
0	0	1.4951e-005	1.39256e-006	13.2277	112
0	0	9.48958e-006	1.34712e-006	13.6437	114
0	0	9.41157e-006	1.16915e-006	14.0867	116
0	0	9.16117e-006	1.08948e-006	14.5657	118
0	0	8.98256e-006	1.05859e-006	15.0807	120
0	0	8.95275e-006	1.05114e-006	15.5367	122
0	0	8.57178e-006	1.00629e-006	16.0037	124
0	0	1.02286e-005	9.86702e-007	16.5127	126
0	0	7.73052e-006	8.97397e-007	16.9817	128
0	0	1.08044e-005	9.03227e-007	17.4617	130
0	0	9.2546e-006	8.65102e-007	17.9507	132
0	0	7.26748e-006	8.46568e-007	18.4617	134
0	0	7.00284e-006	8.12179e-007	18.9977	136
0	0	7.57333e-006	7.57746e-007	19.5708	138
0	0	6.9223e-006	7.18398e-007	20.1158	140
0	0	6.45035e-006	6.82981e-007	20.6659	142
0	0	6.37584e-006	5.9998e-007	21.1699	144
0	0	5.33983e-006	5.3195e-007	21.6818	146
0	0	5.33867e-006	5.14345e-007	22.2079	148
0	0	5.02616e-006	4.68947e-007	22.7559	150
0	0	4.8625e-006	4.46587e-007	23.3299	152
0	0	4.39108e-006	4.18049e-007	23.8989	154
0	0	4.08847e-006	4.1344e-007	24.4949	156
0	0	3.82812e-006	3.87548e-007	25.0759	158
0	0	3.54785e-006	3.64163e-007	25.6619	160
0	0	4.05182e-006	3.52729e-007	26.2519	162
0	0	3.14743e-006	3.36192e-007	26.8378	164
0	0	3.82949e-006	3.30695e-007	27.4888	166
0	0	2.98332e-006	3.2365e-007	28.1498	168
0	0	2.82437e-006	3.08908e-007	28.8678	170
0	0	2.79464e-006	2.97275e-007	29.4979	172
0	0	2.78832e-006	2.93828e-007	30.1659	174
0	0	2.77852e-006	2.89621e-007	30.9409	176
0	0	2.64325e-006	2.79296e-007	31.7129	178
0	0	2.39352e-006	2.75679e-007	32.4299	180
0	0	2.43066e-006	2.55317e-007	33.1379	182
0	0	2.50913e-006	2.28767e-007	33.9249	184
0	0	2.21482e-006	2.1312e-007	34.7258	186
0	0	1.98149e-006	2.08428e-007	35.5038	188
0	0	1.78434e-006	2.02143e-007	36.3119	190
0	0	1.72715e-006	1.99725e-007	37.1129	192
0	0	1.54511e-006	1.9297e-007	37.8579	194
