step	level	max error	time	nr. of control nodes
0	0	0.416163	10	2
0	0	0.45595	27	4
0	0	0.247531	44	6
0	0	0.090812	61	8
0	1	0.501985	78	2
0	1	4.6777	83	4
0	1	1.98886	89	6
0	1	0.761491	95	8
0	1	0.755356	101	10
0	1	0.522281	107	12
0	1	0.2112	116	14
0	1	0.170231	125	16
0	1	0.11962	134	18
0	1	0.100994	144	20
0	1	0.0950883	155	22
0	1	0.264894	166	24
0	1	0.0898312	178	26
0	1	0.088029	191	28
0	1	0.0813952	205	30
0	1	0.0459596	221	32
0	1	0.0322681	235	34
0	2	0.0446509	240	2
0	2	0.568135	246	4
0	2	0.25418	251	6
0	2	0.219612	257	8
0	2	0.119672	263	10
0	2	0.084171	269	12
0	2	0.0561865	277	14
0	2	0.222362	286	16
0	2	0.101812	296	18
0	2	0.0575838	305	20
0	2	0.0629786	316	22
0	2	0.0246103	328	24
0	2	0.0221445	340	26
0	2	0.0234503	352	28
0	2	0.0218434	367	30
0	2	0.0191892	385	32
0	2	0.0300542	404	34
0	2	0.0272751	420	36
0	2	0.0180619	436	38
0	2	0.0128308	456	40
0	3	0.0167338	461	2
0	3	0.171971	467	4
0	3	0.100156	474	6
0	3	0.0604437	480	8
0	3	0.0456595	487	10
0	3	0.0297003	493	12
0	3	0.0165958	501	14
0	3	0.0168078	510	16
0	3	0.0209888	521	18
0	3	0.0126796	530	20
0	3	0.0114603	543	22
0	3	0.0151871	556	24
0	3	0.0109719	567	26
0	3	0.00824383	579	28
0	3	0.00757219	593	30
0	3	0.00684442	608	32
0	3	0.00666949	624	34
0	3	0.00604342	643	36
0	4	0.007849	649	2
0	4	0.012391	655	4
0	4	0.0111909	661	6
0	4	0.0495355	667	8
0	4	0.0220727	673	10
0	4	0.0155415	680	12
0	4	0.0157113	688	14
0	4	0.00759905	696	16
0	4	0.0100528	705	18
0	4	0.00977315	716	20
0	4	0.0106955	726	22
0	4	0.00470166	736	24
0	4	0.0293657	750	26
0	4	0.011796	762	28
0	4	0.00597679	776	30
0	4	0.00511103	793	32
0	4	0.00595578	809	34
0	4	0.00498013	825	36
0	4	0.0042724	841	38
0	4	0.00501158	860	40
0	4	0.00373941	882	42
0	4	0.00402764	903	44
0	4	0.0038663	924	46
0	4	0.00492585	948	48
0	4	0.00335117	974	50
0	4	0.00241138	998	52
0	5	0.00454579	1004	2
0	5	0.0113928	1012	4
0	5	0.00717267	1017	6
0	5	0.00624295	1023	8
0	5	0.00454837	1030	10
0	5	0.00485934	1036	12
0	5	0.0157853	1044	14
0	5	0.00653129	1052	16
0	5	0.00763758	1061	18
0	5	0.00578519	1073	20
0	5	0.00520482	1094	22
0	5	0.00350569	1108	24
0	5	0.00333	1119	26
