step	level	max error	time	nr. of control nodes
0	0	0.351469	5	1
0	0	0.489155	10	2
0	0	0.282204	14	3
0	0	0.402445	19	4
0	0	0.172208	24	5
0	0	0.124242	29	6
0	0	0.158498	35	7
0	0	0.141168	41	8
0	0	0.168358	47	9
0	0	0.0612545	55	10
0	0	0.045997	61	11
0	0	0.0374113	69	12
0	0	0.0353677	77	13
0	0	0.0347272	85	14
0	0	0.0303963	91	15
0	0	0.0255904	99	16
0	0	0.0144992	107	17
0	0	0.0209804	115	18
0	0	0.0102759	123	19
0	0	0.00861283	132	20
0	0	0.00742215	141	21
0	0	0.00644061	149	22
0	0	0.00490147	161	23
0	0	0.00448898	170	24
0	0	0.00353458	181	25
0	0	0.00320367	190	26
0	0	0.00333519	201	27
0	0	0.00305998	213	28
0	0	0.00301567	224	29
0	0	0.00283785	235	30
0	0	0.00311644	246	31
0	0	0.00280042	257	32
0	1	0.00355038	262	1
0	1	0.00455988	265	2
0	1	0.0041016	268	3
0	1	0.00546944	271	4
0	1	0.00508588	273	5
0	1	0.00460822	278	6
0	1	0.00724975	282	7
0	1	0.00433703	286	8
0	1	0.00709324	290	9
0	1	0.00391404	294	10
0	1	0.00378665	298	11
0	1	0.00345263	302	12
0	1	0.00610969	307	13
0	1	0.0058612	313	14
0	1	0.00421672	318	15
0	1	0.0033141	324	16
0	1	0.00481401	330	17
0	1	0.00302268	336	18
0	1	0.00211455	342	19
0	1	0.00206004	349	20
0	1	0.0018432	356	21
0	1	0.00247808	364	22
0	1	0.00164664	372	23
0	1	0.0015775	379	24
0	1	0.0015214	388	25
0	1	0.00145486	396	26
0	1	0.00191982	404	27
0	1	0.00144873	414	28
0	1	0.00136157	425	29
0	1	0.00128006	436	30
0	1	0.00122021	446	31
0	1	0.00121484	458	32
0	2	0.00207326	463	1
0	2	0.00286259	465	2
0	2	0.00390013	467	3
0	2	0.00115799	471	4
0	2	0.00121011	478	5
0	2	0.00154705	481	6
0	2	0.00208635	485	7
0	2	0.0075838	489	8
0	2	0.00597899	493	9
0	2	0.00399727	498	10
0	2	0.00458674	502	11
0	2	0.0031109	507	12
0	2	0.00180764	512	13
0	2	0.0021452	517	14
0	2	0.00165883	521	15
0	2	0.00215422	528	16
0	2	0.0015081	535	17
0	2	0.00342446	542	18
0	2	0.00262373	548	19
0	2	0.00203658	557	20
0	2	0.00180629	564	21
0	2	0.0012235	571	22
0	2	0.00152358	581	23
0	2	0.00117957	590	24
0	2	0.00108708	599	25
0	2	0.00106007	609	26
0	2	0.0016786	618	27
0	2	0.00129394	628	28
0	2	0.000971195	640	29
0	2	0.0017422	650	30
0	2	0.00103776	660	31
0	2	0.000966103	671	32
0	3	0.0011852	676	1
0	3	0.00263951	679	2
0	3	0.00166154	683	3
0	3	0.00145507	686	4
0	3	0.00107751	689	5
0	3	0.00229491	692	6
0	3	0.00156065	696	7
0	3	0.00216878	699	8
0	3	0.00167747	703	9
0	3	0.00139867	707	10
0	3	0.001256	712	11
0	3	0.00129573	718	12
0	3	0.00124587	721	13
0	3	0.00129681	727	14
0	3	0.00167916	732	15
0	3	0.00305421	737	16
0	3	0.00146361	744	17
0	3	0.00109627	750	18
0	3	0.0017809	756	19
0	3	0.00146749	763	20
0	3	0.0013483	771	21
0	3	0.00114517	778	22
0	3	0.00086968	787	23
0	3	0.00118212	794	24
0	3	0.000851471	804	25
0	3	0.000888245	815	26
0	3	0.000805197	825	27
0	3	0.000778871	835	28
0	3	0.00119957	848	29
0	3	0.000710126	858	30
0	3	0.000667256	871	31
0	3	0.000634023	884	32
0	4	0.000981566	887	1
0	4	0.00114319	890	2
0	4	0.00121271	893	3
0	4	0.000941464	896	4
0	4	0.00115009	899	5
0	4	0.00108805	902	6
0	4	0.00158144	906	7
0	4	0.000858467	910	8
0	4	0.00103539	914	9
0	4	0.00120719	918	10
0	4	0.000951391	922	11
0	4	0.000833171	928	12
0	4	0.00101982	932	13
0	4	0.000999524	938	14
0	4	0.00115021	944	15
0	4	0.000917975	949	16
0	4	0.00082337	955	17
0	4	0.00212077	962	18
0	4	0.000795162	969	19
0	4	0.000807453	977	20
0	4	0.00101107	984	21
0	4	0.00112115	992	22
0	4	0.000787342	1001	23
0	4	0.000787956	1010	24
0	4	0.000789605	1022	25
0	4	0.000767396	1031	26
0	4	0.00108832	1042	27
0	4	0.000783455	1054	28
0	4	0.000723548	1064	29
0	4	0.000642915	1075	30
0	4	0.00057194	1086	31
0	4	0.000549865	1101	32
0	5	0.000733155	1106	1
0	5	0.00240075	1110	2
0	5	0.00131476	1114	3
0	5	0.00113257	1118	4
0	5	0.00271824	1123	5
0	5	0.00119172	1128	6
0	5	0.00096419	1135	7
0	5	0.000968964	1140	8
0	5	0.000766929	1146	9
0	5	0.000870781	1151	10
0	5	0.000971337	1156	11
0	5	0.00117237	1164	12
0	5	0.00104199	1170	13
0	5	0.00112503	1178	14
0	5	0.0008612	1187	15
0	5	0.000821937	1194	16
0	5	0.000810699	1203	17
0	5	0.000826721	1210	18
0	5	0.000780194	1217	19
0	5	0.000618448	1226	20
0	5	0.000573228	1235	21
0	5	0.000651505	1244	22
0	5	0.000617962	1252	23
0	5	0.000569035	1262	24
0	5	0.000590279	1272	25
0	5	0.000596037	1282	26
0	5	0.000729823	1292	27
0	5	0.000722339	1303	28
0	5	0.000654749	1315	29
0	5	0.000588553	1326	30
0	5	0.00070577	1341	31
0	5	0.00060555	1353	32
0	6	0.00079118	1358	1
0	6	0.00276766	1361	2
0	6	0.00143127	1364	3
0	6	0.00103344	1368	4
0	6	0.00100959	1372	5
0	6	0.00107155	1375	6
0	6	0.00090937	1379	7
0	6	0.00127703	1384	8
0	6	0.00101695	1389	9
0	6	0.00194898	1394	10
0	6	0.00103505	1400	11
0	6	0.000926904	1405	12
0	6	0.000712113	1412	13
0	6	0.000844201	1420	14
0	6	0.000766382	1427	15
0	6	0.00187479	1434	16
0	6	0.00119724	1441	17
0	6	0.00119112	1448	18
0	6	0.000860917	1455	19
0	6	0.000682672	1463	20
0	6	0.000667583	1471	21
0	6	0.000665277	1480	22
0	6	0.000690728	1489	23
0	6	0.000635153	1498	24
0	6	0.000583699	1507	25
0	6	0.000726031	1516	26
0	6	0.000469095	1528	27
0	6	0.000442391	1538	28
0	6	0.000451583	1551	29
0	6	0.000408334	1565	30
0	6	0.000636556	1578	31
0	6	0.000364399	1592	32
0	7	0.000547683	1596	1
0	7	0.000861184	1599	2
0	7	0.000572119	1603	3
0	7	0.000770855	1606	4
0	7	0.00081315	1611	5
0	7	0.000641062	1616	6
0	7	0.000664109	1621	7
0	7	0.000553377	1627	8
0	7	0.000452151	1632	9
0	7	0.000677906	1638	10
0	7	0.000599608	1644	11
0	7	0.000541502	1661	12
0	7	0.000527878	1684	13
0	7	0.000692121	1704	14
0	7	0.000478745	1721	15
0	7	0.000490095	1772	16
0	7	0.000471236	1808	17
0	7	0.000402458	1841	18
0	7	0.000507321	1854	19
0	7	0.000658388	1866	20
0	7	0.000726968	1880	21
0	7	0.000919705	1893	22
0	7	0.000475374	1904	23
0	7	0.000499024	1914	24
0	7	0.000580375	1924	25
0	7	0.000418829	1933	26
0	7	0.000498016	1945	27
0	7	0.000547726	1957	28
0	7	0.000413736	1972	29
0	7	0.000388512	1982	30
0	7	0.000394364	1994	31
0	7	0.000382581	2006	32
0	8	0.000620548	2010	1
0	8	0.00158739	2014	2
0	8	0.000747333	2017	3
0	8	0.00062696	2021	4
0	8	0.000892889	2026	5
0	8	0.00059162	2030	6
0	8	0.00101534	2034	7
0	8	0.000976093	2038	8
0	8	0.000597646	2042	9
0	8	0.00125209	2046	10
0	8	0.000767269	2051	11
0	8	0.000692111	2056	12
0	8	0.000653978	2062	13
0	8	0.00054834	2069	14
0	8	0.000858142	2074	15
0	8	0.000633211	2080	16
0	8	0.00105269	2087	17
0	8	0.000584637	2095	18
0	8	0.000676734	2101	19
0	8	0.000447119	2108	20
0	8	0.000425425	2119	21
0	8	0.000619994	2127	22
0	8	0.000416668	2138	23
0	8	0.000409532	2148	24
0	8	0.000739318	2158	25
0	8	0.000458906	2167	26
0	8	0.000434078	2176	27
0	8	0.000400272	2187	28
0	8	0.000382991	2197	29
0	8	0.000373212	2207	30
0	8	0.000598917	2220	31
0	8	0.000360282	2232	32
0	9	0.000579983	2236	1
0	9	0.00112342	2239	2
0	9	0.0010729	2242	3
0	9	0.000932917	2245	4
0	9	0.000619594	2250	5
0	9	0.000688547	2254	6
0	9	0.000593632	2259	7
0	9	0.000745064	2265	8
0	9	0.000619114	2270	9
0	9	0.0006635	2275	10
0	9	0.000444381	2282	11
0	9	0.00113892	2287	12
0	9	0.000539254	2295	13
0	9	0.000479328	2305	14
0	9	0.000449385	2318	15
0	9	0.00157244	2324	16
0	9	0.000664412	2332	17
0	9	0.000691264	2339	18
0	9	0.000603097	2346	19
0	9	0.000522177	2356	20
0	9	0.000505849	2372	21
0	9	0.00054198	2382	22
0	9	0.000452649	2390	23
0	9	0.000413478	2398	24
0	9	0.000491444	2406	25
0	9	0.000398453	2416	26
0	9	0.000389013	2425	27
0	9	0.000426918	2435	28
0	9	0.000408333	2445	29
0	9	0.000283404	2455	30
0	9	0.000308543	2466	31
0	9	0.000246551	2478	32
0	10	0.000427522	2483	1
0	10	0.000725567	2485	2
0	10	0.000609537	2488	3
0	10	0.000417823	2491	4
0	10	0.000407505	2495	5
0	10	0.0005006	2499	6
0	10	0.000499657	2502	7
0	10	0.000592418	2506	8
0	10	0.000444303	2510	9
0	10	0.000466924	2514	10
0	10	0.000519155	2519	11
0	10	0.00049127	2523	12
0	10	0.000426114	2528	13
0	10	0.000504141	2533	14
0	10	0.000519416	2540	15
0	10	0.000456211	2545	16
0	10	0.000767761	2551	17
0	10	0.000444635	2557	18
0	10	0.000438199	2563	19
0	10	0.000648602	2570	20
0	10	0.000530983	2578	21
0	10	0.000406126	2586	22
0	10	0.000297324	2594	23
0	10	0.000316877	2602	24
0	10	0.00032034	2610	25
0	10	0.000301912	2618	26
0	10	0.000292436	2630	27
0	10	0.000287166	2643	28
0	10	0.000250659	2656	29
0	10	0.000388148	2666	30
0	10	0.000390754	2677	31
0	10	0.000302383	2687	32
0	11	0.000481798	2691	1
0	11	0.000715044	2694	2
0	11	0.000877742	2697	3
0	11	0.000535592	2700	4
0	11	0.000559288	2703	5
0	11	0.000503819	2707	6
0	11	0.000808974	2711	7
0	11	0.000387044	2714	8
0	11	0.000552459	2718	9
0	11	0.000436488	2722	10
0	11	0.000696377	2727	11
0	11	0.000368326	2732	12
0	11	0.00035019	2736	13
0	11	0.000390574	2742	14
0	11	0.00034136	2748	15
0	11	0.000338944	2753	16
0	11	0.000308284	2758	17
0	11	0.00031867	2766	18
0	11	0.000308303	2773	19
0	11	0.000509289	2779	20
0	11	0.000290825	2786	21
0	11	0.000286039	2792	22
0	11	0.000371217	2801	23
0	11	0.000304643	2809	24
0	11	0.000280736	2819	25
0	11	0.000568664	2828	26
0	11	0.000425472	2839	27
0	11	0.000247885	2850	28
0	11	0.000277436	2859	29
0	11	0.000244634	2871	30
0	11	0.000230205	2881	31
0	11	0.00034449	2892	32
0	12	0.000650052	2896	1
0	12	0.000986832	2900	2
0	12	0.00111261	2903	3
0	12	0.000821056	2907	4
0	12	0.000707125	2912	5
0	12	0.000461399	2916	6
0	12	0.000780652	2920	7
0	12	0.00038311	2924	8
0	12	0.000385424	2931	9
0	12	0.000520012	2936	10
0	12	0.000340248	2941	11
0	12	0.000325019	2947	12
0	12	0.000375936	2952	13
0	12	0.000392063	2957	14
0	12	0.000312531	2965	15
0	12	0.000378158	2971	16
0	12	0.000317284	2978	17
0	12	0.000312586	2985	18
0	12	0.000224323	2991	19
0	12	0.000255174	3000	20
0	12	0.000261698	3008	21
0	12	0.000345901	3016	22
0	12	0.000495678	3023	23
0	12	0.000281433	3031	24
0	12	0.000266529	3040	25
0	12	0.000253774	3049	26
0	12	0.000229888	3058	27
0	12	0.00022626	3067	28
0	12	0.000312574	3077	29
0	12	0.000234157	3087	30
0	12	0.000204753	3099	31
0	12	0.000508289	3111	32
0	13	0.000897247	3115	1
0	13	0.00126576	3117	2
0	13	0.000968232	3120	3
0	13	0.00295906	3123	4
