step	level	max error	time	nr. of control nodes
0	0	0.416163	10	2
0	0	0.45595	26	4
0	0	0.247531	42	6
0	0	0.090812	58	8
0	0	0.0806835	76	10
0	0	0.0245378	93	12
0	0	0.0239939	116	14
0	0	0.0155909	136	16
0	0	0.00662143	162	18
0	0	0.0073196	184	20
0	0	0.00303152	206	22
0	0	0.00150071	230	24
0	0	0.00131903	255	26
0	0	0.00152743	282	28
0	0	0.00128211	309	30
0	0	0.00114744	337	32
0	0	0.000724722	370	34
0	0	0.000604469	404	36
0	0	0.00055585	441	38
0	0	0.000433929	478	40
0	0	0.000294121	519	42
0	0	0.000206818	561	44
0	0	0.000174327	607	46
0	0	0.000161584	656	48
0	0	0.000133325	710	50
0	0	0.000100297	770	52
0	0	9.11685e-005	833	54
0	0	8.33788e-005	904	56
0	0	7.96976e-005	973	58
0	0	7.41062e-005	1047	60
0	0	7.06889e-005	1146	62
0	0	7.43767e-005	1236	64
0	0	4.50067e-005	1328	66
0	0	4.52633e-005	1419	68
0	0	4.22583e-005	1515	70
0	0	4.18516e-005	1636	72
0	0	4.05775e-005	1753	74
0	0	3.14448e-005	1876	76
0	0	3.91871e-005	2023	78
0	0	2.52519e-005	2174	80
0	0	2.13266e-005	2323	82
0	0	1.59011e-005	2505	84
0	0	1.25922e-005	2697	86
0	0	1.20922e-005	2886	88
0	0	1.01595e-005	3079	90
0	0	1.41381e-005	3312	92
0	0	8.69729e-006	3534	94
0	0	7.77145e-006	3819	96
0	0	6.78469e-006	4371	98
0	0	6.78193e-006	4643	100
0	0	6.61389e-006	4903	102
0	0	6.4312e-006	5205	104
0	0	5.95208e-006	5500	106
0	0	5.53417e-006	5811	108
0	0	5.08895e-006	6110	110
0	0	4.99361e-006	6440	112
0	0	4.36615e-006	6766	114
0	0	4.34882e-006	7089	116
0	0	5.18899e-006	7461	118
0	0	4.03148e-006	7847	120
0	0	3.98736e-006	8252	122
0	0	3.6771e-006	8725	124
0	0	3.10386e-006	9175	126
0	0	2.51866e-006	9615	128
0	0	2.39278e-006	10074	130
0	0	2.20994e-006	10542	132
0	0	2.16754e-006	11163	134
0	0	2.13401e-006	11698	136
0	0	2.06676e-006	12267	138
0	0	1.92653e-006	12821	140
0	0	1.77352e-006	13413	142
0	0	2.03551e-006	14032	144
0	0	1.45849e-006	14663	146
0	0	1.25181e-006	15340	148
0	0	1.21414e-006	16001	150
0	0	1.19071e-006	16704	152
0	0	1.12844e-006	17421	154
0	0	1.10506e-006	18180	156
0	0	9.00846e-007	18934	158
0	0	1.17501e-006	19738	160
0	0	7.64267e-007	20562	162
0	0	7.4535e-007	21426	164
0	0	6.93092e-007	22318	166
0	0	6.63966e-007	23230	168
0	0	7.41089e-007	24186	170
0	0	6.5003e-007	25160	172
0	0	6.5342e-007	26289	174
0	0	6.12849e-007	27327	176
0	0	5.45186e-007	28400	178
0	0	5.23789e-007	29466	180
0	0	4.63259e-007	30610	182
0	0	4.516e-007	31777	184
0	0	4.14268e-007	32954	186
0	0	3.96108e-007	34199	188
0	0	3.84997e-007	35477	190
0	0	3.8017e-007	36759	192
0	0	3.69697e-007	38097	194
0	0	3.54466e-007	39473	196
0	0	3.35626e-007	40888	198
0	0	3.18132e-007	42369	200
0	0	3.55038e-007	43870	202
0	0	2.98134e-007	45399	204
0	0	2.9222e-007	47109	206
0	0	2.91073e-007	48800	208
0	0	3.28156e-007	50464	210
0	0	2.88022e-007	52151	212
0	0	2.87124e-007	53971	214
0	0	3.05804e-007	56034	216
