step	level	max error	time	nr. of control nodes
0	0	0.351469	6	1
0	0	0.489155	11	2
0	0	0.282204	16	3
0	0	0.402445	20	4
0	0	0.172208	25	5
0	0	0.124242	31	6
0	0	0.158498	37	7
0	0	0.141168	43	8
0	0	0.168358	50	9
0	0	0.0612545	57	10
0	0	0.045997	64	11
0	0	0.0374113	72	12
0	0	0.0353677	82	13
0	0	0.0347272	90	14
0	0	0.0303963	98	15
0	0	0.0255904	106	16
0	0	0.0144992	114	17
0	0	0.0209804	122	18
0	0	0.0102759	131	19
0	0	0.00861283	139	20
0	0	0.00742215	150	21
0	0	0.00644061	160	22
0	0	0.00490147	169	23
0	0	0.00448898	178	24
0	0	0.00353458	189	25
0	0	0.00320367	200	26
0	0	0.00333519	217	27
0	0	0.00305998	228	28
0	0	0.00301567	239	29
0	0	0.00283785	253	30
0	0	0.00311644	265	31
0	0	0.00280042	277	32
0	0	0.0027789	290	33
0	0	0.00259607	304	34
0	0	0.00229216	320	35
0	0	0.00168393	336	36
0	0	0.00159417	351	37
0	0	0.00153177	367	38
0	0	0.00124747	383	39
0	0	0.0011324	401	40
0	0	0.00105468	418	41
0	0	0.00101909	436	42
0	0	0.00101434	455	43
0	0	0.00104707	474	44
0	0	0.000899621	495	45
0	0	0.000856379	515	46
0	0	0.000656116	537	47
0	0	0.000635556	558	48
0	0	0.000542602	580	49
0	0	0.000509351	603	50
0	0	0.000357763	625	51
0	0	0.000330538	650	52
0	0	0.000237099	675	53
0	0	0.000230885	703	54
0	0	0.000220439	729	55
0	0	0.000213166	757	56
0	0	0.00024031	784	57
0	0	0.000208889	815	58
0	0	0.000196045	843	59
0	0	0.000184162	874	60
0	0	0.000177235	910	61
0	0	0.000161896	941	62
0	0	0.000160406	977	63
0	0	0.000157131	1013	64
0	0	0.000152103	1056	65
0	0	0.000147497	1104	66
0	0	0.000140755	1146	67
0	0	0.000140511	1194	68
0	0	0.000139789	1240	69
0	0	0.00013622	1290	70
0	0	0.000138418	1336	71
0	0	0.000134729	1386	72
0	0	0.000118778	1436	73
0	0	0.000118696	1487	74
0	0	0.000108254	1544	75
0	0	0.000108	1603	76
0	0	0.000104754	1659	77
0	0	0.000103687	1713	78
0	0	9.78578e-005	1760	79
0	0	8.70622e-005	1814	80
0	0	8.62317e-005	1868	81
0	0	8.30951e-005	1930	82
0	0	7.7383e-005	1986	83
0	0	6.92347e-005	2041	84
0	0	5.91864e-005	2103	85
0	0	5.85905e-005	2168	86
0	0	5.36245e-005	2232	87
0	0	5.21835e-005	2304	88
0	0	4.64502e-005	2372	89
0	0	4.28507e-005	2440	90
0	0	4.06185e-005	2509	91
0	0	3.83924e-005	2582	92
0	0	3.46097e-005	2662	93
0	0	3.41766e-005	2734	94
0	0	2.89514e-005	2809	95
0	0	2.80377e-005	2885	96
0	0	2.78145e-005	2962	97
0	0	2.60699e-005	3042	98
0	0	2.12235e-005	3123	99
0	0	1.81076e-005	3216	100
0	0	1.97028e-005	3299	101
0	0	1.6571e-005	3384	102
0	0	1.57745e-005	3470	103
0	0	1.57326e-005	3557	104
0	0	1.52602e-005	3661	105
0	0	1.36617e-005	3754	106
0	0	1.28147e-005	3849	107
0	0	1.22466e-005	3946	108
0	0	1.19857e-005	4048	109
0	0	1.14862e-005	4158	110
0	0	1.50372e-005	4260	111
0	0	1.51943e-005	4376	112
0	0	1.23105e-005	4481	113
0	0	1.10064e-005	4596	114
0	0	1.11201e-005	4716	115
0	0	1.08868e-005	4831	116
0	0	1.04279e-005	4950	117
0	0	9.66146e-006	5071	118
0	0	9.13823e-006	5196	119
0	0	8.74623e-006	5321	120
0	0	9.72633e-006	5447	121
0	0	9.30822e-006	5574	122
0	0	8.37745e-006	5719	123
0	0	8.35797e-006	5857	124
0	0	8.35727e-006	6005	125
0	0	9.94249e-006	6148	126
0	0	8.3496e-006	6305	127
0	0	7.79925e-006	6461	128
0	0	7.31702e-006	6616	129
0	0	8.8786e-006	6800	130
0	0	7.16892e-006	6950	131
0	0	7.10012e-006	7110	132
0	0	6.99493e-006	7287	133
0	0	6.96135e-006	7447	134
0	0	6.75071e-006	7612	135
0	0	6.68664e-006	7788	136
0	0	6.35581e-006	7961	137
0	0	7.97157e-006	8124	138
0	0	7.73329e-006	8319	139
0	0	5.89095e-006	8494	140
0	0	5.21549e-006	8683	141
0	0	5.19135e-006	8885	142
0	0	4.93707e-006	9084	143
0	0	4.84288e-006	9291	144
0	0	4.78955e-006	9494	145
0	0	6.18524e-006	9711	146
0	0	6.31234e-006	9950	147
0	0	4.5741e-006	10169	148
0	0	4.37605e-006	10447	149
0	0	4.34747e-006	10687	150
0	0	4.15091e-006	10934	151
0	0	4.14746e-006	11167	152
0	0	4.07833e-006	11407	153
0	0	3.8685e-006	11643	154
0	0	3.75774e-006	11886	155
0	0	3.55218e-006	12131	156
0	0	3.36382e-006	12375	157
0	0	3.33449e-006	12624	158
0	0	3.24207e-006	12953	159
0	0	3.21901e-006	13195	160
0	0	2.9706e-006	13455	161
0	0	2.94433e-006	13764	162
0	0	3.20844e-006	14051	163
0	0	2.89062e-006	14322	164
0	0	2.62078e-006	14614	165
0	0	2.74426e-006	14908	166
0	0	2.58139e-006	15197	167
0	0	2.50964e-006	15490	168
0	0	2.48853e-006	15795	169
0	0	2.27006e-006	16162	170
0	0	2.22383e-006	16489	171
0	0	2.1717e-006	16788	172
0	0	2.12836e-006	17100	173
0	0	2.20141e-006	17399	174
0	0	1.73395e-006	17718	175
0	0	1.70681e-006	18033	176
0	0	1.6322e-006	18347	177
0	0	1.60719e-006	18678	178
0	0	1.55783e-006	19074	179
0	0	1.39042e-006	19429	180
0	0	1.38741e-006	19795	181
0	0	1.28761e-006	20177	182
0	0	1.26805e-006	20559	183
0	0	1.2653e-006	20935	184
0	0	1.25475e-006	21304	185
0	0	1.18345e-006	21681	186
0	0	1.17268e-006	22050	187
0	0	1.13147e-006	22431	188
0	0	1.12394e-006	22828	189
0	0	1.09097e-006	23219	190
0	0	1.05924e-006	23610	191
0	0	1.05184e-006	24007	192
0	0	1.03943e-006	24409	193
0	0	9.98149e-007	24823	194
0	0	1.01804e-006	25233	195
0	0	9.92856e-007	25655	196
0	0	9.41399e-007	26068	197
0	0	9.01465e-007	26490	198
