step	level	max error	time	nr. of control nodes
0	0	0.416163	13	2
0	0	0.45595	29	4
0	0	0.247531	46	6
0	0	0.090812	65	8
0	0	0.0806835	81	10
0	0	0.0245378	98	12
0	0	0.0239939	118	14
0	0	0.0155909	136	16
0	1	0.0154182	152	2
0	1	0.026079	156	4
0	1	0.0132309	164	6
0	1	0.011545	170	8
0	1	0.00908091	176	10
0	1	0.017053	185	12
0	1	0.0114767	193	14
0	1	0.0142395	201	16
0	1	0.00559647	210	18
0	1	0.00382483	219	20
0	1	0.00313187	230	22
0	1	0.00236789	244	24
0	1	0.00151302	254	26
0	1	0.00135765	266	28
0	1	0.00127768	282	30
0	1	0.000932783	298	32
0	1	0.000772482	315	34
0	2	0.00117985	327	2
0	2	0.00221534	335	4
0	2	0.00143686	343	6
0	2	0.00236457	349	8
0	2	0.00115254	358	10
0	2	0.00222442	364	12
0	2	0.00137965	371	14
0	2	0.00104338	381	16
0	2	0.00118786	390	18
0	2	0.00172032	400	20
0	2	0.000957641	411	22
0	2	0.00106962	422	24
0	2	0.000907155	436	26
0	2	0.000771983	450	28
0	2	0.000796484	462	30
0	2	0.000651828	479	32
0	2	0.00059013	498	34
0	2	0.000550968	514	36
0	2	0.000390259	533	38
0	2	0.000364684	551	40
0	2	0.000259416	569	42
0	2	0.000244576	591	44
0	2	0.000189763	615	46
0	2	0.000179468	646	48
0	2	0.000172249	677	50
0	2	0.000158572	701	52
0	2	0.000144668	727	54
0	2	0.000137701	758	56
0	2	0.000133425	789	58
0	2	0.000171325	819	60
0	2	0.000116451	849	62
0	2	0.000122304	883	64
0	2	0.0001185	920	66
0	2	9.30351e-005	958	68
0	2	8.42283e-005	999	70
0	2	8.80841e-005	1042	72
0	2	7.63143e-005	1095	74
0	2	7.16981e-005	1157	76
0	2	6.0245e-005	1224	78
0	2	5.40061e-005	1288	80
0	2	5.02521e-005	1365	82
0	2	4.54662e-005	1440	84
0	2	4.19074e-005	1519	86
0	2	3.24115e-005	1595	88
0	3	5.02399e-005	1601	2
0	3	9.93301e-005	1608	4
0	3	7.39974e-005	1614	6
0	3	0.000102402	1620	8
0	3	6.35489e-005	1629	10
0	3	9.51544e-005	1638	12
0	3	0.000102971	1647	14
0	3	6.25858e-005	1659	16
0	3	0.000119424	1670	18
0	3	4.43007e-005	1681	20
0	3	4.15885e-005	1694	22
0	3	7.90021e-005	1707	24
0	3	6.89701e-005	1719	26
0	3	9.75925e-005	1737	28
0	3	3.6278e-005	1754	30
0	3	3.58524e-005	1773	32
0	3	3.34081e-005	1794	34
0	3	4.68886e-005	1813	36
0	3	4.44801e-005	1830	38
0	3	2.85774e-005	1847	40
0	3	2.70636e-005	1867	42
0	3	2.68205e-005	1892	44
0	3	2.58657e-005	1916	46
0	3	2.86323e-005	1941	48
