step	level	max error	time	nr. of control nodes
0	0	0.416163	10	2
0	0	0.45595	27	4
0	0	0.247531	43	6
0	1	0.464353	59	2
0	1	9.82205	63	4
0	1	3.68232	68	6
0	1	1.81328	74	8
0	1	2.27877	80	10
0	1	1.57795	87	12
0	1	0.679287	94	14
0	1	0.478157	101	16
0	1	0.378609	109	18
0	1	0.270621	119	20
0	1	0.485695	126	22
0	1	0.230008	138	24
0	1	0.245212	148	26
0	1	0.21142	159	28
0	1	0.97904	172	30
0	1	0.394883	186	32
0	1	0.288886	200	34
0	1	0.129348	215	36
0	2	0.619728	220	2
0	2	0.326759	226	4
0	2	0.210419	231	6
0	2	0.189782	237	8
0	2	1.37144	243	10
0	2	0.767085	251	12
0	2	0.376439	266	14
0	2	0.228674	274	16
0	2	0.148995	282	18
0	2	0.116385	293	20
0	2	0.11319	303	22
0	2	0.746327	315	24
0	2	0.290433	327	26
0	2	0.13852	340	28
0	2	0.418702	351	30
0	2	0.128461	364	32
0	2	0.102508	379	34
0	2	0.0781779	395	36
0	3	0.106503	399	2
0	3	0.228986	406	4
0	3	0.142446	409	6
0	3	1.12508	417	8
0	3	0.339753	424	10
0	3	0.180217	430	12
0	3	0.185302	436	14
0	3	0.142732	444	16
0	3	1.7567	451	18
0	3	0.694966	460	20
0	3	0.314344	471	22
0	3	0.250137	481	24
0	3	0.18015	492	26
0	3	0.110438	505	28
0	3	0.134011	517	30
0	3	0.438319	531	32
0	3	0.850794	546	34
0	3	0.316741	562	36
0	3	0.192019	578	38
0	3	0.119999	597	40
0	3	0.0728748	616	42
0	3	0.0654345	634	44
0	3	0.0837718	656	46
0	3	0.093253	680	48
0	3	0.0686331	703	50
0	3	0.0834439	729	52
0	3	0.0809939	754	54
0	3	0.0619161	783	56
0	3	0.0710469	811	58
0	3	0.0565945	841	60
0	4	0.086126	847	2
0	4	0.493008	851	4
0	4	0.24043	857	6
0	4	0.161481	864	8
0	4	0.119683	871	10
0	4	0.250701	877	12
0	4	0.177183	886	14
0	4	0.106576	896	16
0	4	0.100543	904	18
0	4	0.0817937	913	20
0	4	0.102657	925	22
0	4	0.0517414	936	24
0	4	0.249201	948	26
0	4	0.148735	963	28
0	4	0.0725864	978	30
0	4	0.0656046	994	32
0	4	0.0424835	1010	34
0	4	0.0417042	1031	36
0	5	0.0684871	1037	2
0	5	0.275678	1044	4
0	5	0.196883	1051	6
0	5	0.108124	1058	8
0	5	0.089516	1063	10
0	5	0.0692438	1072	12
0	5	0.0634357	1082	14
0	5	0.527624	1091	16
0	5	0.154846	1099	18
0	5	0.112082	1109	20
0	5	0.0660784	1120	22
0	5	0.0526929	1134	24
0	5	0.0574044	1147	26
0	5	0.0403895	1163	28
