step	level	max error	time	nr. of control nodes
0	0	0.416163	11	2
0	0	0.45595	27	4
0	0	0.247531	44	6
0	0	0.090812	59	8
0	0	0.0806835	77	10
0	0	0.0245378	95	12
0	0	0.0239939	112	14
0	0	0.0155909	132	16
0	0	0.00662143	151	18
0	0	0.0073196	172	20
0	0	0.00303152	195	22
0	0	0.00150071	219	24
0	0	0.00131903	247	26
0	0	0.00152743	272	28
0	0	0.00128211	298	30
0	0	0.00114744	328	32
0	0	0.000724722	360	34
0	0	0.000604469	392	36
0	0	0.00055585	430	38
0	0	0.000433929	482	40
0	0	0.000294121	524	42
0	0	0.000206818	567	44
0	0	0.000174327	612	46
0	0	0.000161584	668	48
0	0	0.000133325	721	50
0	0	0.000100297	777	52
0	0	9.11685e-005	835	54
0	0	8.33788e-005	898	56
0	0	7.96976e-005	965	58
0	0	7.41062e-005	1044	60
0	0	7.06889e-005	1144	62
0	0	7.43767e-005	1251	64
0	0	4.50067e-005	1371	66
0	0	4.52633e-005	1510	68
0	0	4.22583e-005	1689	70
0	0	4.18516e-005	1827	72
0	0	4.05775e-005	1951	74
0	0	3.14448e-005	2074	76
0	0	3.91871e-005	2229	78
0	0	2.52519e-005	2369	80
0	0	2.13266e-005	2520	82
0	0	1.59011e-005	2720	84
0	0	1.25922e-005	2894	86
0	0	1.20922e-005	3077	88
0	0	1.01595e-005	3335	90
0	0	1.41381e-005	3523	92
0	0	8.69729e-006	3758	94
0	0	7.77145e-006	3969	96
0	0	6.78469e-006	4213	98
0	0	6.78193e-006	4449	100
0	0	6.61389e-006	4706	102
0	0	6.4312e-006	4977	104
0	0	5.95208e-006	5291	106
0	0	5.53417e-006	5590	108
0	0	5.08895e-006	5887	110
0	0	4.99361e-006	6202	112
0	0	4.36615e-006	6539	114
0	0	4.34882e-006	6887	116
0	0	5.18899e-006	7250	118
0	0	4.03148e-006	7622	120
0	0	3.98736e-006	8016	122
0	0	3.6771e-006	8436	124
0	0	3.10386e-006	8866	126
0	0	2.51866e-006	9318	128
0	0	2.39278e-006	9787	130
0	0	2.20994e-006	10278	132
0	0	2.16754e-006	10790	134
0	0	2.13401e-006	11323	136
0	0	2.06676e-006	11877	138
0	0	1.92653e-006	12471	140
0	0	1.77352e-006	13058	142
0	0	2.03551e-006	13671	144
0	0	1.45849e-006	14309	146
0	0	1.25181e-006	14961	148
0	0	1.21414e-006	15646	150
0	0	1.19071e-006	16316	152
0	0	1.12844e-006	16986	154
0	0	1.10506e-006	17668	156
0	0	9.00846e-007	18396	158
0	0	1.17501e-006	19150	160
0	0	7.64267e-007	19914	162
0	0	7.4535e-007	20717	164
0	0	6.93092e-007	21535	166
0	0	6.63966e-007	22369	168
0	0	7.41089e-007	23207	170
0	0	6.5003e-007	24123	172
0	0	6.5342e-007	25036	174
0	0	6.12849e-007	25980	176
0	0	5.45186e-007	26957	178
0	0	5.23789e-007	27966	180
0	0	4.63259e-007	28996	182
0	0	4.516e-007	30087	184
0	0	4.14268e-007	31210	186
0	0	3.96108e-007	32375	188
0	0	3.84997e-007	33571	190
0	0	3.8017e-007	34804	192
0	0	3.69697e-007	36051	194
0	0	3.54466e-007	37348	196
0	0	3.35626e-007	38690	198
0	0	3.18132e-007	40066	200
0	0	3.55038e-007	41483	202
0	0	2.98134e-007	43007	204
0	0	2.9222e-007	44441	206
0	0	2.91073e-007	45949	208
0	0	3.28156e-007	47539	210
0	0	2.88022e-007	49214	212
0	0	2.87124e-007	50910	214
