step	level	max error	time	nr. of control nodes
0	0	0.513086	6	2
0	0	0.277331	12	4
0	0	0.210561	19	6
0	0	0.161213	26	8
0	0	0.122667	34	10
0	0	0.0395895	42	12
0	0	0.0343822	50	14
0	0	0.0284775	60	16
0	0	0.0141567	69	18
0	0	0.00874385	79	20
0	0	0.00714954	90	22
0	0	0.0059239	102	24
0	0	0.00568224	114	26
0	0	0.00510157	127	28
0	0	0.00494704	141	30
0	0	0.00271781	155	32
0	0	0.00240541	170	34
0	0	0.00208086	184	36
0	0	0.0018738	200	38
0	0	0.00157278	219	40
0	0	0.00157098	239	42
0	0	0.00144856	259	44
0	0	0.00110477	279	46
0	0	0.00101697	300	48
0	0	0.000857846	325	50
0	0	0.000810968	350	52
0	0	0.000767921	378	54
0	0	0.000447958	407	56
0	0	0.000427656	434	58
0	0	0.000313495	463	60
0	0	0.000270999	495	62
0	0	0.000253892	528	64
0	1	0.000363968	532	1
0	1	0.000544644	537	3
0	1	0.000390589	542	5
0	1	0.00116025	547	7
0	1	0.00132659	553	9
0	1	0.000745908	559	11
0	1	0.000488688	566	13
0	1	0.000404873	573	15
0	1	0.000298909	581	17
0	1	0.00037333	589	19
0	1	0.00215781	598	21
0	1	0.00114373	607	23
0	1	0.00032459	617	25
0	1	0.000308076	627	27
0	1	0.000458114	640	29
0	1	0.000414334	653	31
0	1	0.000270117	666	33
0	1	0.00023857	680	35
0	1	0.00037528	694	37
0	1	0.000276316	710	39
0	1	0.000197432	727	41
0	1	0.000243506	745	43
0	1	0.000192796	763	45
0	1	0.000185952	785	47
0	1	0.000559203	806	49
0	1	0.00024077	829	51
0	1	0.00020743	853	53
0	1	0.00015671	878	55
0	1	0.000147141	907	57
0	1	0.000215215	936	59
0	1	0.000153264	965	61
0	1	0.000151034	996	63
0	1	0.000130971	1028	64
0	2	0.000245771	1033	1
0	2	0.000789929	1038	3
0	2	0.000559698	1043	5
0	2	0.000373452	1050	7
0	2	0.000358055	1057	9
0	2	0.000411865	1064	11
0	2	0.000387018	1072	13
0	2	0.000615253	1080	15
0	2	0.000343477	1088	17
0	2	0.000464692	1095	19
0	2	0.00021422	1104	21
0	2	0.000256	1113	23
0	2	0.00036228	1124	25
0	2	0.000216618	1134	27
0	2	0.000416594	1146	29
0	2	0.000205365	1158	31
0	2	0.000386015	1171	33
0	2	0.000246181	1185	35
0	2	0.000211823	1200	37
0	2	0.000150652	1216	39
0	2	0.000141123	1232	41
0	2	0.000151082	1247	43
0	2	0.000125815	1265	45
0	2	0.000114059	1284	47
0	2	0.00012378	1304	49
0	2	0.000104523	1325	51
0	2	0.000125206	1349	53
0	2	0.000178773	1373	55
0	2	0.00010825	1400	57
0	2	0.000154016	1428	59
0	2	9.72559e-005	1458	61
0	2	9.44941e-005	1489	63
0	2	8.57962e-005	1523	64
0	3	0.000132375	1527	1
0	3	0.000147207	1531	3
0	3	0.000491559	1537	5
0	3	0.00022053	1541	7
0	3	0.000168128	1547	9
0	3	0.000141445	1554	11
0	3	0.000700338	1562	13
0	3	0.000406549	1572	15
0	3	0.000162128	1581	17
0	3	0.000133041	1590	19
0	3	0.00012125	1598	21
0	3	0.000373563	1608	23
0	3	0.000180702	1618	25
0	3	0.000145222	1630	27
0	3	0.000184444	1642	29
0	3	0.000104992	1654	31
0	3	0.000249774	1668	33
0	3	0.000144189	1683	35
0	3	0.000128082	1699	37
0	3	0.000119569	1714	39
0	3	0.000106646	1730	41
0	3	0.000128874	1747	43
0	3	9.47875e-005	1766	45
0	3	0.000105637	1786	47
0	3	0.000102087	1808	49
0	3	7.88484e-005	1832	51
0	3	0.00021696	1855	53
0	3	0.000108291	1880	55
0	3	7.84658e-005	1906	57
0	3	7.10371e-005	1932	59
0	3	0.000101606	1960	61
0	3	8.0282e-005	1997	63
0	3	6.37084e-005	2027	64
0	4	0.000110142	2032	1
0	4	0.000368712	2037	2
0	4	0.000149715	2042	4
0	4	0.00014906	2046	6
0	4	0.000191577	2052	8
0	4	0.000314132	2058	10
0	4	0.000151378	2068	12
0	4	9.69926e-005	2077	14
0	4	8.97793e-005	2086	16
0	4	0.000108569	2095	18
0	4	0.000120757	2104	20
0	4	0.000109872	2112	22
0	4	0.000114565	2121	24
0	4	0.000128376	2131	26
0	4	0.000103857	2142	28
0	4	7.43056e-005	2155	30
0	4	0.000122753	2168	32
0	4	8.43068e-005	2181	34
0	4	6.80017e-005	2195	36
0	4	6.77889e-005	2211	38
0	4	0.000107691	2227	40
0	4	6.42938e-005	2243	42
0	4	0.000105048	2260	44
0	4	0.00010429	2280	46
0	4	8.41441e-005	2299	48
0	4	5.59112e-005	2322	50
0	4	9.09109e-005	2346	52
0	4	7.31942e-005	2372	54
0	4	4.95298e-005	2399	56
0	4	7.9626e-005	2427	58
0	4	8.64783e-005	2456	60
0	4	7.20562e-005	2486	62
0	4	8.12779e-005	2518	64
0	5	0.000103953	2523	1
0	5	0.00018978	2526	2
0	5	0.000300258	2530	4
0	5	0.000205292	2536	6
0	5	0.000123216	2541	8
0	5	0.000152336	2549	10
0	5	0.000106693	2555	12
0	5	0.000199629	2562	14
0	5	0.000126787	2569	16
0	5	8.6043e-005	2576	18
0	5	0.000138751	2587	20
0	5	7.78682e-005	2598	22
0	5	0.000220485	2610	24
0	5	0.00216652	2623	26
