step	level	max error	time	nr. of control nodes
0	0	0.513086	7	2
0	0	0.277331	13	4
0	0	0.210561	18	6
0	0	0.161213	27	8
0	0	0.122667	34	10
0	0	0.0395895	42	12
0	1	0.0727618	47	2
0	1	0.0323471	52	4
0	1	0.0350393	56	6
0	1	0.0263234	63	8
0	1	0.0330597	69	10
0	1	0.0415738	75	12
0	1	0.0368122	82	14
0	1	0.0286074	88	16
0	1	0.0126445	98	18
0	1	0.00911007	107	20
0	1	0.00663393	116	22
0	2	0.0102538	121	2
0	2	0.0125533	126	4
0	2	0.0099025	131	6
0	2	0.00898512	136	8
0	2	0.00873333	142	10
0	2	0.0207143	148	12
0	2	0.0121446	154	14
0	2	0.00817059	162	16
0	2	0.0056862	169	18
0	2	0.00541621	178	20
0	2	0.00439582	186	22
0	2	0.00595573	195	24
0	2	0.00350153	205	26
0	2	0.00360707	217	28
0	2	0.00276529	229	30
0	2	0.00247249	243	32
0	2	0.00214401	257	34
0	2	0.00155597	270	36
0	2	0.00136515	286	38
0	2	0.00187774	302	40
0	2	0.00119422	317	42
0	3	0.0018022	322	2
0	3	0.003009	328	4
0	3	0.0037887	333	6
0	3	0.00168275	338	8
0	3	0.00202481	344	10
0	3	0.00190152	351	12
0	3	0.00183906	358	14
0	3	0.0018525	365	16
0	3	0.00117526	373	18
0	3	0.00117052	381	20
0	3	0.00140549	389	22
0	3	0.00130733	400	24
0	3	0.00241615	411	26
0	3	0.00136583	422	28
0	3	0.00109891	435	30
0	3	0.00108244	447	32
0	3	0.000953925	463	34
0	3	0.000829217	477	36
0	3	0.000818356	493	38
0	3	0.000940857	510	40
0	3	0.000849886	528	42
0	3	0.000695987	546	44
0	3	0.000587634	564	46
0	3	0.000441117	584	48
0	3	0.000508697	607	50
0	3	0.000654995	628	52
0	3	0.000481787	652	54
0	3	0.000387239	678	56
0	3	0.000379482	705	58
0	3	0.000346873	737	60
0	3	0.00026248	765	62
0	3	0.000241189	799	64
0	3	0.000298416	836	66
0	3	0.000174487	875	68
0	4	0.00054467	880	2
0	4	0.000328801	885	4
0	4	0.00408484	890	6
0	4	0.00104496	896	8
0	4	0.00101791	902	10
0	4	0.000614477	908	12
0	4	0.000460718	915	14
0	4	0.000670727	921	16
0	4	0.001512	930	18
0	4	0.00041385	938	20
0	4	0.000330145	947	22
0	4	0.000263733	957	24
0	4	0.000311879	967	26
0	4	0.000217961	979	28
0	4	0.000263835	991	30
0	4	0.000384109	1004	32
0	4	0.000243197	1018	34
0	4	0.000219436	1032	36
0	4	0.000196522	1049	38
0	4	0.000185281	1071	40
0	4	0.000183601	1089	42
0	4	0.000196599	1110	44
0	4	0.000167594	1131	46
0	4	0.000140678	1152	48
0	4	0.000371445	1173	50
0	4	0.000233642	1195	52
0	4	0.00015968	1218	54
0	4	0.000120389	1243	56
0	4	0.000107263	1267	58
0	4	0.000138554	1296	60
0	4	9.80836e-005	1325	62
0	4	9.7905e-005	1357	64
0	4	9.63169e-005	1389	66
0	4	9.04103e-005	1423	68
0	4	8.73292e-005	1463	70
0	4	0.000122991	1504	72
0	4	0.000100923	1549	74
0	4	8.57982e-005	1604	76
0	4	8.59427e-005	1651	78
0	4	8.47599e-005	1700	80
0	4	7.52445e-005	1752	82
0	4	6.68344e-005	1809	84
0	4	6.1987e-005	1867	86
0	4	6.20648e-005	1925	88
0	4	6.0686e-005	1988	90
0	4	8.05289e-005	2081	92
0	4	4.54523e-005	2158	94
0	4	4.14688e-005	2233	96
0	4	4.77989e-005	2304	98
0	4	3.67813e-005	2382	100
0	4	4.29155e-005	2463	102
0	4	3.61128e-005	2553	104
0	4	3.30068e-005	2690	106
0	5	6.20037e-005	2697	2
0	5	0.000276926	2704	4
0	5	0.000183854	2711	6
0	5	0.000138344	2717	8
0	5	7.64361e-005	2725	10
0	5	6.84435e-005	2733	12
0	5	6.35757e-005	2741	14
0	5	6.0732e-005	2752	16
0	5	5.09695e-005	2763	18
0	5	8.50502e-005	2774	20
0	5	6.86118e-005	2787	22
0	5	9.00251e-005	2797	24
0	5	5.21325e-005	2809	26
0	5	4.78604e-005	2820	28
0	5	4.34755e-005	2833	30
0	5	9.97452e-005	2846	32
0	5	4.29807e-005	2859	34
0	5	0.000149409	2874	36
0	5	0.000139057	2889	38
0	5	8.11935e-005	2906	40
0	5	4.94346e-005	2923	42
0	5	4.7727e-005	2942	44
0	5	3.56444e-005	2961	46
0	5	7.57301e-005	2981	48
0	5	4.24266e-005	3003	50
0	5	4.02754e-005	3026	52
0	5	5.00972e-005	3052	54
0	5	5.17425e-005	3080	56
0	5	4.25256e-005	3114	58
0	5	4.1424e-005	3145	60
0	5	3.28909e-005	3175	62
0	5	3.27441e-005	3206	64
0	5	3.60602e-005	3242	66
0	5	2.72072e-005	3277	68
0	5	5.41956e-005	3317	70
0	5	2.902e-005	3358	72
0	5	2.67573e-005	3400	74
0	5	3.51392e-005	3444	76
0	5	2.46996e-005	3493	78
0	5	2.36623e-005	3540	80
