step	level	max error	time	nr. of control nodes
0	0	0.351469	5	1
0	0	0.489155	9	2
0	0	0.282204	13	3
0	0	0.402445	18	4
0	0	0.172208	22	5
0	0	0.124242	27	6
0	0	0.158498	32	7
0	0	0.141168	37	8
0	0	0.168358	43	9
0	0	0.0612545	48	10
0	0	0.045997	55	11
0	0	0.0374113	61	12
0	0	0.0353677	67	13
0	0	0.0347272	73	14
0	0	0.0303963	80	15
0	0	0.0255904	86	16
0	0	0.0144992	93	17
0	0	0.0209804	101	18
0	0	0.0102759	109	19
0	0	0.00861283	117	20
0	0	0.00742215	125	21
0	0	0.00644061	134	22
0	0	0.00490147	142	23
0	0	0.00448898	151	24
0	0	0.00353458	161	25
0	0	0.00320367	170	26
0	0	0.00333519	188	27
0	0	0.00305998	198	28
0	0	0.00301567	209	29
0	0	0.00283785	220	30
0	0	0.00311644	231	31
0	0	0.00280042	243	32
0	0	0.0027789	255	33
0	0	0.00259607	268	34
0	0	0.00229216	281	35
0	0	0.00168393	296	36
0	0	0.00159417	310	37
0	0	0.00153177	323	38
0	0	0.00124747	338	39
0	0	0.0011324	354	40
0	0	0.00105468	370	41
0	0	0.00101909	386	42
0	0	0.00101434	403	43
0	0	0.00104707	421	44
0	0	0.000899621	439	45
0	0	0.000856379	459	46
0	0	0.000656116	480	47
0	0	0.000635556	499	48
0	0	0.000542602	519	49
0	0	0.000509351	540	50
0	0	0.000357763	560	51
0	0	0.000330538	582	52
0	0	0.000237099	604	53
0	0	0.000230885	628	54
0	0	0.000220439	652	55
0	0	0.000213166	676	56
0	0	0.00024031	702	57
0	0	0.000208889	729	58
0	0	0.000196045	755	59
0	0	0.000184162	783	60
0	0	0.000177235	822	61
0	0	0.000161896	858	62
0	0	0.000160406	898	63
0	0	0.000157131	936	64
0	1	0.000200532	939	1
0	1	0.000278872	942	2
0	1	0.000237888	945	3
0	1	0.000294709	948	4
0	1	0.000343415	951	5
0	1	0.000235681	955	6
0	1	0.00046791	959	7
0	1	0.000295635	962	8
0	1	0.000283876	966	9
0	1	0.000253011	970	10
0	1	0.00022225	974	11
0	1	0.000473223	979	12
0	1	0.000354928	983	13
0	1	0.000230131	988	14
0	1	0.000221387	995	15
0	1	0.000215685	999	16
0	1	0.000741064	1006	17
0	1	0.000389454	1011	18
0	1	0.00027951	1018	19
0	1	0.000790999	1025	20
0	1	0.00028633	1032	21
0	1	0.000258793	1042	22
0	1	0.000209515	1051	23
0	1	0.000311852	1062	24
0	1	0.000205528	1071	25
0	1	0.000197574	1083	26
0	1	0.00019832	1093	27
0	1	0.000169597	1103	28
0	1	0.000167871	1116	29
0	1	0.000237298	1130	30
0	1	0.000171357	1144	31
0	1	0.000306712	1159	32
0	1	0.000367121	1175	33
0	1	0.000202215	1190	34
0	1	0.00028149	1205	35
0	1	0.000197285	1222	36
0	1	0.000254615	1242	37
0	1	0.000167814	1261	38
0	1	0.000148291	1279	39
0	1	0.000244842	1298	40
0	1	0.000144665	1317	41
0	1	0.000193543	1335	42
0	1	0.000144082	1356	43
0	1	0.000156228	1379	44
0	1	0.00013554	1400	45
0	1	0.000218822	1424	46
0	1	0.000233885	1446	47
0	1	0.000158862	1470	48
0	1	0.000129659	1495	49
0	1	0.000187802	1519	50
0	1	0.000177797	1549	51
0	1	0.000165472	1583	52
0	1	0.000137996	1616	53
0	1	0.000121375	1646	54
0	1	0.000117845	1674	55
0	1	0.000115821	1703	56
0	1	0.00011195	1732	57
0	1	0.00015715	1784	58
0	1	0.00010855	1818	59
0	1	0.000141039	1851	60
0	1	0.000130593	1889	61
0	1	0.00010674	1922	62
0	1	0.000118353	1953	63
0	1	0.000100263	1990	64
0	2	0.000194204	1996	1
0	2	0.000648939	1999	2
0	2	0.000513102	2002	3
0	2	0.000320394	2005	4
0	2	0.000387006	2008	5
0	2	0.000270295	2012	6
0	2	0.000284892	2015	7
0	2	0.00019842	2019	8
0	2	0.000185686	2023	9
0	2	0.000186011	2027	10
0	2	0.000348125	2032	11
0	2	0.000207297	2037	12
0	2	0.000183046	2044	13
0	2	0.000197815	2051	14
0	2	0.000168119	2058	15
0	2	0.000185913	2065	16
0	2	0.000162964	2071	17
0	2	0.000167784	2077	18
0	2	0.0001861	2083	19
0	2	0.000440162	2090	20
0	2	0.000200942	2096	21
0	2	0.000170752	2106	22
0	2	0.000160221	2115	23
0	2	0.000157166	2126	24
0	2	0.000155515	2137	25
0	2	0.000409757	2148	26
0	2	0.000188736	2156	27
0	2	0.000144817	2165	28
0	2	0.000198416	2174	29
0	2	0.000154289	2184	30
0	2	0.000149873	2194	31
0	2	0.000182334	2204	32
0	2	0.000139796	2215	33
0	2	0.00014035	2225	34
0	2	0.00013829	2237	35
0	2	0.000125426	2250	36
0	2	0.000222316	2263	37
0	2	0.000233561	2277	38
0	2	0.000122855	2291	39
0	2	0.000120035	2306	40
0	2	0.000132132	2321	41
0	2	0.000113872	2336	42
0	2	0.000112664	2352	43
0	2	0.000166107	2369	44
0	2	0.000107474	2387	45
0	2	0.000106431	2403	46
0	2	9.98419e-005	2420	47
0	2	9.82883e-005	2438	48
0	2	9.08489e-005	2461	49
0	2	9.08349e-005	2480	50
0	2	8.94395e-005	2500	51
0	2	9.5581e-005	2521	52
0	2	8.66716e-005	2545	53
0	2	8.65423e-005	2574	54
0	2	0.000279997	2622	55
0	2	0.000247338	2658	56
0	2	8.65213e-005	2684	57
0	2	8.33036e-005	2712	58
0	2	7.72757e-005	2743	59
0	2	8.04228e-005	2771	60
0	2	7.49272e-005	2804	61
0	2	7.42919e-005	2840	62
