step	level	max error	time	nr. of control nodes
0	0	0.351469	4	1
0	0	0.489155	8	2
0	0	0.282204	13	3
0	0	0.402445	18	4
0	0	0.172208	22	5
0	0	0.124242	29	6
0	0	0.158498	35	7
0	0	0.141168	41	8
0	0	0.168358	49	9
0	0	0.0612545	56	10
0	0	0.045997	64	11
0	0	0.0374113	71	12
0	0	0.0353677	79	13
0	0	0.0347272	86	14
0	0	0.0303963	94	15
0	0	0.0255904	103	16
0	0	0.0144992	110	17
0	1	0.025102	114	1
0	1	0.0901742	118	2
0	1	0.0899183	121	3
0	1	0.0424601	123	4
0	1	0.106046	127	5
0	1	0.08564	130	6
0	1	0.0248682	134	7
0	1	0.0284318	137	8
0	1	0.0304047	141	9
0	1	0.0118881	145	10
0	1	0.0107424	150	11
0	1	0.0123553	154	12
0	1	0.0085211	158	13
0	1	0.00665852	164	14
0	1	0.00564532	170	15
0	1	0.00992876	175	16
0	1	0.00669957	181	17
0	1	0.00520512	186	18
0	1	0.00559939	192	19
0	1	0.00597272	199	20
0	1	0.00570915	207	21
0	1	0.0053536	214	22
0	1	0.00506436	223	23
0	1	0.00403311	231	24
0	1	0.00380192	239	25
0	1	0.00380401	248	26
0	1	0.00259358	257	27
0	1	0.00403244	265	28
0	1	0.00246763	274	29
0	1	0.00282462	284	30
0	1	0.00241595	294	31
0	1	0.0021796	306	32
0	1	0.00208526	318	33
0	1	0.00395249	329	34
0	1	0.0018127	340	35
0	1	0.00174259	353	36
0	1	0.00160547	366	37
0	1	0.00156859	379	38
0	1	0.00156607	393	39
0	1	0.00132715	407	40
0	1	0.00107532	421	41
0	1	0.00106226	437	42
0	1	0.000924697	455	43
0	1	0.000924101	472	44
0	1	0.000873595	492	45
0	1	0.00080258	511	46
0	1	0.000748011	529	47
0	1	0.000702066	549	48
0	2	0.00125244	552	1
0	2	0.00681325	555	2
0	2	0.00673515	558	3
0	2	0.00266723	562	4
0	2	0.00642353	566	5
0	2	0.00322428	569	6
0	2	0.00124888	573	7
0	2	0.00582521	576	8
0	2	0.00404849	580	9
0	2	0.00153516	585	10
0	2	0.00150768	589	11
0	2	0.00100581	594	12
0	2	0.00103453	599	13
0	2	0.00120181	603	14
0	2	0.000970294	608	15
0	2	0.000945027	614	16
0	2	0.00163502	620	17
0	2	0.00098945	626	18
0	2	0.000985079	632	19
0	2	0.00103207	638	20
0	2	0.000887967	645	21
0	2	0.000864157	652	22
0	2	0.000658857	660	23
0	2	0.000669638	668	24
0	2	0.00070628	675	25
0	2	0.00089262	683	26
0	2	0.000668258	692	27
0	2	0.000713637	700	28
0	2	0.000666039	709	29
0	2	0.000646584	719	30
0	2	0.000565484	730	31
0	2	0.000539659	742	32
0	2	0.000511209	753	33
0	2	0.000469909	765	34
0	2	0.00045437	777	35
0	2	0.000441215	790	36
0	2	0.000469513	802	37
0	2	0.000394541	815	38
0	2	0.000420492	830	39
0	2	0.000370583	844	40
0	2	0.000589996	859	41
0	2	0.00028996	874	42
0	2	0.000295056	890	43
0	2	0.0004006	909	44
0	2	0.000279326	926	45
0	2	0.00027425	944	46
0	2	0.000271653	961	47
0	2	0.000262863	980	48
0	2	0.000373138	999	49
0	2	0.000257915	1021	50
0	2	0.00025271	1043	51
0	2	0.000283977	1069	52
0	2	0.000254595	1095	53
0	2	0.000245806	1119	54
0	2	0.000234712	1143	55
0	2	0.000232818	1168	56
0	2	0.000220496	1192	57
0	2	0.000188502	1219	58
0	2	0.000444793	1244	59
0	2	0.000181523	1275	60
0	2	0.000209404	1305	61
0	2	0.000218177	1334	62
0	2	0.00018021	1365	63
0	2	0.000178206	1396	64
0	2	0.000210256	1429	65
0	2	0.000177051	1462	66
0	2	0.000175866	1497	67
0	2	0.000162997	1532	68
0	2	0.000159879	1567	69
0	2	0.000171168	1610	70
0	2	0.000163858	1648	71
0	2	0.000157213	1686	72
0	2	0.000144746	1725	73
0	2	0.000144316	1766	74
0	2	0.000141819	1806	75
0	2	0.000139686	1846	76
0	2	0.000138967	1891	77
0	2	0.000131461	1934	78
0	2	0.000128567	1981	79
0	2	0.000103664	2031	80
0	2	0.000103581	2089	81
0	2	9.9633e-005	2139	82
0	2	9.60609e-005	2191	83
0	2	9.27633e-005	2243	84
0	2	9.14123e-005	2298	85
0	2	8.89104e-005	2358	86
0	2	8.70044e-005	2419	87
0	2	8.26804e-005	2475	88
0	2	7.63159e-005	2533	89
0	2	7.09146e-005	2595	90
0	2	7.06226e-005	2664	91
0	2	6.83038e-005	2731	92
0	2	6.62964e-005	2798	93
0	2	6.38726e-005	2869	94
0	2	7.38761e-005	2937	95
0	2	6.28289e-005	3006	96
0	2	5.92434e-005	3082	97
0	2	5.52441e-005	3164	98
0	2	5.48731e-005	3241	99
0	2	4.76757e-005	3321	100
0	2	4.68225e-005	3404	101
0	2	4.29319e-005	3486	102
0	2	4.07685e-005	3574	103
0	2	4.05249e-005	3672	104
0	2	3.7185e-005	3756	105
0	2	3.77503e-005	3845	106
0	2	2.93443e-005	3942	107
0	3	5.0722e-005	3946	1
0	3	0.000676572	3949	2
0	3	0.000303794	3952	3
0	3	0.000133339	3956	4
0	3	0.00015263	3959	5
0	3	0.000179451	3962	6
0	3	0.000115365	3965	7
0	3	0.000147404	3969	8
0	3	6.90727e-005	3972	9
0	3	5.19978e-005	3976	10
0	3	5.04237e-005	3981	11
0	3	5.28069e-005	3985	12
0	3	5.1517e-005	3990	13
0	3	4.61433e-005	3995	14
0	3	4.56313e-005	4000	15
0	3	4.64049e-005	4005	16
0	3	4.35874e-005	4010	17
0	3	4.02963e-005	4016	18
0	3	3.84863e-005	4022	19
0	3	4.30151e-005	4029	20
0	3	4.61213e-005	4036	21
0	3	8.77128e-005	4045	22
0	3	4.04711e-005	4053	23
0	3	3.7976e-005	4062	24
0	3	3.76051e-005	4072	25
0	3	0.000105146	4079	26
0	3	4.0597e-005	4088	27
0	3	7.22955e-005	4096	28
0	3	4.33748e-005	4105	29
0	3	6.21573e-005	4118	30
0	3	6.12591e-005	4130	31
0	3	5.34304e-005	4143	32
0	3	4.3902e-005	4153	33
0	3	6.42486e-005	4165	34
0	3	5.6527e-005	4177	35
0	3	4.56505e-005	4190	36
0	3	4.54586e-005	4203	37
0	3	4.28907e-005	4216	38
0	3	3.57426e-005	4230	39
0	3	4.29131e-005	4244	40
0	3	3.84454e-005	4259	41
0	3	3.78964e-005	4275	42
0	3	3.34425e-005	4290	43
0	3	4.38448e-005	4307	44
0	3	3.61634e-005	4325	45
0	3	4.0794e-005	4344	46
0	3	8.09251e-005	4366	47
0	3	4.3515e-005	4384	48
0	3	4.18936e-005	4402	49
0	3	3.00096e-005	4423	50
0	3	2.99326e-005	4445	51
0	3	2.80687e-005	4465	52
0	3	4.54444e-005	4485	53
0	3	3.71524e-005	4507	54
0	3	2.78992e-005	4534	55
0	3	3.52912e-005	4561	56
0	3	2.74074e-005	4588	57
0	3	2.718e-005	4614	58
0	3	3.34169e-005	4644	59
0	3	2.95625e-005	4676	60
0	3	3.56658e-005	4705	61
0	3	4.9341e-005	4740	62
0	3	3.90633e-005	4771	63
0	3	3.16347e-005	4800	64
0	3	2.70949e-005	4831	65
0	3	4.09057e-005	4862	66
0	3	2.69519e-005	4895	67
0	3	2.68291e-005	4927	68
0	3	2.65034e-005	4962	69
0	3	2.7145e-005	5002	70
0	3	2.54073e-005	5041	71
0	3	2.49233e-005	5079	72
0	3	2.36078e-005	5124	73
0	3	2.31223e-005	5166	74
0	3	2.36472e-005	5209	75
0	3	2.14783e-005	5250	76
0	3	2.13565e-005	5290	77
0	3	2.0975e-005	5333	78
0	3	2.48832e-005	5378	79
0	3	2.07398e-005	5424	80
0	3	2.01517e-005	5470	81
0	3	1.90205e-005	5521	82
0	3	1.86696e-005	5568	83
0	3	1.86374e-005	5619	84
0	3	2.14907e-005	5681	85
0	3	1.70753e-005	5732	86
0	3	1.98215e-005	5784	87
0	3	1.67449e-005	5836	88
0	3	2.62303e-005	5893	89
0	3	2.19551e-005	5951	90
0	3	1.61419e-005	6013	91
0	3	1.56936e-005	6076	92
0	3	1.61824e-005	6147	93
0	3	1.5621e-005	6210	94
0	3	1.56398e-005	6276	95
0	3	2.06541e-005	6343	96
0	3	1.98486e-005	6410	97
0	3	1.57433e-005	6478	98
0	3	1.54057e-005	6548	99
0	3	1.52841e-005	6623	100
0	3	1.76646e-005	6707	101
0	3	1.52613e-005	6783	102
0	3	1.86348e-005	6860	103
0	3	1.51091e-005	6940	104
0	3	1.93364e-005	7020	105
0	3	1.54647e-005	7112	106
0	3	1.49102e-005	7218	107
0	3	1.72747e-005	7302	108
0	3	1.55854e-005	7408	109
0	3	1.43867e-005	7498	110
0	3	1.4058e-005	7600	111
0	3	1.3549e-005	7713	112
0	3	1.32702e-005	7808	113
0	3	1.70425e-005	7904	114
0	3	1.3217e-005	8010	115
0	3	1.22051e-005	8119	116
0	3	1.2877e-005	8237	117
0	3	1.21224e-005	8342	118
0	3	2.35619e-005	8450	119
0	3	1.50347e-005	8566	120
0	3	1.42238e-005	8701	121
0	3	1.19317e-005	8825	122
0	3	1.98166e-005	8952	123
0	3	1.18482e-005	9078	124
0	3	1.16738e-005	9224	125
0	3	1.16567e-005	9359	126
0	3	1.57739e-005	9493	127
0	3	1.14093e-005	9627	128
0	3	1.54597e-005	9766	129
0	3	1.13136e-005	9896	130
0	3	1.08045e-005	10034	131
0	3	1.05083e-005	10189	132
0	3	1.04824e-005	10337	133
0	3	9.84597e-006	10489	134
0	3	1.53204e-005	10636	135
0	3	9.83298e-006	10801	136
0	3	1.2118e-005	10962	137
0	3	9.7993e-006	11129	138
0	3	1.9743e-005	11308	139
0	3	1.14309e-005	11486	140
0	3	9.61408e-006	11657	141
0	3	9.21041e-006	11840	142
0	3	9.15957e-006	12022	143
0	3	1.31555e-005	12211	144
0	3	9.08843e-006	12403	145
0	3	8.44131e-006	12592	146
0	3	7.97711e-006	12794	147
0	3	7.6165e-006	13007	148
0	3	7.48827e-006	13218	149
0	3	9.28252e-006	13492	150
0	3	1.04272e-005	13720	151
0	3	7.47786e-006	13928	152
0	3	7.46783e-006	14190	153
0	3	1.07003e-005	14449	154
0	3	7.05723e-006	14665	155
0	3	7.0411e-006	14898	156
0	3	6.92748e-006	15127	157
0	3	8.23769e-006	15368	158
0	3	6.70121e-006	15625	159
0	3	6.41788e-006	15878	160
0	3	6.30098e-006	16121	161
0	3	6.27895e-006	16389	162
0	3	6.09823e-006	16641	163
0	3	7.39202e-006	16902	164
0	3	6.05996e-006	17152	165
0	3	5.97147e-006	17430	166
0	3	5.89541e-006	17692	167
0	3	5.80796e-006	17956	168
0	3	5.55615e-006	18211	169
0	3	5.63476e-006	18492	170
0	3	5.28389e-006	18758	171
0	3	5.57971e-006	19050	172
0	3	5.4294e-006	19321	173
0	3	5.10781e-006	19614	174
0	3	5.327e-006	19914	175
0	3	5.07124e-006	20196	176
0	3	5.02802e-006	20498	177
0	3	4.95621e-006	20792	178
0	3	4.74821e-006	21106	179
0	3	4.7376e-006	21427	180
0	3	4.68973e-006	21759	181
0	3	4.68268e-006	22091	182
0	3	4.64461e-006	22446	183
0	3	4.55688e-006	22795	184
0	3	4.25779e-006	23155	185
0	3	4.19149e-006	23498	186
0	3	4.08968e-006	23848	187
0	3	4.08352e-006	24184	188
0	3	4.01323e-006	24569	189
0	3	3.88238e-006	25002	190
0	3	3.84466e-006	25382	191
0	3	3.44078e-006	25759	192
0	3	3.38607e-006	26153	193
0	3	3.23559e-006	26531	194
0	3	3.17168e-006	26911	195
0	3	3.16773e-006	27375	196
