step	level	max error	time	nr. of control nodes
0	0	0.513086	6	2
0	0	0.277331	13	4
0	0	0.210561	19	6
0	0	0.161213	27	8
0	0	0.122667	34	10
0	0	0.0395895	42	12
0	0	0.0343822	50	14
0	0	0.0284775	59	16
0	0	0.0141567	70	18
0	0	0.00874385	81	20
0	0	0.00714954	104	22
0	0	0.0059239	120	24
0	0	0.00568224	135	26
0	0	0.00510157	151	28
0	0	0.00494704	168	30
0	0	0.00271781	184	32
0	0	0.00240541	199	34
0	0	0.00208086	216	36
0	0	0.0018738	232	38
0	0	0.00157278	252	40
0	0	0.00157098	273	42
0	0	0.00144856	294	44
0	0	0.00110477	315	46
0	0	0.00101697	338	48
0	0	0.000857846	364	50
0	0	0.000810968	390	52
0	0	0.000767921	420	54
0	0	0.000447958	448	56
0	0	0.000427656	479	58
0	0	0.000313495	510	60
0	0	0.000270999	546	62
0	0	0.000253892	585	64
0	0	0.000310135	623	66
0	0	0.00025332	671	68
0	0	0.000229515	715	70
0	0	0.000193057	756	72
0	0	0.000182858	807	74
0	0	0.000168981	856	76
0	0	0.000166206	908	78
0	0	0.000156529	963	80
0	0	0.000128964	1023	82
0	0	0.000141045	1098	84
0	0	0.000120979	1161	86
0	0	0.000119116	1249	88
0	0	0.000100356	1333	90
0	0	7.82719e-005	1403	92
0	0	7.5923e-005	1475	94
0	0	9.33217e-005	1565	96
0	0	6.54043e-005	1647	98
0	0	5.93258e-005	1753	100
0	0	5.74129e-005	1852	102
0	0	4.77452e-005	1943	104
0	0	4.6349e-005	2036	106
0	0	4.57785e-005	2142	108
0	0	2.86826e-005	2259	110
0	0	2.64114e-005	2395	112
0	0	2.17937e-005	2527	114
0	0	2.05508e-005	2669	116
0	0	1.91327e-005	2809	118
0	0	1.80157e-005	2943	120
0	0	1.64239e-005	3096	122
0	0	1.6063e-005	3235	124
0	0	1.50681e-005	3376	126
0	0	1.48703e-005	3533	128
0	0	1.15307e-005	3717	130
0	0	1.14291e-005	3901	132
0	0	1.05285e-005	4065	134
0	0	9.34761e-006	4236	136
0	0	8.72587e-006	4410	138
0	0	7.7523e-006	4625	140
0	0	7.448e-006	4842	142
0	0	9.29666e-006	5065	144
0	0	7.95523e-006	5283	146
0	0	6.68533e-006	5478	148
0	0	6.06099e-006	5721	150
0	0	5.67985e-006	5949	152
0	0	5.46456e-006	6179	154
0	0	5.19981e-006	6431	156
0	0	5.01963e-006	6688	158
0	0	4.81271e-006	6928	160
0	0	3.8115e-006	7179	162
0	0	3.5273e-006	7440	164
0	0	3.05437e-006	7767	166
0	0	2.97064e-006	8046	168
0	0	2.50566e-006	8343	170
0	0	2.59957e-006	8638	172
0	0	2.62715e-006	8947	174
0	0	2.24696e-006	9272	176
0	0	1.94596e-006	9631	178
0	0	1.94937e-006	10052	180
0	0	1.63216e-006	10407	182
0	0	1.41282e-006	10782	184
0	0	1.32467e-006	11152	186
0	0	1.2949e-006	11527	188
0	0	1.27665e-006	11914	190
0	0	1.07205e-006	12343	192
0	0	1.04672e-006	12766	194
0	0	1.2493e-006	13205	196
0	0	1.03071e-006	13673	198
0	0	9.26626e-007	14109	200
0	0	1.07395e-006	14569	202
0	0	9.21228e-007	15032	204
0	0	8.88193e-007	15483	206
0	0	9.47589e-007	15991	208
0	0	8.46408e-007	16479	210
0	0	8.41458e-007	16983	212
0	0	8.2211e-007	17504	214
0	0	8.57997e-007	18012	216
0	0	8.05297e-007	18528	218
0	0	7.82231e-007	19135	220
0	0	6.87726e-007	19755	222
0	0	7.16621e-007	20331	224
0	0	6.42351e-007	20941	226
0	0	6.37198e-007	21523	228
0	0	7.06473e-007	22107	230
0	0	6.21211e-007	22728	232
0	0	5.8506e-007	23396	234
0	0	5.53759e-007	24151	236
0	0	4.84825e-007	24859	238
0	0	4.81849e-007	25556	240
0	0	4.77886e-007	26304	242
0	0	4.56008e-007	27054	244
0	0	4.13013e-007	27999	246
0	0	3.86457e-007	28783	248
0	0	4.7415e-007	29565	250
0	0	3.86009e-007	30299	252
0	0	3.13541e-007	31057	254
0	0	3.09394e-007	31934	256
0	0	3.11972e-007	32886	258
0	0	3.36688e-007	33870	260
0	0	3.48781e-007	34875	262
0	0	3.57072e-007	35918	264
0	0	3.47504e-007	36851	266
0	0	3.89744e-007	37784	268
0	0	2.96252e-007	38806	270
0	0	2.64974e-007	39876	272
0	0	2.60961e-007	40883	274
