step	level	max error	time	nr. of control nodes
0	0	0.351469	5	1
0	0	0.489155	10	2
0	0	0.282204	14	3
0	0	0.402445	18	4
0	0	0.172208	23	5
0	0	0.124242	28	6
0	0	0.158498	32	7
0	0	0.141168	39	8
0	0	0.168358	44	9
0	0	0.0612545	50	10
0	0	0.045997	56	11
0	0	0.0374113	62	12
0	0	0.0353677	69	13
0	0	0.0347272	76	14
0	0	0.0303963	83	15
0	0	0.0255904	90	16
0	0	0.0144992	97	17
0	0	0.0209804	106	18
0	0	0.0102759	115	19
0	0	0.00861283	125	20
0	0	0.00742215	134	21
0	0	0.00644061	143	22
0	0	0.00490147	153	23
0	0	0.00448898	163	24
0	0	0.00353458	175	25
0	0	0.00320367	185	26
0	0	0.00333519	196	27
0	0	0.00305998	207	28
0	0	0.00301567	217	29
0	0	0.00283785	232	30
0	0	0.00311644	244	31
0	0	0.00280042	255	32
0	0	0.0027789	269	33
0	0	0.00259607	283	34
0	0	0.00229216	298	35
0	0	0.00168393	313	36
0	0	0.00159417	331	37
0	0	0.00153177	354	38
0	0	0.00124747	381	39
0	0	0.0011324	405	40
0	0	0.00105468	430	41
0	0	0.00101909	449	42
0	0	0.00101434	469	43
0	0	0.00104707	491	44
0	0	0.000899621	513	45
0	0	0.000856379	531	46
0	0	0.000656116	552	47
0	0	0.000635556	572	48
0	0	0.000542602	592	49
0	0	0.000509351	615	50
0	0	0.000357763	636	51
0	0	0.000330538	661	52
0	0	0.000237099	685	53
0	0	0.000230885	712	54
0	0	0.000220439	740	55
0	0	0.000213166	767	56
0	0	0.00024031	794	57
0	0	0.000208889	825	58
0	0	0.000196045	853	59
0	0	0.000184162	885	60
0	0	0.000177235	915	61
0	0	0.000161896	944	62
0	0	0.000160406	975	63
0	0	0.000157131	1014	64
0	0	0.000152103	1050	65
0	0	0.000147497	1090	66
0	0	0.000140755	1124	67
0	0	0.000140511	1160	68
0	0	0.000139789	1199	69
0	0	0.00013622	1239	70
0	0	0.000138418	1279	71
0	0	0.000134729	1320	72
0	0	0.000118778	1365	73
0	0	0.000118696	1407	74
0	0	0.000108254	1453	75
0	0	0.000108	1498	76
0	0	0.000104754	1546	77
0	0	0.000103687	1601	78
0	0	9.78578e-005	1650	79
0	0	8.70622e-005	1703	80
0	0	8.62317e-005	1756	81
0	0	8.30951e-005	1811	82
0	0	7.7383e-005	1862	83
0	0	6.92347e-005	1926	84
0	0	5.91864e-005	1990	85
0	0	5.85905e-005	2062	86
0	0	5.36245e-005	2137	87
0	0	5.21835e-005	2198	88
0	0	4.64502e-005	2261	89
0	0	4.28507e-005	2331	90
0	0	4.06185e-005	2391	91
0	0	3.83924e-005	2452	92
0	0	3.46097e-005	2517	93
0	0	3.41766e-005	2593	94
0	0	2.89514e-005	2661	95
0	0	2.80377e-005	2729	96
0	0	2.78145e-005	2798	97
0	0	2.60699e-005	2872	98
0	0	2.12235e-005	2944	99
0	0	1.81076e-005	3023	100
0	0	1.97028e-005	3109	101
0	0	1.6571e-005	3187	102
0	0	1.57745e-005	3270	103
0	0	1.57326e-005	3364	104
0	0	1.52602e-005	3456	105
0	0	1.36617e-005	3549	106
0	0	1.28147e-005	3650	107
0	0	1.22466e-005	3741	108
0	0	1.19857e-005	3841	109
0	0	1.14862e-005	3940	110
0	0	1.50372e-005	4040	111
0	0	1.51943e-005	4152	112
0	0	1.23105e-005	4257	113
0	0	1.10064e-005	4366	114
0	0	1.11201e-005	4491	115
0	0	1.08868e-005	4601	116
0	0	1.04279e-005	4727	117
0	0	9.66146e-006	4864	118
0	0	9.13823e-006	4999	119
0	0	8.74623e-006	5139	120
0	0	9.72633e-006	5297	121
0	0	9.30822e-006	5426	122
0	0	8.37745e-006	5549	123
0	0	8.35797e-006	5705	124
0	0	8.35727e-006	5865	125
0	0	9.94249e-006	6004	126
0	0	8.3496e-006	6144	127
0	0	7.79925e-006	6290	128
0	0	7.31702e-006	6436	129
0	0	8.8786e-006	6592	130
0	0	7.16892e-006	6750	131
0	0	7.10012e-006	6904	132
0	0	6.99493e-006	7063	133
0	0	6.96135e-006	7224	134
0	0	6.75071e-006	7389	135
0	0	6.68664e-006	7547	136
0	0	6.35581e-006	7716	137
0	0	7.97157e-006	7886	138
0	0	7.73329e-006	8049	139
0	0	5.89095e-006	8224	140
0	0	5.21549e-006	8388	141
0	0	5.19135e-006	8557	142
0	0	4.93707e-006	8740	143
0	0	4.84288e-006	8908	144
0	0	4.78955e-006	9079	145
0	0	6.18524e-006	9270	146
0	0	6.31234e-006	9457	147
0	0	4.5741e-006	9643	148
0	0	4.37605e-006	9844	149
0	0	4.34747e-006	10041	150
0	0	4.15091e-006	10249	151
0	0	4.14746e-006	10446	152
0	0	4.07833e-006	10661	153
0	0	3.8685e-006	10874	154
0	0	3.75774e-006	11082	155
0	0	3.55218e-006	11318	156
0	0	3.36382e-006	11548	157
0	0	3.33449e-006	11790	158
0	0	3.24207e-006	12023	159
