step	level	max error	time	nr. of control nodes
0	0	0.512828	3	2
0	0	0.248427	3	4
0	0	0.330735	5	6
0	0	0.116195	7	8
0	0	0.142076	9	10
0	0	0.0492059	10	12
0	0	0.0807973	14	14
0	0	0.0340903	20	16
0	0	0.0255362	22	18
0	0	0.0208216	25	20
0	1	0.0217586	27	2
0	1	0.0417655	31	4
0	1	0.0325847	32	6
0	1	0.0138354	35	8
0	1	0.0157969	36	10
0	1	0.00787643	39	12
0	1	0.00621842	41	14
0	1	0.00629076	43	16
0	1	0.015929	46	18
0	1	0.00813968	51	20
0	2	0.0421607	52	2
0	2	0.016444	52	4
0	2	0.011346	54	6
0	2	0.0110157	56	8
0	2	0.00758733	57	10
0	2	0.00795641	58	12
0	2	0.00994093	61	14
0	2	0.00549441	71	16
0	2	0.00430867	74	18
0	2	0.00340776	77	20
0	3	0.0201687	79	2
0	3	0.0148245	81	4
0	3	0.0105008	83	6
0	3	0.00477179	84	8
0	3	0.00585605	86	10
0	3	0.00565273	88	12
0	3	0.00665653	90	14
0	3	0.00708929	92	16
0	3	0.00312164	94	18
0	3	0.002882	97	20
0	4	0.00397402	98	2
0	4	0.00763502	100	4
0	4	0.00572949	101	6
0	4	0.00304928	103	8
0	4	0.00360209	105	10
0	4	0.00375602	106	12
0	4	0.00511805	108	14
0	4	0.00878688	112	16
0	4	0.00307888	114	18
0	4	0.00242286	117	20
0	5	0.00451159	118	2
0	5	0.00615269	120	4
0	5	0.00547769	121	6
0	5	0.00444093	124	8
0	5	0.0045056	127	10
0	5	0.00364352	129	12
0	5	0.00328945	131	14
0	5	0.00314928	134	16
0	5	0.00256759	136	18
0	5	0.001851	139	20
0	6	0.00315426	141	2
0	6	0.0031408	142	4
0	6	0.00484821	144	6
0	6	0.00263123	146	8
0	6	0.00485955	147	10
0	6	0.00344549	150	12
0	6	0.00293993	151	14
0	6	0.00272333	155	16
0	6	0.00256599	158	18
0	6	0.00240746	160	20
0	7	0.00323155	163	2
0	7	0.00869526	164	4
0	7	0.00509361	166	6
0	7	0.00312058	167	8
