step	level	max error	mean error	time
0	0	0.438472	0.158008	0.000999	2
0	0	0.194592	0.0535121	0.004013	4
0	0	0.187634	0.0543916	0.005998	6
0	0	0.144663	0.032509	0.008997	8
0	1	0.111554	0.036224	0.010001	2
0	1	0.166985	0.0309333	0.011996	4
0	1	0.0716089	0.0189871	0.014002	6
0	2	0.0821761	0.0275517	0.015001	2
0	2	0.090726	0.0251956	0.016998	4
0	2	0.0736756	0.0175223	0.019998	6
0	2	0.0543957	0.0120833	0.023011	8
0	2	0.0552492	0.0101499	0.026002	10
0	2	0.0524789	0.00797542	0.029996	12
0	2	0.0332357	0.00551502	0.033999	14
0	3	0.0416092	0.0105341	0.035999	2
0	3	0.0322039	0.0107502	0.038006	4
0	3	0.0178388	0.00554495	0.047994	6
0	3	0.024266	0.00390641	0.049995	8
0	3	0.0188226	0.00329362	0.051993	10
0	3	0.0234927	0.00462107	0.054995	12
0	3	0.0220504	0.0032709	0.058999	14
0	3	0.00820493	0.00201614	0.062998	16
0	4	0.0153168	0.00372225	0.064995	2
0	4	0.0114258	0.00332339	0.066997	4
0	4	0.0129246	0.00443836	0.069008	6
0	4	0.00843742	0.00231497	0.071997	8
0	4	0.0114749	0.00288668	0.074999	10
0	4	0.00771449	0.00180095	0.079998	12
0	4	0.00922828	0.00203653	0.083996	14
0	4	0.00721786	0.00140139	0.089998	16
0	4	0.00909726	0.00160961	0.095994	18
0	4	0.0055052	0.00120042	0.103004	20
0	4	0.0046487	0.000938385	0.110995	22
0	4	0.00529491	0.000697202	0.117995	24
0	4	0.00325366	0.000532256	0.127995	26
0	5	0.00503567	0.0015362	0.129998	2
0	5	0.0280242	0.00770282	0.131998	4
0	5	0.0123554	0.00373085	0.134011	6
0	5	0.0147345	0.0032096	0.136997	8
0	5	0.00859479	0.0012646	0.14	10
0	5	0.0051476	0.00111289	0.144007	12
0	5	0.00450534	0.00108305	0.148999	14
0	5	0.00491613	0.000904461	0.154006	16
0	5	0.00334077	0.000803697	0.159997	18
0	5	0.0028168	0.00063354	0.165997	20
0	5	0.00234876	0.000565212	0.173997	22
0	5	0.00241686	0.000516078	0.180994	24
0	5	0.00178829	0.000399178	0.189995	26
0	5	0.00177881	0.000351739	0.196994	28
0	5	0.00166526	0.000303537	0.206994	30
0	5	0.00121455	0.000242896	0.216993	32
0	6	0.00166538	0.000401585	0.218009	2
0	6	0.00267694	0.000667903	0.220003	4
0	6	0.00275486	0.000667405	0.221997	6
0	6	0.00154379	0.000377196	0.224996	8
0	6	0.0015061	0.000305593	0.227994	10
0	6	0.00121352	0.000270157	0.230995	12
0	6	0.00151317	0.000286009	0.236995	14
0	6	0.00105053	0.000259073	0.240994	16
0	6	0.00136582	0.00029316	0.245994	18
0	6	0.000927019	0.000237497	0.250995	20
0	6	0.00162909	0.000272678	0.256993	22
0	6	0.000745833	0.000227133	0.262993	24
0	6	0.00118177	0.000241669	0.270996	26
0	6	0.000940849	0.000244925	0.279	28
0	6	0.000843931	0.000213665	0.288993	30
0	6	0.000972309	0.000228205	0.300993	32
0	6	0.000757606	0.000191357	0.314994	34
0	6	0.000629549	0.000161923	0.327035	36
0	6	0.000972005	0.000188657	0.340996	38
0	6	0.000513587	0.000143349	0.355034	40
0	7	0.000717758	0.000207924	0.355999	2
0	7	0.00201074	0.00063931	0.358001	4
0	7	0.00143516	0.000312003	0.36	6
0	7	0.00196717	0.000517267	0.361999	8
0	7	0.00108865	0.000243829	0.36503	10
0	7	0.00064527	0.000172528	0.367995	12
0	7	0.000984409	0.000233212	0.373994	14
0	7	0.000965779	0.000203968	0.378034	16
0	7	0.00097193	0.000196736	0.383	18
0	7	0.00101872	0.000194777	0.389034	20
0	7	0.000589947	0.000130627	0.395031	22
0	7	0.00057377	0.00011703	0.40103	24
0	7	0.000656788	0.000119759	0.40903	26
0	7	0.000572399	0.000106447	0.419996	28
0	7	0.000459898	0.000107805	0.428996	30
0	7	0.000361844	9.02698e-005	0.43903	32
0	7	0.000345197	7.76362e-005	0.449029	34
0	7	0.000335517	6.84292e-005	0.462035	36
0	7	0.000433184	6.76917e-005	0.475036	38
0	7	0.000327661	5.87508e-005	0.490995	40
0	7	0.00054481	6.68262e-005	0.506994	42
0	7	0.000255201	5.1469e-005	0.525993	44
0	8	0.000368813	0.000122588	0.526995	2
0	8	0.00107663	0.000308102	0.528998	4
0	8	0.000602215	0.000149913	0.530996	6
0	8	0.00042724	9.43112e-005	0.533998	8
0	8	0.00060793	0.000142667	0.536995	10
0	8	0.000334858	0.000100003	0.539994	12
0	8	0.000397484	8.10043e-005	0.542995	14
0	8	0.000555726	0.000116963	0.548027	16
0	8	0.000325918	8.02427e-005	0.554999	18
0	8	0.000300062	5.87525e-005	0.560993	20
0	8	0.00024791	5.09484e-005	0.566998	22
0	8	0.000214904	5.36509e-005	0.573996	24
0	8	0.000197639	5.06833e-005	0.582995	26
0	8	0.000192467	4.59624e-005	0.592995	28
0	8	0.000268132	4.06088e-005	0.601999	30
0	8	0.000212196	4.15151e-005	0.615044	32
0	8	0.000212476	4.17495e-005	0.628994	34
0	8	0.000271473	4.50626e-005	0.645033	36
0	8	0.000158337	3.62723e-005	0.659028	38
0	8	0.000145331	3.67567e-005	0.675028	40
0	8	0.000119743	3.62219e-005	0.691029	42
0	9	0.000183835	5.39595e-005	0.693023	2
0	9	0.000595859	0.000164722	0.695044	4
0	9	0.000292647	8.86442e-005	0.696996	6
0	9	0.00025665	6.2196e-005	0.70003	8
0	9	0.000384202	9.92617e-005	0.703014	10
