step	level	max error	mean error	time
0	0	0.000679807	5.94793e-005	0.117758
0	1	0.000337734	3.28631e-005	0.22257
0	2	0.000130753	1.77922e-005	0.332723
0	3	0.000106185	1.4083e-005	0.444372
0	4	4.66497e-005	7.75617e-006	0.549806
0	5	4.23018e-005	6.5842e-006	0.656823
0	6	3.36597e-005	5.59573e-006	0.765466
0	7	2.12667e-005	4.24358e-006	0.879207
0	8	2.39057e-005	3.21281e-006	0.99489
0	9	1.43984e-005	2.31431e-006	1.10502
0	10	1.05951e-005	2.01212e-006	1.2149
0	11	9.2037e-006	1.49398e-006	1.32288
0	12	7.13711e-006	1.39762e-006	1.42806
0	13	5.77785e-006	1.23162e-006	1.53581
0	14	6.06873e-006	1.05746e-006	1.64272
0	15	8.20055e-006	9.29134e-007	1.75151
0	16	5.72282e-006	9.69114e-007	1.85784
0	17	4.43559e-006	6.93682e-007	1.96481
0	18	3.09403e-006	5.49931e-007	2.0705
0	19	2.75124e-006	5.57891e-007	2.17956
0	20	3.69293e-006	4.82578e-007	2.2905
0	21	2.40656e-006	4.05992e-007	2.39658
0	22	2.08747e-006	3.8554e-007	2.50246
0	23	2.12536e-006	3.61789e-007	2.60842
0	24	1.87793e-006	3.22852e-007	2.7146
0	25	1.3104e-006	2.74493e-007	2.82183
0	26	1.33955e-006	2.13759e-007	2.92957
0	27	9.81888e-007	1.99968e-007	3.03582
0	28	1.69106e-006	2.31497e-007	3.14375
0	29	1.13734e-006	1.52428e-007	3.24837
0	30	7.49077e-007	1.38732e-007	3.35504
0	31	6.61607e-007	1.04666e-007	3.46281
0	32	6.63666e-007	1.02168e-007	3.56935
0	33	4.80015e-007	9.53616e-008	3.67587
0	34	1.12039e-006	1.02921e-007	3.78257
0	35	4.19524e-007	6.83922e-008	3.89039
0	36	3.25776e-007	6.41131e-008	3.99707
0	37	5.52086e-007	6.10298e-008	4.10439
0	38	2.4484e-007	4.50829e-008	4.21279
0	39	2.2341e-007	4.98948e-008	4.31999
0	40	1.80367e-007	3.33194e-008	4.42484
0	41	2.08658e-007	3.0878e-008	4.53132
0	42	1.34021e-007	2.93224e-008	4.64074
0	43	1.37881e-007	2.65295e-008	4.74791
0	44	1.72325e-007	2.40333e-008	4.8559
0	45	1.18926e-007	1.69783e-008	4.96219
0	46	1.18523e-007	1.64959e-008	5.07002
0	47	7.01825e-008	1.23772e-008	5.17621
0	48	5.71672e-008	1.17324e-008	5.28422
0	49	6.66837e-008	1.14453e-008	5.38879
0	50	6.40114e-008	9.1993e-009	5.49682
0	51	4.48018e-008	8.70172e-009	5.60143
0	52	6.23692e-008	9.93954e-009	5.70482
0	53	4.22286e-008	8.01559e-009	5.81212
0	54	4.46976e-008	7.5175e-009	5.91928
0	55	3.4212e-008	6.47958e-009	6.02282
0	56	2.50938e-008	5.24689e-009	6.12972
0	57	2.16661e-008	4.56109e-009	6.23686
0	58	2.07904e-008	4.33855e-009	6.34509
0	59	1.70726e-008	3.78326e-009	6.45096
0	60	1.75824e-008	3.16302e-009	6.56104
0	61	1.8098e-008	2.79598e-009	6.66964
0	62	1.22507e-008	2.47011e-009	6.77683
0	63	1.12739e-008	2.43907e-009	6.88309
0	64	9.65567e-009	2.0172e-009	6.9898
