step	level	max error	time	nr. of control nodes
0	0	0.020565	192	2
0	0	0.0211813	213	4
0	0	0.00826248	232	6
0	0	0.0105799	255	8
0	0	0.00803368	281	10
0	0	0.00511271	310	12
0	0	0.00583069	339	14
0	0	0.00448082	371	16
0	0	0.00405824	408	18
0	0	0.00377435	442	20
0	0	0.00360361	480	22
0	0	0.00893792	521	24
0	0	0.00205251	566	26
0	0	0.00414836	614	28
0	0	0.00110375	665	30
0	0	0.00107555	714	32
0	0	0.000806826	768	34
1	0	0.000795572	2892	42
2	0	0.000781685	4490	44
3	0	0.000764777	6310	46
4	0	0.00088591	8229	48
5	0	0.00102706	9951	50
5	0	0.000526133	10012	52
6	0	0.000535309	11825	54
7	0	0.000592193	13785	56
8	0	0.000598174	15780	58
9	0	0.000605376	17781	60
10	0	0.000612582	19832	62
11	0	0.000660212	21961	64
12	0	0.000733272	24005	66
13	0	0.00080602	26107	68
14	0	0.000877903	28287	70
15	0	0.000944955	30598	72
16	0	0.00100534	32990	74
16	0	0.000878306	33078	76
17	0	0.00097888	35542	78
18	0	0.00114668	38035	80
18	0	0.000983873	38139	82
19	0	0.00105009	40792	84
19	0	0.000419901	40890	86
