step	level	max error	mean error	time
0	0	0.134708	0.0156416	0.026999	2
0	0	0.058359	0.00570591	0.061034	4
0	0	0.0693814	0.00803904	0.110036	6
0	0	0.0601744	0.0055871	0.170036	8
0	0	0.0499483	0.00494929	0.238037	10
0	0	0.0427898	0.00506317	0.319	12
0	0	0.050016	0.00569807	0.415003	14
0	0	0.0392515	0.00632623	0.522002	16
0	0	0.0349004	0.00590578	0.642018	18
0	0	0.0319637	0.00531367	0.766036	20
0	0	0.0326074	0.00489693	0.901	22
0	0	0.0291526	0.00452054	1.04703	24
0	0	0.0308791	0.003959	1.206	26
0	0	0.0254229	0.00343566	1.37003	28
0	0	0.0247752	0.00280548	1.546	30
0	0	0.02076	0.00223781	1.73104	32
0	0	0.0214223	0.00218794	1.914	34
0	0	0.0161111	0.00180493	2.12403	36
0	0	0.0162365	0.00175528	2.40848	38
0	0	0.0129767	0.00158955	2.69548	40
0	0	0.0115034	0.00139208	2.99548	42
0	0	0.0111565	0.0012853	3.31348	44
0	0	0.0116564	0.00124798	3.63448	46
0	0	0.0102072	0.00112454	3.97448	48
0	0	0.00950871	0.00105168	4.32448	50
0	0	0.00777054	0.00103367	4.65748	52
0	0	0.00762102	0.000948805	5.03348	54
0	0	0.0117037	0.000969387	5.42248	56
0	0	0.00773702	0.000858408	5.81848	58
0	0	0.00742589	0.000836406	6.23148	60
0	0	0.00777987	0.000831237	6.65554	62
0	0	0.00730524	0.000751758	7.1035	64
0	0	0.00567057	0.000684734	7.50248	66
0	0	0.00570797	0.000693756	7.87952	68
0	0	0.00550053	0.000639729	8.27952	70
0	0	0.00474203	0.000636003	8.70351	72
0	0	0.00444736	0.00057656	9.13248	74
0	0	0.00431667	0.00056333	9.67248	76
0	0	0.00501731	0.000548643	10.1955	78
0	0	0.00435245	0.000529007	10.6895	80
0	0	0.00411364	0.000499849	11.1745	82
0	0	0.00409885	0.000495368	11.7315	84
0	0	0.00473008	0.000495838	12.2795	86
0	0	0.00378447	0.000485973	12.7965	88
0	0	0.00367838	0.000448371	13.3315	90
0	0	0.00464655	0.000444069	13.8715	92
0	0	0.00476284	0.000425802	14.4215	94
0	0	0.00481081	0.000400195	14.9675	96
