step	level	max error	mean error	time
0	0	0.0792741	0.0121045	0.155	8
0	1	0.0588257	0.00526715	0.798997	20
0	2	0.0362171	0.00404554	2.116	28
0	3	0.0240905	0.00310448	2.54603	16
0	4	0.0147855	0.00229596	3.74603	28
0	5	0.0112064	0.00150922	4.94001	28
0	6	0.00832984	0.00112151	6.80901	36
0	7	0.00586343	0.000830023	10.023	48
0	8	0.00406081	0.000570989	12.74	44
0	9	0.00314011	0.000469086	15.996	48
0	10	0.00250165	0.000304004	23.0791	68
0	11	0.0018756	0.00027113	28.5853	60
0	12	0.00138329	0.000164975	41.2704	92
0	13	0.00105452	0.000150668	51.2763	84
0	14	0.000841717	0.000115862	62.8184	92
0	15	0.000651838	9.78949e-005	75.5333	96
0	16	0.00049666	7.58817e-005	87.2153	92
0	17	0.000380786	4.98116e-005	125.683	164
0	18	0.000297423	4.38698e-005	157.824	152
