step	level	max error	mean error	time
0	0	0.423572	0.104009	0.022996	2
0	0	0.0581724	0.00905707	0.055996	4
0	0	0.315196	0.0761632	0.099996	6
0	0	0.0792741	0.0121045	0.153996	8
0	0	0.0848921	0.0135423	0.218995	10
0	0	0.0724766	0.0111263	0.287996	12
0	0	0.0770044	0.0107506	0.368996	14
0	0	0.0762843	0.010565	0.459013	16
0	0	0.0667102	0.00862451	0.562035	18
0	0	0.101135	0.00869126	0.676993	20
0	0	0.0381032	0.00583506	0.796993	22
0	0	0.0789077	0.00897051	0.925997	24
0	0	0.0602934	0.00579806	1.06599	26
0	0	0.0399161	0.00533133	1.21699	28
0	0	0.0355251	0.00459393	1.37599	30
0	0	0.0301483	0.00418431	1.55203	32
0	0	0.0270582	0.00325493	1.73703	34
0	0	0.0346538	0.00434446	1.93504	36
0	0	0.0346294	0.00398669	2.14403	38
0	0	0.0284384	0.00345039	2.36403	40
0	0	0.0356403	0.00292922	2.58899	42
0	0	0.0245618	0.00258676	2.82604	44
0	0	0.0212003	0.00236357	3.07605	46
0	0	0.0185525	0.00200838	3.34304	48
0	0	0.0129473	0.00168651	3.61803	50
0	0	0.0164082	0.00166149	3.90304	52
0	0	0.0126991	0.0014751	4.19904	54
0	0	0.0158531	0.00139669	4.50199	56
0	0	0.0114389	0.00126654	4.81403	58
0	0	0.0101162	0.00113418	5.13703	60
0	0	0.00982492	0.00110211	5.47299	62
0	0	0.00869442	0.000927525	5.80799	64
0	0	0.00722173	0.000869372	6.14999	66
0	0	0.00672819	0.000817168	6.50299	68
0	0	0.00598659	0.000798162	6.88203	70
0	0	0.00581772	0.000767266	7.26703	72
0	0	0.00568525	0.000778824	7.66804	74
0	0	0.00544002	0.000739332	8.07904	76
0	0	0.00535503	0.000707476	8.50199	78
0	0	0.00503038	0.000692461	8.93204	80
0	0	0.00560975	0.000663056	9.37803	82
0	0	0.00485587	0.000621389	9.824	84
0	0	0.00451813	0.000589113	10.29	86
0	0	0.00414211	0.000540183	10.76	88
0	0	0.00401912	0.000518788	11.234	90
0	0	0.00458014	0.000537866	11.718	92
0	0	0.00385623	0.000491912	12.22	94
0	0	0.0039454	0.000461906	12.742	96
0	0	0.00335248	0.000433045	13.259	98
0	0	0.0033175	0.000411505	13.808	100
0	0	0.00330889	0.00039338	14.374	102
0	0	0.00303217	0.000388066	14.945	104
0	0	0.00423064	0.000376892	15.528	106
0	0	0.00279745	0.000365143	16.113	108
0	0	0.00264928	0.000348288	16.714	110
0	0	0.00263157	0.000335595	17.336	112
0	0	0.00252891	0.000329898	17.973	114
0	0	0.00236359	0.000312455	18.622	116
0	0	0.00243827	0.000297427	19.258	118
0	0	0.00234314	0.000282793	19.905	120
0	0	0.00234954	0.000277238	20.637	122
0	0	0.00223017	0.000271988	21.393	124
0	0	0.00229599	0.000267874	22.128	126
0	0	0.00217114	0.000263094	22.835	128
0	0	0.00201379	0.000255273	23.541	130
0	0	0.00208016	0.000242922	24.257	132
0	0	0.00190177	0.000229012	24.988	134
0	0	0.00215677	0.000222181	25.749	136
0	0	0.0018845	0.000209402	26.535	138
0	0	0.00177848	0.000200711	27.329	140
0	0	0.00175318	0.000194833	28.138	142
0	0	0.00192633	0.000189713	28.962	144
0	0	0.00155506	0.000178793	29.77	146
0	0	0.0014524	0.000173819	30.589	148
0	0	0.00148717	0.000168928	31.482	150
0	0	0.00134911	0.000160176	32.445	152
0	0	0.00134902	0.000155211	33.449	154
0	0	0.00132324	0.000153435	34.4321	156
0	0	0.00127119	0.000143643	35.501	158
0	0	0.00121222	0.000141658	36.4841	160
0	0	0.00117686	0.000136276	37.496	162
0	0	0.00117749	0.000130014	38.485	164
0	0	0.00110892	0.000122974	39.4701	166
0	0	0.00106651	0.000120314	40.459	168
0	0	0.00105243	0.000117875	41.458	170
0	0	0.00103406	0.000115653	42.474	172
0	0	0.00102012	0.000115803	43.519	174
0	0	0.00101362	0.000111228	44.526	176
0	0	0.000972918	0.000106964	45.587	178
