step	level	max error	mean error	time
0	0	0.423572	0.104009	0.025032	2
0	0	0.0581724	0.00905707	0.057032	4
0	1	0.1867	0.0402554	0.078032	2
0	1	0.0837151	0.0129766	0.105038	4
0	1	0.228004	0.0497647	0.144038	6
0	1	0.109311	0.0168438	0.193037	8
0	1	0.106209	0.0169045	0.251039	10
0	1	0.0941049	0.0151057	0.323996	12
0	1	0.0806477	0.0115223	0.406037	14
0	1	0.0813477	0.00884771	0.498037	16
0	1	0.0812796	0.00877176	0.595037	18
0	1	0.0873183	0.00837651	0.703998	20
0	1	0.0518416	0.00549549	0.818998	22
0	1	0.041159	0.00676213	0.942999	24
0	1	0.0402622	0.00596677	1.089	26
0	1	0.040446	0.00572843	1.264	28
0	1	0.0358252	0.00456959	1.42604	30
0	1	0.0333633	0.00387104	1.609	32
0	1	0.0360713	0.00355925	1.79704	34
0	1	0.040637	0.0039077	1.99104	36
0	1	0.0324449	0.00312265	2.21901	38
0	1	0.0304136	0.00319261	2.43104	40
0	1	0.0285706	0.00260551	2.67203	42
0	2	0.0328235	0.00574304	2.69104	2
0	2	0.0352748	0.00431327	2.71904	4
0	2	0.0564157	0.00877439	2.75804	6
0	2	0.0363033	0.00482668	2.80704	8
0	2	0.0261198	0.00314633	2.86504	10
0	2	0.026667	0.0031587	2.93304	12
0	2	0.0301168	0.0035828	3.01104	14
0	2	0.01779	0.0024701	3.10303	16
0	2	0.0283373	0.00257461	3.22303	18
0	2	0.0274678	0.00254593	3.33304	20
0	2	0.0219809	0.00208246	3.454	22
0	2	0.0302285	0.00284052	3.58601	24
0	2	0.0255727	0.00213081	3.74204	26
0	2	0.02377	0.00170314	3.89104	28
0	2	0.020614	0.00204097	4.05004	30
0	2	0.0192931	0.00150305	4.24404	32
0	2	0.0184583	0.00172825	4.42604	34
0	2	0.0126019	0.00143809	4.628	36
0	3	0.0190593	0.00306668	4.65001	2
0	3	0.0222975	0.00441773	4.68003	4
0	3	0.0274648	0.00381881	4.71906	6
0	3	0.0208707	0.00379687	4.76604	8
0	3	0.0160758	0.0021333	4.82504	10
0	3	0.0158774	0.00230745	4.89204	12
0	3	0.0351911	0.00451628	4.96904	14
0	3	0.0237361	0.00261575	5.05804	16
0	3	0.0217464	0.0022506	5.178	18
0	3	0.0278838	0.00285763	5.29303	20
0	3	0.0228428	0.00218591	5.41104	22
0	3	0.0156095	0.00206559	5.54104	24
0	3	0.0157806	0.00184083	5.69903	26
0	3	0.014036	0.00166848	5.85204	28
0	3	0.0125852	0.00148361	6.013	30
0	3	0.0107753	0.00130822	6.20503	32
0	3	0.013275	0.00130578	6.388	34
0	3	0.00888396	0.00118172	6.58104	36
0	3	0.00933884	0.00112444	6.804	38
0	3	0.00738664	0.00104423	7.01704	40
0	3	0.00801249	0.00101901	7.262	42
0	3	0.00893492	0.00095276	7.49	44
0	3	0.00682193	0.000867406	7.751	46
0	3	0.00915857	0.000865763	7.999	48
0	3	0.00758433	0.000843842	8.28104	50
0	3	0.00894193	0.000997765	8.56004	52
0	3	0.00694114	0.000904782	8.867	54
0	3	0.00680364	0.000877877	9.16503	56
0	3	0.00651165	0.000796699	9.483	58
0	3	0.00589277	0.000716807	9.817	60
0	4	0.00852474	0.0013603	9.835	2
0	4	0.0130824	0.00166438	9.862	4
0	4	0.0120356	0.00199365	9.901	6
0	4	0.00853161	0.00151369	9.946	8
0	4	0.00769034	0.00128813	10.004	10
0	4	0.00932343	0.00132022	10.072	12
0	4	0.00778679	0.00117468	10.153	14
0	4	0.00995442	0.00132445	10.259	16
0	4	0.00765708	0.00101343	10.362	18
0	4	0.00597259	0.000867707	10.479	20
0	4	0.00686857	0.000965053	10.601	22
0	4	0.00695433	0.000896164	10.743	24
0	4	0.00696184	0.0007835	10.892	26
0	4	0.00944334	0.000813357	11.039	28
0	4	0.0114243	0.00120406	11.206	30
0	4	0.00621942	0.000778731	11.39	32
0	4	0.011617	0.000913778	11.569	34
0	4	0.00565588	0.000771869	11.773	36
0	4	0.0062081	0.000683294	11.983	38
0	4	0.00489001	0.000612329	12.197	40
0	4	0.00509729	0.00059977	12.444	42
0	4	0.0048904	0.000547674	12.677	44
0	4	0.0043272	0.000565131	12.945	46
0	4	0.0043544	0.000534555	13.201	48
0	4	0.00423414	0.000496884	13.484	50
