step	level	max error	time	nr. of control nodes
0	0	0.0145917	181	2
0	0	0.0146002	267	4
0	0	0.0144823	360	6
0	0	0.0144201	450	8
0	0	0.0143802	543	10
0	0	0.014344	640	12
0	0	0.0145705	743	14
0	0	0.0144804	842	16
0	0	0.0144746	945	18
0	0	0.0143701	1053	20
0	0	0.0143766	1165	22
0	0	0.014316	1280	24
0	0	0.0142891	1398	26
0	0	0.0142876	1523	28
0	0	0.0142854	1658	30
0	0	0.0142149	1810	32
0	0	0.0141983	1972	34
0	0	0.0141933	2131	36
0	0	0.014197	2301	38
0	0	0.0141117	2482	40
0	0	0.0140959	2670	42
0	0	0.0141136	2878	44
0	0	0.0100921	3109	46
0	0	0.00852578	3326	48
0	0	0.00828537	3561	50
0	0	0.00512535	3844	52
0	0	0.00384416	4129	54
0	0	0.0022646	4406	56
0	0	0.00201919	4695	58
0	0	0.00136478	5004	60
0	0	0.00132378	5322	62
0	0	0.00108578	5669	64
0	0	0.00104917	6059	66
0	0	0.000648597	6576	68
1	0	0.000580029	8855	68
2	0	0.000523505	11066	68
3	0	0.000673485	13380	68
4	0	0.00083506	15946	68
5	0	0.0010014	18066	68
5	0	0.000816895	18442	70
6	0	0.00096434	20607	70
7	0	0.00115139	22759	70
7	0	0.000998064	23248	72
8	0	0.00111557	25824	72
8	0	0.00178345	26214	74
8	0	0.00126653	26692	76
8	0	0.000951995	27142	78
9	0	0.00107964	29756	78
9	0	0.000547518	30210	80
10	0	0.00058603	32729	80
11	0	0.000635833	35263	80
12	0	0.000705442	37808	80
13	0	0.000780043	40346	80
14	0	0.000902893	42927	80
15	0	0.00106629	45780	80
15	0	0.00104008	46322	82
15	0	0.00077109	46918	84
16	0	0.000889897	49540	84
17	0	0.00103243	52430	84
17	0	0.000936925	53022	86
18	0	0.00106337	55837	86
18	0	0.00149205	56415	88
18	0	0.000860145	57003	90
19	0	0.00103195	59796	90
19	0	0.000876873	60401	92
