step	level	max error	mean error	time
0	0	0.423572	0.104009	0.022027	2
0	0	0.475009	0.0627225	0.050044	3
0	0	0.0581724	0.00905707	0.082034	4
0	0	0.315072	0.0759658	0.120028	5
0	0	0.256951	0.0365075	0.162993	6
0	0	0.0731204	0.0105429	0.208031	7
0	0	0.0769646	0.011999	0.261032	8
0	0	0.066024	0.00992638	0.317037	9
0	0	0.0615162	0.00759907	0.379027	10
0	0	0.0585677	0.0070428	0.447035	11
0	0	0.054136	0.00684329	0.519032	12
0	0	0.0826289	0.0106076	0.594033	13
0	0	0.0843025	0.0109106	0.676032	14
0	0	0.0694532	0.0100728	0.762032	15
0	0	0.0880797	0.0102299	0.857997	16
0	0	0.0625333	0.00782893	0.956993	17
0	0	0.0587233	0.00719515	1.07199	18
0	0	0.0583337	0.0069055	1.18299	19
0	0	0.0506873	0.00692945	1.29603	20
0	0	0.051619	0.00641722	1.41403	21
0	0	0.0554447	0.0062081	1.53799	22
0	0	0.0398191	0.00520257	1.67903	23
0	0	0.0329072	0.00467531	1.81499	24
0	0	0.0320976	0.00463487	1.96199	25
0	0	0.0635346	0.00707812	2.12099	26
0	0	0.0482454	0.006247	2.27603	27
0	0	0.0436188	0.00579544	2.43403	28
0	0	0.0391881	0.00546216	2.60703	29
0	0	0.0383693	0.00506622	2.791	30
0	0	0.0370139	0.00463874	2.98404	31
0	0	0.0307652	0.00428523	3.17203	32
0	0	0.0305245	0.00401968	3.37703	33
0	0	0.0279364	0.00367058	3.56499	34
0	0	0.0247933	0.00321568	3.80699	35
0	0	0.0236959	0.00284775	4.04799	36
0	0	0.0242327	0.00250003	4.29004	37
0	0	0.0263366	0.00322159	4.49899	38
0	0	0.0252857	0.00301163	4.71702	39
0	0	0.0214	0.00276391	4.93603	40
0	0	0.0210962	0.00256982	5.15803	41
0	0	0.019417	0.00238814	5.43099	42
0	0	0.0182715	0.00212581	5.70303	43
0	0	0.0172183	0.0020105	5.94305	44
0	0	0.0168907	0.00187768	6.24499	45
0	0	0.0206264	0.00180807	6.50103	46
0	0	0.0135283	0.00161179	6.79701	47
0	0	0.0138746	0.00152403	7.04999	48
0	0	0.0132307	0.00148164	7.32703	49
0	0	0.014328	0.00140298	7.58699	50
0	0	0.0111674	0.00130953	7.87503	51
0	0	0.0118636	0.00135977	8.18703	52
0	0	0.0118093	0.00133161	8.48403	53
0	0	0.0103087	0.00124986	8.81003	54
0	0	0.00976361	0.00117563	9.11403	55
0	0	0.00874732	0.00115873	9.42803	56
0	0	0.00866503	0.00109053	9.74203	57
0	0	0.0103777	0.001092	10.055	58
0	0	0.00814185	0.0010229	10.411	59
0	0	0.0082256	0.00102066	10.773	60
0	0	0.00794757	0.000950839	11.101	61
0	0	0.00792117	0.000913094	11.471	62
0	0	0.00712212	0.000881516	11.8647	63
0	0	0.00707976	0.000847789	12.2467	64
0	0	0.00681417	0.000815247	12.5967	65
0	0	0.00634543	0.000784955	12.9657	66
0	0	0.00782245	0.000791789	13.3377	67
0	0	0.00628611	0.000756902	13.7037	68
0	0	0.00596057	0.000759424	14.0867	69
0	0	0.0057662	0.000718669	14.4717	70
0	0	0.0054362	0.000724523	14.8527	71
0	0	0.00535587	0.000709952	15.2297	72
0	0	0.00572594	0.000692685	15.6317	73
0	0	0.00525341	0.000673917	16.0447	74
