step	level	max error	mean error	time
0	0	5.48875	2.54062	0.010004	2
0	0	0.530692	0.137897	0.024858	4
0	0	0.693445	0.212893	0.043578	6
0	0	0.598934	0.124859	0.065893	8
0	0	0.60074	0.0868738	0.093332	10
0	0	0.070213	0.0191341	0.122816	12
0	0	0.0947807	0.0150747	0.158923	14
0	0	0.0565804	0.00632705	0.197019	16
0	0	0.388708	0.0447483	0.237924	18
0	0	0.0382521	0.00947355	0.284118	20
0	0	0.0368182	0.00782821	0.330636	22
0	0	0.0327693	0.00655619	0.381823	24
0	0	0.0283763	0.00584209	0.436786	26
0	0	0.0281418	0.00468894	0.491879	28
0	0	0.0207291	0.00317875	0.544957	30
0	0	0.0191571	0.00221064	0.603115	32
0	0	0.0168521	0.00133177	0.668946	34
0	0	0.00643083	0.000898561	0.738254	36
