step	level	max error	mean error	time
0	0	0.546049	0.102404	0.004994	2
0	0	0.784092	0.124459	0.010995	4
0	0	0.274957	0.0466542	0.020046	6
0	0	0.208538	0.027295	0.030026	8
0	0	0.494369	0.0956109	0.042992	10
0	0	0.207451	0.022921	0.057028	12
0	0	0.0862344	0.0128093	0.075026	14
0	0	0.148303	0.0187565	0.092992	16
0	0	0.113579	0.0134752	0.114025	18
0	0	0.0955365	0.0124895	0.138027	20
0	0	0.0533834	0.00969684	0.16103	22
0	0	0.0609016	0.00940532	0.187031	24
0	0	0.0475662	0.00797109	0.215025	26
0	0	0.0424776	0.00661153	0.246028	28
0	0	0.0440066	0.00618352	0.278022	30
0	0	0.0422231	0.00565471	0.314024	32
0	0	0.0430256	0.00507643	0.351993	34
0	0	0.0410437	0.00382218	0.392028	36
0	0	0.0293729	0.00385398	0.436993	38
0	0	0.0210615	0.00314514	0.483027	40
0	0	0.0276839	0.00295196	0.532038	42
0	0	0.0260402	0.00303196	0.590988	44
0	0	0.0210049	0.00274113	0.650995	46
0	0	0.0177883	0.00243495	0.712033	48
0	0	0.0161118	0.00234192	0.77902	50
0	0	0.0159566	0.00225934	0.846025	52
0	0	0.0202011	0.00214289	0.919991	54
0	0	0.0164117	0.00186191	0.995023	56
0	0	0.0136799	0.00161146	1.07399	58
0	0	0.011927	0.00141046	1.15902	60
0	0	0.0112608	0.00128392	1.25001	62
0	0	0.0105961	0.00109154	1.34702	64
0	0	0.00976543	0.0011493	1.44599	66
