step	level	max error	mean error	time
0	0	0.00474247	0.00118704	0.013017	4
0	1	0.00240629	0.000540028	0.050982	12
0	2	0.00188186	0.000467215	0.087979	12
0	3	0.00171453	0.000351781	0.10598	8
0	4	0.00100639	0.000233389	0.162981	16
0	5	0.000754185	0.000177197	0.230005	16
0	6	0.000584473	0.000134361	0.288982	16
0	7	0.000525336	0.000107644	0.355007	16
0	8	0.000515953	0.00011042	0.458981	20
0	9	0.000353254	6.69673e-005	0.597979	24
0	10	0.000334618	7.15025e-005	0.686018	20
0	11	0.000216762	4.71276e-005	0.769013	20
0	12	0.000157406	3.0182e-005	0.970984	32
0	13	0.00013558	2.55409e-005	1.09798	24
0	14	0.000130777	2.0849e-005	1.28198	28
0	15	0.000117325	2.86173e-005	1.31801	12
0	16	0.000111008	2.68419e-005	1.35498	12
0	17	0.000107414	2.64752e-005	1.39098	12
0	18	8.4715e-005	2.02823e-005	1.47802	20
0	19	6.89871e-005	1.56064e-005	1.66698	28
0	20	6.06075e-005	1.42742e-005	1.79098	24
0	21	5.47138e-005	1.36017e-005	1.91098	24
0	22	4.92307e-005	9.78183e-006	2.19098	36
0	23	4.28414e-005	1.01685e-005	2.35498	28
0	24	3.89168e-005	7.46996e-006	2.56498	32
0	25	3.68268e-005	8.58537e-006	2.78401	32
0	26	3.61922e-005	6.66745e-006	3.03098	36
0	27	3.46395e-005	8.12617e-006	3.20698	28
0	28	2.78581e-005	5.66942e-006	3.45603	36
0	29	2.26784e-005	4.4239e-006	3.78801	40
0	30	2.21341e-005	4.05306e-006	4.17898	44
0	31	1.77486e-005	3.25041e-006	4.54399	44
0	32	1.65935e-005	3.90103e-006	4.93102	44
0	33	1.65253e-005	3.60211e-006	5.26298	40
0	34	1.64577e-005	3.80579e-006	5.41899	28
0	35	1.37813e-005	3.20506e-006	5.74498	40
0	36	1.3307e-005	2.94531e-006	5.99198	36
0	37	1.2119e-005	2.34875e-006	6.48102	48
0	38	1.13032e-005	2.51681e-006	6.88298	44
0	39	9.0143e-006	1.8016e-006	7.60198	60
0	40	6.89283e-006	1.46379e-006	8.299	60
0	41	6.29053e-006	1.29283e-006	8.97198	60
0	42	5.56689e-006	8.83008e-007	10.546	88
0	43	4.88244e-006	9.50073e-007	11.428	68
0	44	4.78039e-006	8.15458e-007	12.341	68
0	45	4.53101e-006	9.05436e-007	12.935	56
0	46	3.46627e-006	6.74427e-007	13.48	52
0	47	3.34037e-006	7.39006e-007	14.1	56
0	48	3.01002e-006	6.0612e-007	15.067	68
0	49	2.78078e-006	5.30092e-007	15.809	60
0	50	2.5257e-006	5.37525e-007	16.4341	56
0	51	2.39438e-006	5.17687e-007	17.3672	64
0	52	2.25932e-006	4.05643e-007	18.8241	84
0	53	2.05057e-006	4.03536e-007	20.1421	80
0	54	1.96535e-006	3.7691e-007	20.8617	60
0	55	1.77453e-006	3.65099e-007	22.0564	76
0	56	1.73995e-006	3.31235e-007	23.1366	72
0	57	1.64817e-006	3.50527e-007	23.6936	52
0	58	1.63087e-006	3.04197e-007	24.5366	64
0	59	1.47215e-006	3.17494e-007	25.2987	60
0	60	1.37411e-006	2.40328e-007	26.0917	64
0	61	1.22857e-006	2.92052e-007	26.7317	56
0	62	1.20963e-006	2.48628e-007	27.6917	68
0	63	1.17278e-006	2.41712e-007	28.4037	60
0	64	1.09737e-006	2.05871e-007	29.2117	64
0	65	1.04216e-006	2.21397e-007	30.0037	64
0	66	1.03931e-006	2.0113e-007	30.8607	64
0	67	9.9118e-007	2.01109e-007	31.6117	60
0	68	9.03644e-007	2.11055e-007	32.2527	56
0	69	8.98113e-007	1.92424e-007	33.0377	64
0	70	8.23318e-007	1.79644e-007	33.8157	64
0	71	7.63001e-007	1.70335e-007	34.5217	60
0	72	6.81798e-007	1.53828e-007	35.6477	76
0	73	5.84839e-007	1.33323e-007	37.0217	84
0	74	5.82934e-007	1.17e-007	39.6217	112
0	75	5.13331e-007	1.09482e-007	41.6417	100
0	76	4.95009e-007	9.94824e-008	43.4977	96
0	77	4.83776e-007	9.98756e-008	44.8997	84
0	78	4.6256e-007	1.10857e-007	46.0297	76
0	79	4.48126e-007	9.34514e-008	47.0177	72
0	80	4.21884e-007	8.99242e-008	47.9177	68
0	81	3.80425e-007	8.36192e-008	49.0277	76
0	82	3.19248e-007	6.96722e-008	50.5817	88
0	83	3.11078e-007	6.18661e-008	52.6167	100
0	84	3.0326e-007	6.14056e-008	54.3047	92
0	85	2.99373e-007	5.94473e-008	56.1567	96
0	86	2.97192e-007	6.13062e-008	57.5397	84
0	87	2.91174e-007	5.37625e-008	59.0727	88
0	88	2.66768e-007	6.34448e-008	60.0487	72
0	89	2.54464e-007	5.39167e-008	61.1717	76
0	90	2.43293e-007	5.84962e-008	62.1447	72
0	91	2.24041e-007	5.03193e-008	63.4107	80
0	92	2.04895e-007	4.77395e-008	64.8743	84
0	93	2.04349e-007	4.39551e-008	66.5873	88
0	94	2.01887e-007	4.35867e-008	67.8513	80
0	95	2.00542e-007	4.58411e-008	69.0043	76
0	96	1.95908e-007	3.66831e-008	71.2753	104
