step	level	max error	mean error	time
0	0	0.00474247	0.00118704	0.013033	4
0	1	0.00147458	0.000257357	0.072029	16
0	2	0.000920703	0.000174009	0.133019	16
0	3	0.000639127	0.00012334	0.194996	16
0	4	0.0002662	5.0199e-005	0.414998	32
0	5	0.000202181	3.22175e-005	0.627996	32
0	6	0.000153819	2.92449e-005	0.839087	32
0	7	9.72609e-005	1.96979e-005	1.046	32
0	8	3.84163e-005	4.76728e-006	1.98203	64
0	9	2.99684e-005	3.71077e-006	2.835	64
0	10	1.4591e-005	2.56529e-006	3.69804	64
0	11	1.14637e-005	2.45675e-006	4.476	64
0	12	5.26339e-006	6.06228e-007	8.055	128
0	13	2.50095e-006	4.26792e-007	11.744	128
0	14	1.71797e-006	3.1535e-007	15.3706	128
0	15	1.28392e-006	2.22134e-007	19.1026	128
0	16	9.9106e-007	1.51493e-007	22.6255	128
0	17	2.4976e-007	3.40921e-008	42.9155	256
0	18	1.2134e-007	1.75062e-008	63.4476	256
0	19	7.10166e-008	1.09396e-008	84.0346	256
