step	level	max error	mean error	time
0	0	0.0015768	0.000316872	0.080997	16
0	1	0.000704019	0.000146395	0.136036	16
0	2	0.000389231	7.08775e-005	0.286035	28
0	3	0.000290688	4.98788e-005	0.436036	28
0	4	0.000160222	3.17362e-005	0.635996	32
0	5	0.000120316	2.92288e-005	0.716996	20
0	6	5.75465e-005	9.31104e-006	1.21804	52
0	7	3.70311e-005	7.33887e-006	1.51403	40
0	8	2.83663e-005	5.0202e-006	2.10004	56
0	9	2.1897e-005	4.34525e-006	2.66557	52
0	10	1.6707e-005	2.64751e-006	3.34857	60
0	11	1.30628e-005	2.26985e-006	4.12761	64
0	12	9.92123e-006	1.72494e-006	5.24357	76
0	13	7.92115e-006	1.48371e-006	6.13261	68
0	14	5.13704e-006	1.03835e-006	7.38457	80
0	15	3.95811e-006	7.0199e-007	9.41257	100
0	16	2.84772e-006	5.5499e-007	11.8216	104
0	17	2.2729e-006	3.79129e-007	14.4896	112
0	18	1.72908e-006	3.78598e-007	16.4916	96
0	19	1.34191e-006	2.43162e-007	19.2636	112
0	20	1.02494e-006	1.80359e-007	22.9506	128
0	21	7.21485e-007	1.23045e-007	27.7656	144
0	22	5.65589e-007	1.06227e-007	32.0356	136
0	23	4.12519e-007	7.43901e-008	38.3536	160
0	24	3.22456e-007	6.50056e-008	42.7956	140
0	25	2.51941e-007	4.62734e-008	49.1933	160
0	26	1.98754e-007	3.98349e-008	55.0712	152
0	27	1.52372e-007	2.87761e-008	63.2797	176
0	28	1.1209e-007	1.90573e-008	74.9057	204
