step	level	max error	mean error	time
0	0	0.00474247	0.00118704	0.014032	4
0	1	0.0049972	0.00103797	0.020996	4
0	2	0.00381514	0.000739268	0.027033	4
0	3	0.011675	0.00210158	0.034994	4
0	4	0.00407622	0.000818788	0.042995	4
0	5	0.00344047	0.000862317	0.049994	4
0	6	0.00798841	0.00159305	0.057001	4
0	7	0.00430643	0.000871663	0.063997	4
0	8	0.0036839	0.000760908	0.069998	4
0	9	0.00849548	0.00166469	0.076998	4
0	10	0.00299597	0.00067133	0.084	4
0	11	0.00309648	0.000900687	0.091019	4
0	12	0.00558488	0.00106753	0.096998	4
0	13	0.0037998	0.000893339	0.10401	4
0	14	0.00260902	0.000682751	0.110017	4
0	15	0.00311458	0.000623936	0.12403	4
0	16	0.00245539	0.000636434	0.131994	4
0	17	0.00295106	0.000747491	0.138996	4
0	18	0.00876014	0.00147406	0.145995	4
0	19	0.00387195	0.000843566	0.152997	4
0	20	0.00505031	0.000860597	0.158994	4
0	21	0.0039604	0.000888437	0.165995	4
0	22	0.00260578	0.000701056	0.172995	4
0	23	0.00456147	0.000850937	0.178994	4
0	24	0.00261999	0.000624267	0.186007	4
0	25	0.00398508	0.00108804	0.193995	4
0	26	0.0045842	0.00091536	0.201997	4
0	27	0.00283002	0.00075658	0.211013	4
0	28	0.00289234	0.000895518	0.218031	4
0	29	0.00211924	0.000555732	0.223995	4
0	30	0.00251349	0.000700232	0.232027	4
0	31	0.00691959	0.00110057	0.238995	4
0	32	0.00135964	0.000389657	0.246033	4
0	33	0.00582343	0.000832726	0.25501	4
0	34	0.00282552	0.00070495	0.261025	4
0	35	0.00257558	0.000724775	0.269	4
0	36	0.00412643	0.000939282	0.27601	4
0	37	0.00209327	0.000515673	0.283995	4
0	38	0.0021265	0.000504941	0.291032	4
0	39	0.00234402	0.000449233	0.297028	4
0	40	0.00278355	0.000683258	0.303994	4
0	41	0.00189053	0.000584161	0.312029	4
0	42	0.00148	0.000394691	0.32001	4
0	43	0.00438452	0.00101424	0.328996	4
0	44	0.00227854	0.000499855	0.336997	4
0	45	0.00642381	0.00120421	0.345027	4
0	46	0.0024191	0.000627977	0.351996	4
0	47	0.00257015	0.000417716	0.360029	4
0	48	0.00161004	0.00042172	0.366995	4
0	49	0.00145299	0.000404346	0.372993	4
0	50	0.00175488	0.000534169	0.379998	4
0	51	0.00247374	0.000611327	0.388994	4
0	52	0.00143491	0.000351517	0.395994	4
0	53	0.00288898	0.000556523	0.402995	4
0	54	0.00178441	0.000419937	0.408994	4
0	55	0.0022866	0.000654508	0.414993	4
0	56	0.00213529	0.000604938	0.421995	4
0	57	0.00136688	0.000406807	0.429998	4
0	58	0.00289662	0.000617234	0.438996	4
0	59	0.00197218	0.000415629	0.444995	4
0	60	0.00143389	0.000328142	0.451996	4
0	61	0.00157229	0.000358663	0.458994	4
0	62	0.00568827	0.00115526	0.464996	4
0	63	0.00145078	0.000337056	0.472993	4
0	64	0.00468817	0.000988126	0.479992	4
0	65	0.00123828	0.000328337	0.485999	4
0	66	0.00332807	0.000645856	0.492994	4
0	67	0.000927921	0.000236586	0.500995	4
0	68	0.00405553	0.000772991	0.507994	4
0	69	0.00189551	0.000477026	0.514994	4
0	70	0.00145637	0.000399954	0.520995	4
0	71	0.00116602	0.000300431	0.526995	4
0	72	0.00190423	0.000446096	0.533994	4
0	73	0.00123388	0.000258567	0.541995	4
0	74	0.00182941	0.000453862	0.547994	4
0	75	0.00104717	0.000270119	0.555994	4
0	76	0.00282227	0.0006174	0.562994	4
0	77	0.00125057	0.000315355	0.569995	4
0	78	0.00436412	0.000745259	0.576996	4
0	79	0.00141786	0.000303591	0.583994	4
0	80	0.00276658	0.000545665	0.590993	4
0	81	0.00129088	0.000407654	0.597996	4
0	82	0.0045617	0.000817031	0.604998	4
0	83	0.00147314	0.000398589	0.611996	4
0	84	0.00119292	0.000238374	0.618997	4
0	85	0.00141853	0.000328495	0.625008	4
0	86	0.00207409	0.000484323	0.630998	4
0	87	0.000917934	0.000221048	0.637995	4
0	88	0.000992289	0.000298919	0.643993	4
