step	level	max error	mean error	time
0	0	0.357366	0.0510572	5.22903	4
0	1	0.126115	0.0113179	5.45204	4
0	2	0.0665559	0.00840719	5.67603	4
0	3	0.0465797	0.00462982	6.32805	8
0	4	0.0371418	0.00470476	6.99303	8
0	5	0.0288235	0.00498555	7.64303	8
0	6	0.0255516	0.0035043	8.30903	8
0	7	0.0251354	0.00413411	8.528	4
0	8	0.0213945	0.00343658	8.75103	4
0	9	0.0196474	0.00274354	8.97603	4
0	10	0.0147329	0.00182692	11.151	16
0	11	0.00840286	0.00132734	13.2571	16
0	12	0.00723237	0.000769214	22.1291	32
0	13	0.00656019	0.00100627	22.8651	8
0	14	0.00574515	0.0012174	23.6461	8
0	15	0.00545236	0.000621213	25.982	16
0	16	0.00446255	0.000507704	33.3911	32
0	17	0.00422151	0.000454302	40.8461	32
0	18	0.0029778	0.00038299	48.4084	32
0	19	0.0028745	0.00035871	56.0172	32
0	20	0.00255969	0.000338701	63.8343	32
0	21	0.00254633	0.00027483	72.0304	32
0	22	0.00197752	0.000225834	80.2003	32
0	23	0.00176639	0.000307517	88.2803	32
0	24	0.0017258	0.000235857	96.5353	32
0	25	0.00171835	0.00023198	104.284	32
0	26	0.00147511	0.000203411	111.731	32
0	27	0.00141128	0.000167205	139.797	64
0	28	0.00101103	0.00013882	167.784	64
0	29	0.00093922	0.000109819	201.935	64
