step	level	max error	mean error	time
0	0	0.0478103	0.00552474	10.642	8
0	1	0.0285875	0.00407277	11.29	8
0	2	0.0264684	0.0050234	11.941	8
0	3	0.0259494	0.00316178	12.593	8
0	4	0.0252258	0.00504713	13.24	8
0	5	0.0155831	0.00217974	13.926	8
0	6	0.0148805	0.00233638	14.581	8
0	7	0.0134475	0.00245171	15.238	8
0	8	0.0116797	0.00136618	15.898	8
0	9	0.011908	0.00189089	16.552	8
0	10	0.00814447	0.00132992	17.202	8
0	11	0.0112786	0.000943488	17.851	8
0	12	0.00772524	0.0012051	18.486	8
0	13	0.00919345	0.00121885	19.148	8
0	14	0.00828535	0.001186	19.796	8
0	15	0.00741736	0.0017834	20.471	8
0	16	0.00748236	0.00063926	21.141	8
0	17	0.0119497	0.00183265	21.789	8
0	18	0.00655224	0.000810201	22.442	8
0	19	0.00616743	0.0011307	23.099	8
0	20	0.00442741	0.000873246	23.746	8
0	21	0.00484675	0.000834398	24.373	8
0	22	0.00645105	0.000712416	25.016	8
0	23	0.00597005	0.0010428	25.662	8
0	24	0.00404954	0.000707317	26.324	8
0	25	0.00509827	0.000507961	26.971	8
0	26	0.00599051	0.000873008	27.621	8
0	27	0.004691	0.000549452	28.271	8
0	28	0.00541729	0.000745147	28.929	8
0	29	0.00410586	0.000626744	29.584	8
0	30	0.00355236	0.000722769	30.235	8
0	31	0.00498388	0.00051485	30.893	8
0	32	0.00462331	0.000630096	31.546	8
0	33	0.00488288	0.000778498	32.199	8
0	34	0.00294897	0.000550436	32.854	8
0	35	0.00482339	0.000690613	33.509	8
0	36	0.00633221	0.000707311	34.164	8
0	37	0.00509222	0.000726797	34.807	8
0	38	0.00315212	0.000708222	35.459	8
0	39	0.00287576	0.000452942	36.115	8
0	40	0.00451137	0.000657096	36.767	8
0	41	0.00319817	0.000407038	37.43	8
0	42	0.00361382	0.000519701	38.078	8
0	43	0.00302357	0.00049074	38.725	8
0	44	0.00404915	0.000497523	39.359	8
0	45	0.0033222	0.000642255	40.012	8
0	46	0.00277658	0.000515685	40.668	8
