step	level	max error	mean error	time
0	0	0.0579796	0.00339855	22.2	16
0	1	0.0199852	0.00256151	24.33	16
0	2	0.0173191	0.00259479	26.476	16
0	3	0.0127806	0.00149513	28.629	16
0	4	0.00772094	0.000769584	33.044	24
0	5	0.00716952	0.00126675	35.1471	16
0	6	0.00623885	0.000885996	37.245	16
0	7	0.0058656	0.000699893	41.685	24
0	8	0.00545201	0.000974139	43.816	16
0	9	0.00481144	0.000591104	47.017	20
0	10	0.00353609	0.000555612	51.418	24
0	11	0.00309857	0.000511067	57.328	28
0	12	0.00265514	0.000324233	71.154	44
0	13	0.00255758	0.000311436	85.105	44
0	14	0.00211333	0.000289429	97.137	40
0	15	0.001965	0.000301356	109.008	40
0	16	0.00188957	0.000250912	112.295	20
0	17	0.00172237	0.000233696	122.11	36
0	18	0.00167416	0.000274014	131.71	36
0	19	0.00154497	0.000207932	141.574	36
0	20	0.00133155	0.000198414	149.413	32
0	21	0.00117717	0.000176078	160.946	40
0	22	0.0010521	0.000115665	179.959	52
0	23	0.00101333	0.00012809	202.599	56
0	24	0.000981017	0.000117786	214.726	40
