step	level	max error	mean error	time
0	0	0.0264186	0.00560755	11.791	8
0	1	0.0195391	0.0024784	14.017	16
0	2	0.0191009	0.00267367	16.223	16
0	3	0.0140409	0.00243053	18.616	16
0	4	0.0100506	0.00198211	20.885	16
0	5	0.00691435	0.000811327	28.98	32
0	6	0.00592202	0.000562349	37.1356	32
0	7	0.00532139	0.000847787	39.3916	16
0	8	0.00419284	0.000608093	47.2976	32
0	9	0.00357376	0.00032532	54.8686	32
0	10	0.00263802	0.000362678	63.0176	32
0	11	0.00176603	0.000273998	92.7185	64
0	12	0.0017268	0.000244173	121.519	64
0	13	0.00165339	0.000226055	129.156	32
0	14	0.00116084	0.000152731	157.461	64
0	15	0.00110313	0.000129819	186.765	64
0	16	0.000787886	0.000100091	215.179	64
