step	level	max error	mean error	time
0	0	0.0579796	0.00339855	22.179	16
0	1	0.0199852	0.00256151	24.308	16
0	2	0.0173191	0.00259479	26.404	16
0	3	0.0127806	0.00149513	28.548	16
0	4	0.0138771	0.000971155	30.644	16
0	5	0.00917222	0.00106645	32.72	16
0	6	0.00879615	0.00112416	34.854	16
0	7	0.00770482	0.00109557	36.968	16
0	8	0.00677354	0.000925599	39.093	16
0	9	0.00834707	0.00104647	41.237	16
0	10	0.00570511	0.000933498	43.331	16
0	11	0.00494047	0.000583849	45.445	16
0	12	0.00608699	0.000934168	47.568	16
0	13	0.00754242	0.000856366	49.686	16
0	14	0.00409457	0.000827778	51.805	16
0	15	0.00339617	0.000477677	53.931	16
0	16	0.00707452	0.000461253	56.062	16
0	17	0.00403773	0.000516419	58.204	16
0	18	0.00411167	0.000478049	60.326	16
0	19	0.00442914	0.000669596	62.419	16
0	20	0.00837902	0.000838531	64.588	16
0	21	0.00448814	0.000724767	66.731	16
0	22	0.00441164	0.000552522	68.877	16
0	23	0.0030324	0.000452849	70.977	16
0	24	0.00326166	0.000607634	73.097	16
0	25	0.00346139	0.000468972	75.189	16
0	26	0.0036736	0.000515877	77.325	16
0	27	0.00323013	0.000458371	79.448	16
0	28	0.00293139	0.000525037	81.595	16
0	29	0.00264767	0.000413061	83.715	16
0	30	0.00263888	0.000370396	85.825	16
0	31	0.00259407	0.000376636	87.973	16
0	32	0.00295006	0.000457183	90.097	16
0	33	0.00225598	0.000354595	92.241	16
0	34	0.00313692	0.000513269	94.322	16
0	35	0.00421053	0.000683171	96.423	16
0	36	0.00440748	0.000388828	98.548	16
0	37	0.00390942	0.000490321	100.69	16
0	38	0.00255319	0.000365358	102.804	16
0	39	0.00253013	0.000359578	104.936	16
0	40	0.00212294	0.000304804	107.076	16
0	41	0.00287441	0.000275612	109.186	16
0	42	0.00237568	0.000427171	111.318	16
0	43	0.00313842	0.00040035	113.439	16
0	44	0.00247699	0.000269469	115.55	16
0	45	0.00238888	0.000427562	117.675	16
0	46	0.00206628	0.000231049	119.782	16
0	47	0.00239062	0.000417478	121.899	16
0	48	0.00346185	0.000485758	124.072	16
0	49	0.00169581	0.000257398	126.192	16
0	50	0.00253037	0.000336917	128.296	16
0	51	0.00283004	0.000319595	130.394	16
0	52	0.00172504	0.000265025	132.498	16
0	53	0.00216077	0.000369049	134.622	16
0	54	0.00239204	0.000250938	136.781	16
0	55	0.0028095	0.000356844	138.876	16
0	56	0.0014866	0.0002177	141.007	16
0	57	0.00274208	0.000287509	143.14	16
0	58	0.00273228	0.000376417	145.253	16
0	59	0.00191695	0.000279149	147.364	16
0	60	0.00149372	0.000189149	149.483	16
0	61	0.00158128	0.000202977	151.582	16
0	62	0.00382856	0.000339633	153.688	16
0	63	0.00277897	0.00031979	155.792	16
0	64	0.00185528	0.000291848	157.905	16
0	65	0.0024398	0.000225935	160.04	16
0	66	0.00184982	0.00022666	162.136	16
0	67	0.00166382	0.000190292	164.267	16
0	68	0.00157504	0.00022561	166.393	16
0	69	0.00241363	0.000481438	168.525	16
0	70	0.00160292	0.000251278	170.634	16
0	71	0.00206517	0.000250704	172.762	16
0	72	0.00346188	0.000269869	174.88	16
0	73	0.00139901	0.000185002	177.006	16
0	74	0.00138076	0.000233533	179.125	16
0	75	0.00306488	0.000190661	181.225	16
0	76	0.00339931	0.000300807	183.352	16
0	77	0.0015516	0.000234848	185.472	16
0	78	0.00156126	0.000198737	187.576	16
0	79	0.00194103	0.000256043	189.676	16
0	80	0.0012369	0.000279793	191.779	16
0	81	0.00170877	0.000281395	193.878	16
0	82	0.00133097	0.000183478	196.016	16
0	83	0.00146183	0.000229119	198.116	16
0	84	0.00155295	0.000202727	200.294	16
0	85	0.00222373	0.000233171	202.421	16
0	86	0.00107044	0.000178454	204.548	16
0	87	0.000987937	0.00017337	206.598	16
