step	level	max error	mean error	time
0	0	0.567368	0.0479534	2.60302	2
0	0	0.12279	0.0259642	5.21002	3
0	0	0.10736	0.0285919	7.83402	4
0	0	0.153239	0.0198641	10.488	5
0	0	0.10628	0.00834841	13.168	6
0	0	0.0544984	0.00458443	15.871	7
0	0	0.0493204	0.0045149	18.604	8
0	0	0.044902	0.00439983	21.359	9
0	0	0.0362409	0.0044767	24.137	10
0	0	0.0233925	0.00410019	26.959	11
0	0	0.0232198	0.00406981	29.805	12
0	0	0.0338258	0.0049841	32.678	13
0	0	0.0283124	0.00481765	35.569	14
0	0	0.0205745	0.00307835	38.491	15
0	0	0.0282218	0.00231645	41.424	16
0	0	0.0183695	0.00234032	44.387	17
0	0	0.0198454	0.00229793	47.372	18
0	0	0.0167434	0.00229412	50.394	19
0	0	0.0292486	0.00270204	53.445	20
0	0	0.0225053	0.00274819	56.536	21
0	0	0.0143668	0.00227784	59.647	22
0	0	0.0129446	0.00178924	62.796	23
0	0	0.0122297	0.0017967	65.943	24
0	0	0.0116997	0.00141879	69.139	25
0	0	0.0112145	0.00141766	72.38	26
0	0	0.0115795	0.00146213	75.613	27
0	0	0.0112664	0.00145797	78.855	28
0	0	0.0104295	0.00145748	82.142	29
0	0	0.0123733	0.00137993	85.462	30
0	0	0.009497	0.00137659	88.799	31
0	0	0.00953334	0.00130031	92.174	32
0	0	0.00853103	0.00130002	95.567	33
0	0	0.00758173	0.00109254	99.106	34
0	0	0.00739497	0.00109222	102.588	35
0	0	0.010129	0.00094668	106.053	36
0	0	0.00677718	0.000807927	109.536	37
0	0	0.00599793	0.000807744	113.045	38
0	0	0.00592202	0.000807606	116.598	39
0	0	0.00652428	0.000844587	120.188	40
0	0	0.00633263	0.000844039	123.79	41
0	0	0.00579164	0.0008432	127.438	42
0	0	0.00583942	0.000838862	131.084	43
0	0	0.0056501	0.000808807	134.756	44
0	0	0.00553585	0.000808357	138.44	45
0	0	0.00537215	0.000808294	142.172	46
0	0	0.00531973	0.000718494	145.9	47
0	0	0.00538543	0.000610689	149.684	48
0	0	0.0054978	0.000610741	153.501	49
0	0	0.00527251	0.000610604	157.355	50
