step	level	max error	mean error	time
0	0	0.42573	0.046229	2.37004	2
0	0	0.164774	0.0349547	4.76004	4
0	0	0.0869152	0.0127118	7.17704	6
0	0	0.0275192	0.00453779	9.63704	8
0	0	0.0236756	0.00355097	12.385	10
0	0	0.0196455	0.00282764	15.036	12
0	0	0.0124962	0.00116366	17.7296	14
0	0	0.00882602	0.00101484	20.5336	16
0	0	0.00690216	0.000775047	23.4306	18
0	0	0.0057666	0.000552165	26.2745	20
0	0	0.0041819	0.000499877	29.1826	22
0	0	0.00332729	0.000398657	32.1446	24
0	0	0.00288251	0.000347945	35.1056	26
0	0	0.00264157	0.000341125	38.1006	28
0	0	0.00236885	0.000260996	41.2176	30
0	0	0.00158344	0.000220143	44.4266	32
0	0	0.00148791	0.000200335	47.6145	34
0	0	0.00144289	0.000191808	50.9126	36
0	0	0.0016226	0.00020017	54.2315	38
0	0	0.00131918	0.000142517	57.5956	40
0	0	0.0010913	0.000147748	60.9476	42
0	0	0.000822501	0.00012609	64.6686	44
