step	level	max error	mean error	time
0	0	0.0275192	0.00453779	11.1273	8
0	1	0.0211231	0.00297253	12.0563	8
0	2	0.0239215	0.00323712	12.8633	8
0	3	0.0156785	0.0026451	13.5923	8
0	4	0.00924565	0.00175468	14.4573	8
0	5	0.0171803	0.00215276	15.3593	8
0	6	0.0115405	0.0011248	16.3073	8
0	7	0.0173411	0.00188164	17.1373	8
0	8	0.00885511	0.00128608	17.9963	8
0	9	0.00601036	0.000964952	18.8293	8
0	10	0.0062965	0.00114051	19.5373	8
0	11	0.00313947	0.00059168	20.2493	8
0	12	0.00311893	0.000569581	20.9033	8
0	13	0.00401447	0.000713993	21.5723	8
0	14	0.00388098	0.000587645	22.2493	8
0	15	0.00279723	0.000480396	22.9223	8
0	16	0.00408219	0.000475568	23.5893	8
0	17	0.00456425	0.000896575	24.2373	8
0	18	0.00308897	0.000471696	24.8633	8
0	19	0.00264543	0.000432415	25.5443	8
0	20	0.00484879	0.000623265	26.1983	8
0	21	0.00486518	0.000675864	26.8933	8
0	22	0.0034301	0.000301792	27.5633	8
0	23	0.00243569	0.000493741	28.2223	8
0	24	0.00260595	0.000347488	28.9063	8
0	25	0.00286283	0.000521199	29.5833	8
0	26	0.00197389	0.00035278	30.2723	8
0	27	0.00419867	0.000535386	30.9423	8
0	28	0.00352768	0.00045738	31.6193	8
0	29	0.00281784	0.00037039	32.3433	8
0	30	0.00325828	0.000468659	33.0163	8
0	31	0.00372411	0.000346284	33.6833	8
0	32	0.00262691	0.000446281	34.4283	8
0	33	0.00287735	0.000395128	35.1523	8
0	34	0.00353346	0.000540055	35.8374	8
0	35	0.00162567	0.000268066	36.5103	8
0	36	0.00215383	0.000249875	37.1743	8
0	37	0.00175438	0.000318106	37.8703	8
0	38	0.00169197	0.000269291	38.5623	8
0	39	0.00161527	0.000246847	39.2223	8
0	40	0.00260709	0.000308176	39.9213	8
0	41	0.00243077	0.000255735	40.6173	8
0	42	0.00176724	0.000211837	41.3563	8
0	43	0.00248001	0.000437235	42.0303	8
0	44	0.00243561	0.000318456	42.7123	8
0	45	0.00171052	0.00031432	43.3983	8
0	46	0.00187077	0.000293965	44.2783	8
0	47	0.00148401	0.000194176	45.1903	8
0	48	0.00145555	0.000250855	46.0783	8
0	49	0.00132789	0.000213504	46.9123	8
0	50	0.00162809	0.000257639	47.5603	8
0	51	0.00112975	0.000203923	48.1773	8
0	52	0.00122872	0.000187782	48.8623	8
0	53	0.0015904	0.000209292	49.5423	8
0	54	0.000977345	0.000162917	50.2143	8
