step	level	max error	mean error	time
0	0	3.26381	0.0905375	2.68502	2
0	0	1.53995	0.0879435	5.64099	4
0	0	3.68746	0.0672328	8.35203	6
0	0	1.99507	0.0596206	11.132	8
0	0	1.40126	0.0592167	13.898	10
0	0	1.21043	0.0583112	16.736	12
0	0	1.18475	0.057696	19.658	14
0	0	0.802534	0.0553819	22.587	16
0	0	0.68454	0.0460208	25.727	18
0	0	0.661809	0.0445288	28.821	20
0	0	0.59355	0.0445618	31.94	22
0	0	0.503314	0.0441545	35.108	24
0	0	0.358871	0.0439918	38.294	26
0	0	0.377481	0.043924	41.536	28
0	0	0.322399	0.0439524	44.781	30
0	0	0.312455	0.0320117	48.125	32
0	0	0.270199	0.0319054	51.531	34
0	0	0.242954	0.0272784	54.958	36
0	0	0.200098	0.0273394	58.463	38
0	0	0.145944	0.0272754	62.01	40
0	0	0.192338	0.027271	65.618	42
0	0	0.13212	0.0233454	69.271	44
0	0	0.104441	0.00963818	72.975	46
0	0	0.103702	0.00996378	76.721	48
0	0	0.0929283	0.00991788	80.522	50
0	0	0.0862899	0.0105066	84.391	52
0	0	0.0764503	0.0104555	88.297	54
0	0	0.056961	0.00438508	92.273	56
0	0	0.0528945	0.00437499	96.286	58
0	0	0.0493573	0.00464312	100.362	60
0	0	0.0417642	0.00292247	104.516	62
0	0	0.0388655	0.00290957	108.732	64
0	0	0.0416221	0.00290239	113.002	66
0	0	0.0456242	0.00289698	117.313	68
0	0	0.0321566	0.00288753	122.206	70
0	0	0.033349	0.00288121	126.674	72
0	0	0.0281896	0.00287522	131.098	74
0	0	0.030544	0.00287341	135.592	76
0	0	0.0270924	0.00322005	140.172	78
0	0	0.0265889	0.00322318	144.797	80
0	0	0.0242569	0.00198985	149.475	82
0	0	0.0205994	0.00198721	154.195	84
0	0	0.0199549	0.0019856	158.917	86
0	0	0.0243166	0.00193564	163.766	88
0	0	0.0186869	0.00192513	168.679	90
0	0	0.0176976	0.00192488	173.651	92
0	0	0.017396	0.00192298	178.665	94
0	0	0.0159108	0.00195193	183.728	96
0	0	0.0260205	0.00178443	188.818	98
0	0	0.0157069	0.00167514	193.951	100
0	0	0.0132126	0.00152017	199.148	102
0	0	0.0129974	0.00134092	204.396	104
0	0	0.0125973	0.00133827	209.72	106
0	0	0.0113946	0.00133235	215.084	108
0	0	0.0102458	0.00133229	220.532	110
0	0	0.0104992	0.00133086	226.033	112
0	0	0.00978513	0.0013296	231.663	114
0	0	0.010446	0.00132885	237.319	116
0	0	0.00905842	0.00132758	242.972	118
0	0	0.00837879	0.00132714	248.689	120
0	0	0.00849673	0.00112443	254.448	122
0	0	0.00825998	0.00104189	260.297	124
0	0	0.00845567	0.000757184	266.152	126
0	0	0.0100521	0.000756028	272.119	128
0	0	0.00820149	0.000754716	278.158	130
0	0	0.00852276	0.00075392	284.221	132
0	0	0.00765702	0.000752731	290.338	134
0	0	0.00681757	0.00076625	296.489	136
0	0	0.00674231	0.000765694	302.685	138
0	0	0.0067163	0.000765317	309.206	140
0	0	0.00690786	0.000645796	315.551	142
0	0	0.00595839	0.000645249	321.921	144
0	0	0.00575653	0.000640086	328.387	146
0	0	0.00581763	0.000639419	334.894	148
0	0	0.00535679	0.000638512	341.422	150
0	0	0.0055845	0.000561789	348.046	152
0	0	0.00516956	0.000561307	354.725	154
0	0	0.00815026	0.000560906	361.524	156
0	0	0.00492088	0.000479798	368.301	158
0	0	0.00460101	0.000478649	375.116	160
0	0	0.00428443	0.000478512	382.028	162
0	0	0.00422822	0.000483013	389.013	164
0	0	0.00480146	0.000483024	396.01	166
0	0	0.0041357	0.000413808	403.037	168
0	0	0.00401566	0.00041356	410.157	170
0	0	0.00410815	0.000411707	417.319	172
0	0	0.00394077	0.000411271	424.492	174
0	0	0.0039193	0.000398875	431.774	176
0	0	0.00377717	0.000398647	439.118	178
0	0	0.00369509	0.000357694	446.542	180
0	0	0.00357861	0.000351724	453.977	182
0	0	0.00356688	0.000351552	461.475	184
0	0	0.00347681	0.000351168	469.099	186
0	0	0.00356227	0.000340866	477.709	188
0	0	0.00348342	0.000304592	486.103	190
0	0	0.00329791	0.000304463	494.513	192
0	0	0.00309977	0.000304233	503.031	194
0	0	0.00275883	0.000304105	511.562	196
0	0	0.00259333	0.000303653	520.26	198
0	0	0.00255448	0.000303532	528.782	200
0	0	0.00252301	0.000303231	537.233	202
0	0	0.00246128	0.000303127	545.795	204
0	0	0.00240482	0.000303058	554.378	206
0	0	0.00236545	0.000294781	562.99	208
0	0	0.00256356	0.000294637	571.676	210
0	0	0.00244363	0.000294439	580.35	212
0	0	0.00233036	0.000294174	589.163	214
0	0	0.00208909	0.00029382	598.051	216
0	0	0.0021511	0.000293543	606.988	218
0	0	0.00199562	0.000265083	615.983	220
0	0	0.00203943	0.000264949	625.06	222
0	0	0.00220305	0.000264878	634.146	224
0	0	0.00187983	0.000264648	643.304	226
0	0	0.00185233	0.000247585	652.527	228
0	0	0.00209682	0.000247619	661.856	230
0	0	0.00188853	0.00023236	671.206	232
0	0	0.00179791	0.000232208	680.645	234
0	0	0.00233848	0.000250943	690.19	236
0	0	0.00174337	0.000240635	699.726	238
0	0	0.00179695	0.000228404	709.422	240
0	0	0.00171256	0.000227883	719.189	242
0	0	0.00165901	0.000225201	728.978	244
0	0	0.00162646	0.000224321	738.823	246
0	0	0.00157448	0.000224146	748.727	248
0	0	0.00152013	0.000197256	758.685	250
0	0	0.00147192	0.000197134	768.755	252
0	0	0.00140263	0.000197076	778.851	254
0	0	0.00138179	0.00018674	788.936	256
0	0	0.00137934	0.000186698	799.078	258
0	0	0.00137441	0.000182211	809.333	260
0	0	0.00132161	0.000178013	819.679	262
0	0	0.00128194	0.000177946	830.108	264
0	0	0.00124322	0.000146205	840.602	266
0	0	0.00145244	0.000137196	851.178	268
0	0	0.00117528	0.000137162	861.804	270
0	0	0.0011745	0.000137079	872.457	272
0	0	0.00111993	0.000137015	883.181	274
0	0	0.00105025	0.000136944	894.009	276
0	0	0.00104199	0.000136885	904.875	278
0	0	0.00103145	0.000129974	915.847	280
0	0	0.000996403	0.000125222	926.836	282
