step	level	max error	mean error	time
0	0	0.903646	0.153806	2.91259	2
0	0	0.111882	0.0178629	5.69842	4
0	0	0.18061	0.0133066	8.55775	6
0	0	0.115456	0.0134622	11.4313	8
0	0	0.26898	0.00365226	14.4237	10
0	0	0.132358	0.0034389	17.7757	12
0	0	0.0809232	0.00339679	20.992	14
0	1	0.119721	0.0217801	21.1128	2
0	1	0.157423	0.0102044	21.2693	4
0	1	0.134603	0.00733293	21.4864	6
0	1	0.0941199	0.00841933	21.755	8
0	1	0.0704988	0.00829415	22.0866	10
0	1	0.0628053	0.00782421	22.4467	12
0	1	0.0622142	0.00826721	22.8692	14
0	1	0.130415	0.0178195	23.3408	16
0	1	0.0515958	0.00239165	23.8895	18
0	1	0.0371307	0.00237356	24.5233	20
0	1	0.0289988	0.0019552	25.2696	22
0	1	0.0396657	0.00343265	26.0261	24
0	1	0.0223497	0.0024747	26.8111	26
0	1	0.0233035	0.00249467	27.6463	28
0	1	0.0356259	0.00166647	28.5623	30
0	1	0.0243975	0.00156398	29.5053	32
0	1	0.0251406	0.0015461	30.6033	34
0	1	0.0242798	0.00151997	31.7164	36
0	1	0.0200657	0.00151752	32.8368	38
0	1	0.017047	0.00133569	34.0179	40
0	1	0.0150203	0.00133442	35.2289	42
0	1	0.012282	0.00107331	36.502	44
0	1	0.0105713	0.00107185	37.8294	46
0	1	0.0102352	0.000619023	39.1996	48
0	1	0.0151724	0.000622777	40.6264	50
0	1	0.0105035	0.000569872	42.1142	52
0	1	0.0110713	0.000450604	43.6288	54
0	1	0.00900188	0.000451387	45.2113	56
0	1	0.00798495	0.000451785	46.9356	58
0	2	0.00768669	0.000449542	47.064	2
0	2	0.01046	0.00121398	47.2211	4
0	2	0.0123796	0.0019246	47.4238	6
0	2	0.0463027	0.00225716	47.683	8
0	2	0.0494201	0.0060396	48.0208	10
0	2	0.0285845	0.00496377	48.4208	12
0	2	0.0362141	0.00152712	48.8465	14
0	2	0.0142786	0.0015326	49.3294	16
0	2	0.0146726	0.00148547	49.8607	18
0	2	0.00881717	0.00110221	50.4526	20
0	2	0.0116915	0.0013238	51.0944	22
0	2	0.00858322	0.000805121	51.7805	24
0	2	0.0142803	0.000725609	52.5359	26
0	2	0.00874355	0.000723758	53.3436	28
0	2	0.00685369	0.000721823	54.1982	30
0	2	0.012418	0.000812992	55.1013	32
0	2	0.00699136	0.000468766	56.0699	34
0	2	0.00681284	0.000515227	57.0904	36
0	2	0.0061778	0.000508684	58.1542	38
0	2	0.00843462	0.000616106	59.2867	40
0	2	0.00675705	0.000405398	60.474	42
0	2	0.00677427	0.000347914	61.7191	44
0	2	0.006414	0.000347791	63.1213	46
0	2	0.00530613	0.00030467	64.4807	48
0	2	0.00514302	0.000305144	65.8783	50
0	2	0.00530003	0.000304685	67.3581	52
0	2	0.00583912	0.00030456	68.8973	54
0	2	0.00511539	0.000304131	70.5954	56
0	2	0.00511451	0.000304897	72.8514	58
0	2	0.00462255	0.000332231	75.4248	60
