step	level	max error	mean error	time
0	0	1.01628	0.175569	2.89597	2
0	0	5.06559	0.0284601	5.52398	4
0	0	0.915991	0.0198539	8.17893	6
0	0	0.900818	0.0198892	10.8789	8
0	0	0.844771	0.0202967	13.6889	10
0	0	0.883189	0.0202957	16.5339	12
0	0	0.660179	0.0194079	19.358	14
0	0	0.688267	0.0197634	22.2379	16
0	0	0.835732	0.0195517	25.176	18
0	0	0.508506	0.0192506	28.1739	20
0	1	0.627582	0.150452	28.2869	2
0	1	0.572261	0.0165803	28.429	4
0	1	0.37904	0.038151	28.621	6
0	1	0.393032	0.0876554	28.849	8
0	1	0.487118	0.0250131	29.1429	10
0	1	0.38428	0.0211791	29.5319	12
0	1	0.25696	0.0236703	29.972	14
0	1	0.310273	0.0229852	30.432	16
0	1	0.177644	0.0247731	30.9349	18
0	2	0.222834	0.0294259	31.047	2
0	2	0.346838	0.0784216	31.1779	4
0	2	0.296826	0.0368732	31.3759	6
0	2	1.4025	0.0181888	31.615	8
0	2	0.54587	0.0164336	31.926	10
0	2	0.352725	0.0162406	32.2559	12
0	2	0.348495	0.0160086	32.6549	14
0	2	0.391911	0.0158335	33.1009	16
0	2	0.278048	0.0157945	33.609	18
0	2	0.220186	0.0156542	34.1499	20
0	2	0.954792	0.0140975	34.755	22
0	2	0.428848	0.0128297	35.412	24
0	2	0.263342	0.0112883	36.0989	26
0	2	0.203343	0.0113208	36.8439	28
0	2	0.147114	0.0110069	37.644	30
0	2	0.121595	0.0109257	38.4769	32
0	2	0.109712	0.0108179	39.392	34
0	2	0.247169	0.00996717	40.3359	36
0	2	0.154033	0.0102765	41.3559	38
0	2	0.181014	0.012474	42.396	40
0	2	0.17448	0.0124482	43.5029	42
0	2	0.159179	0.00839519	44.648	44
0	2	0.146081	0.00834578	45.9739	46
0	2	0.124204	0.0083326	47.238	48
0	2	0.12069	0.00831102	48.5359	50
0	2	0.0838526	0.00826449	49.901	52
0	3	0.123609	0.0207701	50	2
0	3	0.820455	0.0128408	50.15	4
0	3	0.326721	0.0138226	50.3399	6
0	3	0.74039	0.0208027	50.5899	8
0	3	0.216064	0.0177891	50.8749	10
