step	level	max error	mean error	time
0	0	1.01628	0.175569	2.77696	2
0	0	5.06559	0.0284601	5.49197	4
0	0	0.915991	0.0198539	8.202	6
0	0	0.900818	0.0198892	11.1009	8
0	0	0.844771	0.0202967	13.933	10
0	0	0.883189	0.0202957	16.8	12
0	0	0.660179	0.0194079	19.7482	14
0	0	0.688267	0.0197634	22.7572	16
0	0	0.835732	0.0195517	25.9564	18
0	0	0.508506	0.0192506	29.3174	20
0	0	0.319707	0.0190756	32.7359	22
0	0	0.20133	0.0188966	36.4825	24
0	0	0.333817	0.0189491	40.1331	26
0	0	0.170901	0.0187542	43.8434	28
0	0	0.161847	0.0186987	47.4661	30
0	0	0.168712	0.018629	50.8541	32
0	0	0.364225	0.0154144	54.4571	34
0	0	0.216158	0.0149164	58.4821	36
0	0	0.163852	0.0144684	62.3804	38
0	0	0.115252	0.0144332	66.2754	40
0	0	0.130734	0.0127692	70.4244	42
0	0	0.102927	0.0127566	74.6199	44
0	0	0.12086	0.0105507	78.7414	46
0	0	0.145645	0.00912698	82.8744	48
0	0	0.135467	0.00897691	87.1194	50
0	0	0.10738	0.0088964	91.3554	52
0	0	0.101471	0.0049669	95.6894	54
0	0	0.0828302	0.00486265	100.144	56
0	0	0.205586	0.00163997	104.746	58
0	0	0.0580143	0.00154155	109.244	60
0	0	0.0618296	0.00153962	114.039	62
0	0	0.040899	0.00152697	118.889	64
0	0	0.0372893	0.00152054	123.774	66
0	0	0.0361792	0.0015138	128.748	68
0	0	0.0342762	0.00151057	133.837	70
0	0	0.0327858	0.00150757	138.683	72
0	0	0.0286093	0.00144681	143.915	74
0	0	0.0355569	0.0014463	149.037	76
0	0	0.0322437	0.00144128	154.174	78
0	0	0.0348403	0.0014389	159.182	80
0	0	0.0244456	0.0014358	164.218	82
0	0	0.0246875	0.00139735	169.6	84
0	0	0.0271925	0.00139927	174.899	86
0	0	0.0192017	0.00139752	180.426	88
0	0	0.0217125	0.00139069	186.085	90
0	0	0.0225237	0.000832502	192.009	92
0	0	0.0197505	0.000830204	198.156	94
0	0	0.0144816	0.000829706	204.448	96
0	0	0.0153482	0.000828132	210.614	98
0	0	0.0144589	0.000825427	216.839	100
0	0	0.0151224	0.000824687	223.048	102
0	0	0.0137089	0.000822008	228.79	104
0	0	0.0160262	0.000821818	234.87	106
0	0	0.0122098	0.000774813	240.905	108
0	0	0.0112684	0.000774194	247.147	110
0	0	0.0123572	0.000773289	253.518	112
0	0	0.0110402	0.000772403	259.801	114
0	0	0.0104492	0.00077089	266.144	116
0	0	0.0134857	0.000771096	272.416	118
0	0	0.00961361	0.000770179	279.327	120
0	0	0.00921773	0.000769897	286.392	122
0	0	0.00900102	0.000779451	293.526	124
0	0	0.00949866	0.000771749	301.146	126
0	0	0.00915287	0.000633259	308.138	128
0	0	0.00746843	0.000632522	315.165	130
0	0	0.00689085	0.000632297	322.111	132
0	0	0.00691625	0.000631924	329.448	134
0	0	0.00576638	0.000522781	336.992	136
0	0	0.00654845	0.000465443	344.205	138
0	0	0.0064071	0.000393599	351.425	140
0	0	0.00567865	0.00044335	358.752	142
0	0	0.00491388	0.000443087	366.233	144
