step	level	max error	mean error	time
0	0	1.01626	0.175612	3.12603	1
0	0	5.06202	0.0280625	5.87299	2
0	0	1.55541	0.0179662	8.71899	3
0	0	1.02509	0.023335	11.465	4
0	0	1.28264	0.0216052	14.2982	5
0	0	1.02435	0.0190012	17.4312	6
0	0	1.07289	0.0190226	20.3528	7
0	0	1.12802	0.0176672	23.3948	8
0	0	0.913053	0.0194431	26.3709	9
0	0	1.05352	0.0194701	29.4719	10
0	0	1.06814	0.0223464	32.6889	11
0	0	0.71446	0.0198814	35.8751	12
0	0	0.709524	0.0185927	38.7781	13
0	0	0.490954	0.0183319	41.712	14
0	0	0.450948	0.0183457	44.693	15
0	0	0.521591	0.0196188	47.659	16
0	0	0.430986	0.0193436	50.923	17
0	0	0.552476	0.0194631	54.221	18
0	0	0.356674	0.0193004	57.375	19
0	0	0.252288	0.0180816	60.521	20
0	0	0.278303	0.0185394	63.753	21
0	0	0.242894	0.0186588	67.46	22
0	0	0.223806	0.0188206	71.182	23
0	0	0.176035	0.0185505	75.7023	24
0	0	0.220112	0.0189654	79.3964	25
0	0	0.144333	0.0187674	82.9003	26
0	0	0.152069	0.0184268	86.4534	27
0	0	0.142895	0.0188629	90.1814	28
0	0	0.130703	0.0185155	93.9744	29
0	0	0.118324	0.0184435	97.9054	30
0	0	0.452447	0.0201099	101.712	31
0	0	0.405291	0.0189574	105.309	32
0	0	0.200184	0.0184936	108.811	33
0	0	0.208098	0.0162832	112.684	34
0	0	0.179448	0.0164074	117.017	35
0	0	0.187749	0.0161265	121.014	36
0	0	0.172513	0.0159694	124.807	37
0	0	0.115513	0.0159662	128.574	38
0	0	0.111828	0.0159428	132.535	39
0	0	0.179341	0.0143355	136.49	40
0	0	0.316774	0.0114891	140.593	41
0	0	0.187684	0.0108703	144.706	42
0	0	0.139646	0.0107724	149.003	43
0	0	0.133284	0.0100052	153.195	44
0	0	0.112415	0.00995528	157.178	45
0	0	0.126416	0.00995725	161.248	46
0	0	0.112066	0.00993976	165.344	47
0	0	0.0976261	0.00806374	169.643	48
0	0	0.0960168	0.0078549	174.079	49
0	0	0.150595	0.00994849	178.521	50
0	0	0.140412	0.00998559	182.758	51
0	0	0.0856018	0.0028303	187.023	52
0	0	0.0712107	0.0028215	191.324	53
0	0	0.065555	0.00281565	195.839	54
0	0	0.0569986	0.00281039	200.089	55
0	0	0.0566677	0.00280171	204.426	56
0	0	0.0668286	0.00279554	208.834	57
0	0	0.0531083	0.0027839	213.423	58
0	0	0.0506641	0.0027795	217.702	59
0	0	0.0443219	0.00277455	222.43	60
0	0	0.0406554	0.00277165	227.258	61
0	0	0.0389417	0.00276602	231.996	62
0	0	0.0372554	0.00276498	236.512	63
0	0	0.0413364	0.0027671	241.134	64
0	0	0.0376202	0.00276254	245.896	65
0	0	0.0361353	0.0027604	250.597	66
0	0	0.036141	0.00170344	255.413	67
0	0	0.0321093	0.00170009	260.245	68
0	0	0.0348552	0.00169926	265.247	69
0	0	0.0305519	0.00169647	270.161	70
0	0	0.0251385	0.00101632	275.004	71
0	0	0.02457	0.00101592	279.874	72
0	0	0.0235871	0.0010231	284.821	73
0	0	0.0230889	0.00102342	289.787	74
0	0	0.0226293	0.00102159	294.733	75
0	0	0.0224977	0.00102307	299.443	76
0	0	0.0243284	0.00102313	304.226	77
0	0	0.0224265	0.00102255	309.385	78
0	0	0.0201989	0.00102025	314.438	79
0	0	0.0202851	0.00102094	319.323	80
0	0	0.0196806	0.00101873	324.318	81
0	0	0.0280924	0.00101647	329.371	82
0	0	0.0198873	0.00101158	334.714	83
0	0	0.0196857	0.00101036	340.06	84
0	0	0.0189606	0.00100845	345.349	85
0	0	0.0191627	0.00100635	350.757	86
0	0	0.0160308	0.00100654	356.204	87
0	0	0.0160155	0.00100546	361.552	88
0	0	0.0158731	0.0010025	366.915	89
0	0	0.0154401	0.00100189	372.732	90
0	0	0.020193	0.00100166	378.216	91
0	0	0.014975	0.000999714	383.708	92
0	0	0.0148486	0.000992187	389.173	93
0	0	0.0136307	0.000991738	394.424	94
0	0	0.0135022	0.000990983	399.69	95
0	0	0.0133328	0.000990282	405.117	96
0	0	0.0131452	0.000990005	410.439	97
0	0	0.0129312	0.000989424	415.78	98
0	0	0.0152547	0.00112227	421.256	99
0	0	0.0132552	0.00119049	426.647	100
0	0	0.0115542	0.00119015	432.209	101
0	0	0.0113115	0.00118927	437.754	102
0	0	0.0103605	0.00118853	443.2	103
0	0	0.0162388	0.00101937	449.094	104
0	0	0.0103469	0.000988103	455.036	105
0	0	0.0100995	0.000983391	460.944	106
0	0	0.00977307	0.000976992	466.671	107
0	0	0.00932105	0.000877287	472.301	108
0	0	0.00913128	0.000877067	477.968	109
0	0	0.0107343	0.000772166	483.788	110
0	0	0.00872535	0.000771401	489.516	111
0	0	0.00817041	0.000702563	495.604	112
0	0	0.00838964	0.00070275	502.374	113
0	0	0.0076924	0.000702508	509.281	114
0	0	0.007059	0.000702171	515.308	115
0	0	0.00743669	0.000701464	521.409	116
0	0	0.00884333	0.000701554	527.535	117
0	0	0.0067606	0.000701211	533.512	118
0	0	0.00700366	0.000700968	539.42	119
0	0	0.00810044	0.000701233	545.367	120
0	0	0.00652545	0.000700883	551.603	121
0	0	0.00852867	0.000702282	557.737	122
0	0	0.00710786	0.000701635	563.805	123
0	0	0.00648573	0.000701581	569.826	124
0	0	0.00635483	0.000667009	576.072	125
0	0	0.00696882	0.000552469	582.798	126
0	0	0.00663109	0.000551552	589.229	127
0	0	0.00654075	0.00055044	595.564	128
0	0	0.00612678	0.000549749	601.649	129
0	0	0.00856933	0.000549845	607.781	130
0	0	0.00569585	0.000549634	614.21	131
0	0	0.00534805	0.000549444	620.499	132
0	0	0.00537372	0.000549553	626.936	133
0	0	0.00519604	0.000549462	633.328	134
0	0	0.00519272	0.000549354	639.695	135
0	0	0.00499755	0.000377647	646.223	136
