step	level	max error	mean error	time
0	0	1.01628	0.175551	2.822	2
0	0	5.06559	0.0284543	5.72103	4
0	0	0.915991	0.0198477	8.67003	6
0	0	0.900818	0.019881	11.642	8
0	0	0.844771	0.0202862	14.625	10
0	0	0.883189	0.0202831	17.693	12
0	0	0.660179	0.0193938	20.56	14
0	0	0.688267	0.019747	23.453	16
0	0	0.835732	0.0195336	26.424	18
0	0	0.508506	0.0192307	29.421	20
0	0	0.319707	0.019054	32.558	22
0	0	0.20133	0.0188732	35.741	24
0	0	0.333817	0.0189237	39.209	26
0	0	0.170901	0.0187271	42.6982	28
0	0	0.161847	0.0186698	46.0672	30
0	0	0.168712	0.0185983	49.3992	32
0	0	0.364225	0.0153874	52.8142	34
0	0	0.216158	0.0148887	56.2392	36
0	0	0.163852	0.01444	59.7312	38
0	0	0.115252	0.0144034	63.2112	40
0	0	0.130734	0.0127415	66.9862	42
0	0	0.102927	0.0127276	70.7252	44
0	0	0.12086	0.0105256	74.5952	46
0	0	0.145645	0.00910437	78.3272	48
0	0	0.135467	0.00895375	82.1372	50
0	0	0.10738	0.00887253	86.0242	52
0	0	0.101471	0.00495306	89.8582	54
0	0	0.0828302	0.0048486	93.8562	56
0	0	0.205586	0.00163506	97.9652	58
0	0	0.0580143	0.00153678	102.065	60
0	0	0.0618296	0.00153469	106.184	62
0	0	0.040899	0.00152192	110.337	64
0	0	0.0372893	0.00151536	114.603	66
0	0	0.0361792	0.00150849	119.206	68
0	0	0.0342762	0.00150511	124.118	70
0	0	0.0327858	0.00150197	129.032	72
0	0	0.0286093	0.00144129	134.383	74
0	0	0.0355569	0.00144063	139.178	76
0	0	0.0322437	0.00143548	144.549	78
0	0	0.0348403	0.00143296	149.444	80
0	0	0.0244456	0.00142973	154.423	82
0	0	0.0246875	0.00139129	159.365	84
0	0	0.0271925	0.00139306	164.094	86
0	0	0.0192017	0.00139117	168.902	88
0	0	0.0217126	0.00138423	173.785	90
0	0	0.0225237	0.00082855	178.702	92
0	0	0.0197505	0.000826177	183.665	94
0	0	0.0144816	0.000825596	188.734	96
0	0	0.0153482	0.000823944	193.812	98
0	0	0.0144589	0.000821167	199.012	100
0	0	0.0151224	0.000820346	204.245	102
0	0	0.0137089	0.000817597	209.5	104
0	0	0.0160262	0.000817323	214.858	106
0	0	0.0122098	0.000770495	220.31	108
0	0	0.0112684	0.000769799	225.705	110
0	0	0.0123572	0.00076882	231.183	112
0	0	0.0110402	0.000767859	236.799	114
0	0	0.0104492	0.000766276	242.434	116
0	0	0.0134857	0.000766401	248.188	118
0	0	0.00961361	0.000765411	253.823	120
0	0	0.00921773	0.00076505	259.504	122
0	0	0.00900102	0.000774464	265.253	124
0	0	0.00949866	0.000766731	271.026	126
0	0	0.00915287	0.000629076	277.126	128
0	0	0.00746843	0.000628279	283.483	130
0	0	0.00689085	0.00062799	289.728	132
0	0	0.00691625	0.000627555	295.8	134
0	0	0.00576638	0.000519113	301.978	136
0	0	0.00654845	0.000462128	308.235	138
0	0	0.0064071	0.000390756	314.542	140
0	0	0.00567865	0.000440102	320.868	142
0	0	0.00491388	0.000439795	327.198	144
0	0	0.0048654	0.00043925	333.618	146
0	0	0.00597515	0.000439503	339.978	148
0	0	0.00457284	0.000338673	346.483	150
0	0	0.00438177	0.000303306	353.127	152
0	0	0.00433827	0.00030294	359.736	154
0	0	0.00657662	0.00029147	366.429	156
