step	level	max error	mean error	time
0	0	0.164774	0.0349547	4.67703	4
0	1	0.0392576	0.00465202	4.886	4
0	2	0.0328788	0.0039186	5.481	8
0	3	0.02559	0.00479012	5.691	4
0	4	0.025072	0.00315684	6.30204	8
0	5	0.0206192	0.00157326	6.909	8
0	6	0.0149815	0.00183712	7.119	4
0	7	0.0140652	0.00234296	7.332	4
0	8	0.00868889	0.00151938	7.94704	8
0	9	0.00405377	0.000644775	9.93504	16
0	10	0.00371043	0.000354412	11.934	16
0	11	0.00361133	0.0006301	12.547	8
0	12	0.00316016	0.000282551	14.526	16
0	13	0.00212269	0.000229558	16.518	16
0	14	0.00172713	0.00022259	18.519	16
0	15	0.00135339	0.000227505	20.546	16
0	16	0.000918387	0.000123097	27.925	32
