step	level	max error	time	nr. of control nodes
0	0	0.102566	6	2
0	0	0.0496854	12	4
0	0	0.0661471	15	6
0	0	0.023239	19	8
0	0	0.0284152	23	10
0	0	0.00984119	32	12
1	0	0.107485	59	2
1	0	0.0503614	66	4
1	0	0.0955364	70	6
1	0	0.0386009	74	8
1	0	0.0291451	78	10
1	0	0.021032	82	12
1	0	0.00845658	90	14
2	0	0.109998	113	2
2	0	0.0513174	121	4
2	0	0.0670283	125	6
2	0	0.0209733	128	8
2	0	0.0185742	135	10
2	0	0.00801816	140	12
3	0	0.109953	159	2
3	0	0.0543283	162	4
3	0	0.0693051	167	6
3	0	0.0376212	175	8
3	0	0.0279501	181	10
3	0	0.0110697	189	12
3	0	0.00831269	197	14
4	0	0.107641	223	2
4	0	0.0693453	229	4
4	0	0.110281	233	6
4	0	0.0491022	240	8
4	0	0.0221937	245	10
4	0	0.0163162	251	12
4	0	0.00990082	261	14
0	0	0.102566	4	2
0	0	0.0496854	8	4
0	0	0.0661471	12	6
0	0	0.023239	14	8
0	0	0.0284152	16	10
0	0	0.00984119	20	12
1	0	0.107485	49	2
1	0	0.0503614	52	4
1	0	0.0955364	59	6
1	0	0.0386009	64	8
1	0	0.0291451	68	10
1	0	0.021032	75	12
1	0	0.00845658	79	14
2	0	0.109998	102	2
2	0	0.0513174	109	4
2	0	0.0670283	116	6
2	0	0.0209733	121	8
2	0	0.0185742	124	10
2	0	0.00801816	129	12
3	0	0.109953	150	2
3	0	0.0543283	153	4
3	0	0.0693051	157	6
3	0	0.0376212	160	8
3	0	0.0279501	166	10
3	0	0.0110697	171	12
3	0	0.00831269	175	14
4	0	0.107641	198	2
4	0	0.0693453	204	4
4	0	0.110281	208	6
4	0	0.0491022	211	8
4	0	0.0221937	214	10
4	0	0.0163162	220	12
4	0	0.00990082	225	14
0	0	0.102566	4	2
0	0	0.0496854	13	4
0	0	0.0661471	17	6
0	0	0.023239	20	8
0	0	0.0284152	29	10
0	0	0.00984119	38	12
1	0	0.0189754	61	12
1	0	0.0117734	70	14
1	0	0.00595495	77	16
2	0	0.00850774	99	16
3	0	0.0148023	125	16
3	0	0.0068397	134	18
4	0	0.0122173	159	18
4	0	0.00967223	166	20
