step	level	max error	time	nr. of control nodes
0	0	6.69402e-006	26	2
0	0	4.31413e-006	54	4
0	0	5.24525e-006	85	6
0	0	2.00397e-006	114	8
0	0	3.24757e-006	143	10
0	0	1.11492e-006	174	12
0	0	1.25501e-006	205	14
0	0	6.80167e-007	238	16
1	0	6.69029e-007	1273	16
2	0	6.58296e-007	2278	16
3	0	6.47946e-007	3274	16
4	0	6.37954e-007	4296	16
5	0	6.283e-007	5299	16
6	0	6.22017e-007	6391	16
7	0	6.20943e-007	7449	16
8	0	6.20162e-007	8464	16
9	0	6.19666e-007	9475	16
10	0	6.19446e-007	10445	16
11	0	6.19498e-007	11413	16
12	0	6.19817e-007	12428	16
13	0	6.20401e-007	13439	16
14	0	6.2125e-007	14511	16
15	0	6.22365e-007	15537	16
16	0	6.23746e-007	16565	16
17	0	6.25399e-007	17562	16
18	0	6.27601e-007	18561	16
19	0	6.30164e-007	19526	16
20	0	6.33045e-007	20492	16
21	0	6.36254e-007	21468	16
22	0	6.39804e-007	22422	16
23	0	6.44054e-007	23381	16
24	0	6.4887e-007	24356	16
25	0	6.54109e-007	25321	16
26	0	6.73603e-007	26297	16
27	0	7.04646e-007	27270	16
28	0	7.37351e-007	28230	16
29	0	7.71697e-007	29198	16
