step	level	max error	mean error	time
0	0	0.0191305	0.00241649	0.065032	2
0	0	0.0198154	0.00260166	0.136032	4
0	0	0.0234997	0.00415034	0.215034	6
0	0	0.0414688	0.00620908	0.299038	8
0	0	0.0259262	0.00381159	0.390031	10
0	0	0.0438881	0.00717128	0.486035	12
0	0	0.0237857	0.00336995	0.590995	14
0	0	0.0236139	0.00240555	0.697994	16
0	0	0.643942	0.0478907	0.806994	18
0	0	0.23077	0.023787	0.924994	20
0	0	0.151796	0.0116941	1.05103	22
0	0	0.0676544	0.00777532	1.18403	24
0	0	0.0705871	0.00838546	1.32403	26
0	0	0.0781044	0.00994623	1.47003	28
0	0	0.089002	0.00867608	1.62403	30
0	0	0.0528152	0.00613749	1.78403	32
0	0	0.0390466	0.00569232	1.95303	34
0	0	0.0323244	0.00487405	2.12599	36
0	0	0.0296272	0.0042524	2.29799	38
0	0	0.0265725	0.00436084	2.482	40
0	0	0.0265312	0.00487184	2.67503	42
0	0	0.0428209	0.00546261	2.87504	44
0	0	0.0281167	0.00310379	3.08303	46
0	0	0.0276353	0.00279813	3.29603	48
0	0	0.0321273	0.00270747	3.52104	50
0	0	0.0162903	0.002425	3.75103	52
0	0	0.0184191	0.00216677	3.98603	54
0	0	0.317525	0.0100017	4.22803	56
0	0	0.1228	0.00571335	4.49399	58
0	0	0.133222	0.00527107	4.74499	60
0	0	0.0604958	0.00311873	5.02403	62
0	0	0.0436488	0.00325157	5.30803	64
0	0	0.0208497	0.00287091	5.59703	66
0	0	0.026534	0.0032403	5.88903	68
0	0	0.0228975	0.00207649	6.19003	70
0	0	0.0145202	0.0015843	6.50203	72
0	0	0.0146679	0.00154224	6.84503	74
0	0	0.151458	0.00366496	7.194	76
0	0	0.0585536	0.00259578	7.56104	78
0	0	0.0347553	0.00252996	7.93803	80
0	0	0.0326681	0.00190029	8.328	82
0	0	0.0299586	0.00174014	8.752	84
0	0	0.0230772	0.00169466	9.16999	86
0	0	0.0150124	0.00158014	9.60499	88
0	0	0.0194998	0.00155716	10.03	90
0	0	0.0129377	0.00144518	10.471	92
0	0	0.0115058	0.00126411	10.955	94
0	0	0.158288	0.00267752	11.409	96
0	0	0.0579562	0.00192822	11.857	98
0	0	0.0546732	0.0018427	12.326	100
0	0	0.0198784	0.00143693	12.81	102
0	0	0.0166354	0.00136944	13.306	104
0	0	0.0127157	0.00128332	13.801	106
0	0	0.155516	0.00175024	14.328	108
0	0	0.0578293	0.00139931	14.862	110
0	0	0.019836	0.00129452	15.415	112
0	0	0.0106626	0.00127692	15.951	114
0	0	0.0104339	0.00131166	16.524	116
0	0	0.00939737	0.0012388	17.1061	118
0	0	0.265747	0.00780816	17.702	120
0	0	0.104454	0.00416138	18.291	122
0	0	0.099613	0.00309462	18.879	124
0	0	0.0643669	0.00273411	19.517	126
0	0	0.0394491	0.00208982	20.138	128
0	0	0.0384845	0.00203783	20.758	130
0	0	0.0227574	0.00178078	21.518	132
0	0	0.0188086	0.00167615	22.276	134
0	0	0.0173395	0.0015841	23.068	136
0	0	0.0183915	0.0015426	23.819	138
0	0	0.0156294	0.001467	24.59	140
0	0	0.0137132	0.00123769	25.365	142
0	0	0.0134307	0.00121772	26.137	144
0	0	0.0112033	0.00130301	26.955	146
0	0	0.0115246	0.00131669	27.787	148
0	0	0.0103839	0.00116441	28.6346	150
0	0	0.00879366	0.00109863	29.4635	152
0	0	0.00823117	0.00105337	30.3436	154
0	1	0.0310915	0.00825862	30.3565	2
0	1	0.0187475	0.00268267	30.3756	4
0	1	0.0224942	0.00323376	30.3996	6
0	1	0.230005	0.044003	30.4296	8
0	1	0.156532	0.0303674	30.4676	10
0	1	0.120347	0.00882176	30.5116	12
0	1	0.0773788	0.010978	30.5615	14
0	1	0.0531583	0.00682793	30.6156	16
0	1	0.0363172	0.00496099	30.6755	18
0	1	0.021816	0.00388049	30.7435	20
0	1	0.0233412	0.00354517	30.8176	22
0	1	0.0329252	0.00314671	30.8986	24
0	1	0.0152181	0.00268087	30.9856	26
0	1	0.50606	0.0315636	31.0806	28
0	1	0.20286	0.012303	31.1786	30
0	1	0.0875928	0.0057506	31.2836	32
0	1	0.0586721	0.00426469	31.3966	34
0	1	0.0275225	0.00259507	31.5166	36
0	1	0.0233845	0.00241442	31.6436	38
0	1	0.022362	0.00296797	31.7746	40
0	1	0.0167999	0.00224003	31.9186	42
0	1	0.0227489	0.00253775	32.0676	44
0	1	0.0530878	0.00372142	32.2226	46
0	1	0.0248882	0.00274744	32.3856	48
0	1	0.0233954	0.00200664	32.5556	50
0	1	0.0172037	0.00204817	32.7285	52
0	1	0.0118802	0.00193586	32.9146	54
0	1	0.0112128	0.00187631	33.1055	56
0	1	0.0732522	0.00338166	33.2965	58
0	1	0.0330767	0.00258794	33.5016	60
0	1	0.0149292	0.00216443	33.7206	62
0	1	0.0166886	0.00233886	33.9466	64
0	1	0.0141577	0.0024004	34.1766	66
0	1	0.0134131	0.00204536	34.4176	68
0	1	0.01471	0.00194425	34.6666	70
0	1	0.00955907	0.00181658	34.9266	72
0	1	0.0341125	0.00223354	35.1886	74
0	1	0.0130359	0.00185869	35.4616	76
0	1	0.011164	0.0016983	35.7466	78
0	1	0.0111988	0.00167898	36.0386	80
0	1	0.00983911	0.00144511	36.3366	82
0	1	0.0101879	0.00159516	36.6755	84
0	1	0.010136	0.00142609	37.0041	86
0	1	0.0115086	0.00138831	37.3221	88
0	1	0.0199903	0.00159702	37.6871	90
0	1	0.052188	0.00208841	38.1011	92
0	1	0.0220797	0.00152481	38.5081	94
0	1	0.011068	0.00142232	38.9011	96
